skid	name	paper_id	paper_name	annotations	synonyms	FBbt_ID
410808	right cLPTCrn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#3 (17697984), FBbt:20001834 (17698215)	Right cLPTCrn 410809 SI	
410926	right cLPTCrn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#4 (17697986), FBbt:20001834 (17698215)	Right cLPTCrn 410927 SI	
411565	right cLPTCrn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#5 (17697988), FBbt:20001834 (17698215)	Right cLPTCrn 411566 ME	
412519	left cLPTCrn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#4 (17697970), FBbt:20001834 (17698215)	Left cLPTCrn 412520 ME	
413170	right DNb03#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNb03#1 (17698006), FBbt:00047584 (17698242)	Right DNb03 413171 MB	
414148	left cLPTCrn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#5 (17697972), FBbt:20001834 (17698215)	Left cLPTCrn 414149 ME	
414193	right cLPTCrn#6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#6 (17697990), FBbt:20001834 (17698215)	Right cLPTCrn 414194 ME	
416267	right bLPTCrn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right bLPTCrn#1 (17697954), FBbt:20001833 (17698203)	Right bLPTCrn 416268 ME	
793032	right VS2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS2 (17698104), FBbt:00007518 (17698276)	putative VSN 793033 ZSG	
804092	right VS8	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS8 (17698094)	Putative VSN 804093 ZSG	
804539	right VS6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS6 (17698112), FBbt:00007522 (17698284)	putative VSN 804540 ZSG	
807401	right VS5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS5 (17698110), FBbt:00007521 (17698282)	Putative VSN 807402 ZSG	
815776	right VS3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS3 (17698106), FBbt:00007519 (17698278)	Putative VSN 815777 ZSG	
827034	right HSE	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right HSE (17698098), FBbt:00003919 (17698270)	Putative HSE 827035 ECS ZSG	
830793	right HSN	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right HSN (17698096), FBbt:00003918 (17698268)	Putative HSN 830794 ZSG	
836617	right VCNMN	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VCNMN (17698000), FBbt:00053175 (17698234)	VCN002 DB	
851432	right VS7	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS7 (17698092)	Putative VSN 851433 ZSG	
869475	right bLPTCrn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right bLPTCrn#4 (17697960), FBbt:20001833 (17698203)	Right bLPTCrn 869476 ME	
952120	left cLPTCrn#7	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#7 (17697976), FBbt:20001834 (17698215)	Left cLPTCrn 952121 ME	
967830	left cLPTCrn#8	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#8 (17697978), FBbt:20001834 (17698215)	Left cLPTCrn 967831 ME	
