skid	name	paper_id	paper_name	annotations
492351	neuron 81155 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	intersegmental (492329), sensory neuron (492331), left T3 leg nerve (492333), possible campaniform sensillum (492335), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 81154 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492361), UPDATED FROM LINKED NEURON - 2020-06-26 01:37 AM (492363), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:41 PM (655991), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492385	neuron 13958 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron C1 bundle (492394), motor neuron (492396), left cervical nerve (492398), right soma (492400), skeleton (492337), LINKED NEURON - elastic transformation of skeleton id 13957 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492403), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:23 PM (659394), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492407	neuron 15499 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 15498 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492422), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:14 PM (658520), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492425	neuron 15505 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), motor neuron (492396), left soma (492419), LINKED NEURON - elastic transformation of skeleton id 15504 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492445), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:14 PM (658520), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492448	neuron 15511 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 15510 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492464), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:14 PM (658520), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492467	neuron 15517 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 15516 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492481), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:14 PM (658520), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492484	neuron 10680 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 10679 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492498), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-07-24 04:54 PM (624999), UPDATED FROM LINKED NEURON - 2020-08-12 08:59 PM (657168), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492501	neuron 2232 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 2231 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492516), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:55 PM (656591), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492519	neuron 12990 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), left T1 dorsal nerve (492416), skeleton (492337), left soma (492419), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 12989 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492531), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-07-24 01:34 PM (624850), UPDATED FROM LINKED NEURON - 2020-08-12 09:05 PM (657740), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
492534	neuron 3006 - elastic transform	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	neck motor neuron (492392), neck motor neuron D bundle (492414), right T1 dorsal nerve (492511), skeleton (492337), right soma (492400), motor neuron (492396), LINKED NEURON - elastic transformation of skeleton id 3005 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (492546), UPDATED FROM LINKED NEURON - 2020-06-26 02:37 AM (492405), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:10 PM (658142), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)
