skid	name	paper_id	paper_name	annotations	FBbt_ID
519370	neuron 107303 - elastic transform - flipped	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	skeleton (492337), left T3 leg nerve (492333), right T3 leg nerve (493572), right first abdominal nerve (497810), left first abdominal nerve (493082), efferent neuron (511709), left-right flipped (519387), LINKED NEURON - elastic transformation and flipped of skeleton id 107302 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (519389), UPDATED FROM LINKED NEURON - 2020-06-27 07:14 PM (519391), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:08 PM (657978), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231), T3 leg DUM neuron (677209)	
599250	neuron 9175 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), left soma (492419), left T1 leg nerve (493342), left-right homologs 9175 & 16185 (498161), T1 leg motor neuron L2 bundle (495110), T1 leg motor neuron (492990), skeleton (492337), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 498145 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599267), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 02:29 PM (651363), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599270	neuron 16811 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), left soma (492419), skeleton (492337), left T1 leg nerve (493342), T1 leg motor neuron (492990), T1 leg motor neuron L1 bundle (493113), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 494564 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599286), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), left-right homologs 16811 & 16218 (631169), UPDATED FROM LINKED NEURON - 2020-08-10 02:27 PM (650938), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599289	neuron 12767 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), right soma (492400), leaves through damage (492994), skeleton (492337), right T1 leg nerve (493118), left-right homologs 10393 & 12767 (493340), T1 leg motor neuron (492990), T1 leg motor neuron L1 bundle (493113), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 495078 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599308), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 02:30 PM (651444), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599311	neuron 9746 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), left soma (492419), skeleton (492337), left T1 leg nerve (493342), left-right homologs 9746 & 16765 (494338), T1 leg motor neuron (492990), T1 leg motor neuron L1 bundle (493113), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 500198 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599327), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 12:08 PM (648901), third NBLAST hit for 35C09-Gal4 (652644), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-11 06:11 PM (653447), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599330	neuron 13025 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left soma (492419), skeleton (492337), left T1 dorsal nerve (492416), T1 leg motor neuron (492990), left-right homologs 13025 & 11403 (496625), T1 leg motor neuron D2 bundle (495012), motor neuron (492396), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 496616 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599346), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 01:03 PM (649885), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599349	neuron 9001 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), left soma (492419), skeleton (492337), left T1 leg nerve (493342), left-right homologs 9001 & 10776 (495536), T1 leg motor neuron (492990), T1 leg motor neuron L3 bundle (495533), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 497135 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599366), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 01:50 PM (650232), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599369	neuron 9867 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), left soma (492419), skeleton (492337), left T1 accessory nerve (493029), left-right homologs 9867 & 10986 (496696), T1 leg motor neuron (492990), T1 leg motor neuron A4 bundle (496693), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 500719 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599384), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 12:54 PM (649306), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599387	neuron 3040 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), right soma (492400), skeleton (492337), right T1 accessory nerve (493464), left-right homologs 9797 & 3040 (498183), T1 leg motor neuron (492990), T1 leg motor neuron A4 bundle (496693), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 498169 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599405), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 02:30 PM (651444), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599408	neuron 480 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), motor neuron (492396), left soma (492419), skeleton (492337), left T1 leg nerve (493342), left-right homologs 480 & 11285 (495113), T1 leg motor neuron (492990), T1 leg motor neuron L2 bundle (495110), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 495098 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599426), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-10 02:30 PM (651444), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599431	neuron 16185 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), motor neuron (492396), right soma (492400), skeleton (492337), right T1 leg nerve (493118), left-right homologs 9175 & 16185 (498161), T1 leg motor neuron (492990), T1 leg motor neuron L2 bundle (495110), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 520320 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599448), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), UPDATED FROM LINKED NEURON - 2020-08-10 01:51 PM (650437), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599231	neuron 9862 - elastic transform - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), skeleton (492337), left-right homologs 9862 & 11597 (499601), left soma (492419), motor neuron (492396), posterior soma (492822), left T1 accessory nerve (493029), T1 leg motor neuron (492990), T1 leg motor neuron A1 bundle (498959), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 500701 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599247), UPDATED FROM LINKED NEURON - 2020-07-18 05:21 PM (596688), UPDATED FROM LINKED NEURON - 2020-08-10 12:54 PM (649306), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599452	neuron 3838 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), motor neuron (492396), leaves through damage (492994), right soma (492400), skeleton (492337), right T1 leg nerve (493118), left-right homologs 9025 & 3838 (497464), T1 leg motor neuron (492990), T1 leg motor neuron L3 bundle (495533), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 520833 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599475), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), UPDATED FROM LINKED NEURON - 2020-08-10 01:49 PM (650069), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599497	neuron 3833 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), leaves through damage (492994), motor neuron (492396), right soma (492400), skeleton (492337), right T1 leg nerve (493118), T1 leg motor neuron (492990), left-right homologs 9171 & 3833 (498135), T1 leg motor neuron L3 bundle (495533), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 521091 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599517), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), UPDATED FROM LINKED NEURON - 2020-08-10 01:49 PM (650069), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599520	neuron 11413 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), right soma (492400), motor neuron (492396), posterior soma (492822), right T1 accessory nerve (493464), T1 leg motor neuron (492990), skeleton (492337), left-right homologs 9929 & 11413 (498961), T1 leg motor neuron A1 bundle (498959), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 519813 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599537), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), UPDATED FROM LINKED NEURON - 2020-08-10 12:54 PM (649306), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599540	neuron 11934 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), right soma (492400), motor neuron (492396), skeleton (492337), right T1 leg nerve (493118), left-right homologs 9187 & 11934 (498202), T1 leg motor neuron (492990), T1 leg motor neuron L1 bundle (493113), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 519941 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599558), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), UPDATED FROM LINKED NEURON - 2020-08-10 12:56 PM (649521), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599561	neuron 10796 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), right soma (492400), motor neuron (492396), leaves through damage (492994), skeleton (492337), right T1 ventral nerve (492997), left-right homologs 10208 & 10796 (495665), T1 leg motor neuron (492990), T1 leg motor neuron V4 bundle (493419), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 520198 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599580), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), UPDATED FROM LINKED NEURON - 2020-08-10 12:44 PM (649053), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
599583	neuron 10971 - elastic transform - flipped - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	tracing from electron microscopy (546593), left-right flipped (519387), leaves through damage (492994), right T1 leg nerve (493118), motor neuron (492396), skeleton (492337), T1 leg motor neuron (492990), right soma (492400), T1 leg motor neuron L2 bundle (495110), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 520709 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (599600), UPDATED FROM LINKED NEURON - 2020-07-18 05:37 PM (599450), left-right homologs 488 & 10971 (631191), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-10 01:02 PM (649847), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
