skid	name	paper_id	paper_name	annotations	FBbt_ID
593292	neuron 464 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left-right homologs 464 & 3823 (494903), skeleton (492337), motor neuron (492396), left T1 leg nerve (493342), left soma (492419), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 582401 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593280), UPDATED FROM LINKED NEURON - 2020-07-17 11:22 PM (593314), UPDATED FROM LINKED NEURON - 2020-08-10 02:59 PM (652425), top NBLAST hit for 22A08-Gal4 (652609), second NBLAST hit for 81A07-Gal4 (652614), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593321	neuron 9191 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left-right homologs 9191 & 12803 (495359), left T1 leg nerve (493342), skeleton (492337), left soma (492419), motor neuron (492396), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 582657 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593336), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 03:00 PM (652507), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593340	neuron 12257 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), left-right homologs 12257 & 11339 (498549), T1 leg motor neuron L3 bundle (495533), T1 leg motor neuron (492990), left T1 leg nerve (493342), skeleton (492337), left soma (492419), motor neuron (492396), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 582146 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593355), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-05 07:53 PM (640262), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-10 03:00 PM (652507), second NBLAST hit for 21G01-LexA (652629), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593358	neuron 492 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left T1 leg nerve (493342), skeleton (492337), left soma (492419), motor neuron (492396), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 583686 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593373), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), left-right homologs 492 & 12708 (631158), UPDATED FROM LINKED NEURON - 2020-08-06 03:51 PM (642092), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-10 03:00 PM (652507), top NBLAST hit for 56H01-LexA (652619), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593376	neuron 11715 - elastic transform - flipped - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), left-right homologs 9935 & 11715 (499972), T1 leg motor neuron A1 bundle (498959), T1 leg motor neuron (492990), right T1 accessory nerve (493464), skeleton (492337), motor neuron (492396), posterior soma (492822), right soma (492400), left-right flipped (519387), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 592393 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593393), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 02:59 PM (652425), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593396	neuron 12425 - elastic transform - flipped - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left-right homologs 8992 & 12425 (493262), right T1 leg nerve (493118), skeleton (492337), right soma (492400), motor neuron (492396), left-right flipped (519387), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 591887 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593415), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 02:52 PM (652169), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593418	neuron 12321 - elastic transform - flipped - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron V3 bundle (492988), T1 leg motor neuron (492990), right soma (492400), motor neuron (492396), leaves through damage (492994), skeleton (492337), right T1 ventral nerve (492997), left-right flipped (519387), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 591377 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593434), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 02:48 PM (652072), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593437	neuron 21338 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron L2 bundle (495110), skeleton (492337), motor neuron (492396), left soma (492419), T1 leg motor neuron (492990), left T1 leg nerve (493342), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 582675 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593452), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 02:58 PM (652390), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593455	neuron 83815 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron L1 bundle (493113), T1 leg motor neuron (492990), left-right homologs 83815 & 12402 (493116), skeleton (492337), motor neuron (492396), left T1 leg nerve (493342), left soma (492419), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 582164 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593472), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 02:58 PM (652390), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
593475	neuron 9862 - elastic transform - pruned by vol 109 - radius 500	672231	Paper: Phelps, Hildebrand, Graham et al. 2020	pruned (first entry, last exit) by vol 109 (581960), T1 leg motor neuron A1 bundle (498959), T1 leg motor neuron (492990), left T1 accessory nerve (493029), posterior soma (492822), motor neuron (492396), left soma (492419), left-right homologs 9862 & 11597 (499601), skeleton (492337), tracing from electron microscopy (546593), pruned to nodes with radius 500 (593311), LINKED NEURON - radius pruned of skeleton id 583707 in project id 59 on server https://catmaid3.hms.harvard.edu/catmaidvnc (593491), UPDATED FROM LINKED NEURON - 2020-07-17 11:37 PM (593338), UPDATED FROM LINKED NEURON - 2020-08-10 02:52 PM (652169), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	
