skid	name	paper_id	paper_name	annotations	synonyms	FBbt_ID
19474647	lch R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474648	lch R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697), maybe (19474687)		
19474649	lch R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474650	lch R	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier chordotonal (19474697)		
19474651	lch R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474652	Basin-4 R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier basin (19474691)		
19474653	Basin R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier basin (19474691)		
19474654	Basin-3 R	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier basin (19474691)		
19474655	vch R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474656	lch L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474657	vch L	19474698	Valdes-Aleman et al. 2021	Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697), Javier all (19474688), Left (19474693)		
19474658	vch L	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier chordotonal (19474697)		
19474659	vch L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474660	vdaB L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier class IV (19474695), Javier_all_plus_classIV (19430135), Javier Class IV (19474694), Valdes-Aleman et al. 2021 (19474698)		
19474661	v'ada L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier class IV (19474695), Javier_all_plus_classIV (19430135), Javier Class IV (19474694), Valdes-Aleman et al. 2021 (19474698)		
19474662	vch R	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier chordotonal (19474697)		
19474663	ddaC L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier class IV (19474695), Javier_all_plus_classIV (19430135), Javier Class IV (19474694), Valdes-Aleman et al. 2021 (19474698)		
19474664	lch L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474665	lch L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474666	lch L	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier chordotonal (19474697)		
19474667	lch L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697)		
19474668	Basin L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier basin (19474691), Left (19474693), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135)		
19474669	Basin L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier basin (19474691)		
19474670	Basin L	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Valdes-Aleman et al. 2021 (19474698), Javier basin (19474691)		
19474671	Basin L	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier basin (19474691)		
19474672	v'ada R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier class IV (19474695), Javier_all_plus_classIV (19430135), Javier Class IV (19474694), Valdes-Aleman et al. 2021 (19474698)		
19474673	vdaB R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier_all_plus_classIV (19430135), Javier class IV (19474695), Javier Class IV (19474694), Valdes-Aleman et al. 2021 (19474698)		
19474674	ddaC R	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier all (19474688), Javier class IV (19474695), Javier Class IV (19474694), Valdes-Aleman et al. 2021 (19474698)		
19474675	Basin-2? R	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Right (19474692), Valdes-Aleman et al. 2021 (19474698), Javier basin (19474691), Javier_all_plus_classIV (19430135)		
19474676	Ladder	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier ladder (19474696), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135)		
19474677	vch R	19474698	Valdes-Aleman et al. 2021	Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier chordotonal (19474697), Javier all (19474688), Right (19474692)		
19474678	Ladder	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier ladder (19474696), Javier all (19474688), Valdes-Aleman et al. 2021 (19474698)		
19474679	Ladder	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier ladder (19474696)		
19474680	Ladder a	19474698	Valdes-Aleman et al. 2021	Javier all (19474688), Javier ladder (19474696), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135)		
19474681	Ladder b?	19474698	Valdes-Aleman et al. 2021	Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier ladder (19474696), Javier all (19474688)		
19474682	Ladder e	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier ladder (19474696), Javier all (19474688), Valdes-Aleman et al. 2021 (19474698)		
19474683	Griddle-2 L	19474698	Valdes-Aleman et al. 2021	Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier all (19474688), Javier griddle (19474689)		
19474684	Griddle-1 L	19474698	Valdes-Aleman et al. 2021	Valdes-Aleman et al. 2021 (19474698), Javier griddle (19474689), Javier_all_plus_classIV (19430135), Javier all (19474688)		
19474685	Griddle-1 R	19474698	Valdes-Aleman et al. 2021	Javier griddle (19474689), Valdes-Aleman et al. 2021 (19474698), Javier_all_plus_classIV (19430135), Javier all (19474688)		
19474686	Griddle-2 R	19474698	Valdes-Aleman et al. 2021	Javier_all_plus_classIV (19430135), Javier griddle (19474689), Javier all (19474688), Valdes-Aleman et al. 2021 (19474698)		
