Paper_ID	CATMAID_name	VFB_name	CATMAID_SKIDs	VFB_SKIDS	CATMAID_not_VFB	VFB_not_CATMAID	neuron_only
19496665	Zwart et al. 2016	Zwart2016	41	0	41	0	0
19711421	Berck, Khandelwal et al. 2016	Berck2016	161	1	160	0	1
19711583	Eichler, Li, Litwin-Kumar et al. 2017	Eichler2017	387	0	387	0	0
19711972	Larderet, Fritsch et al. 2017	Larderet2017	72	0	72	0	0
19712046	Ohyama, Schneider-Mizell et al. 2015	Ohyama2015	108	0	108	0	0
19712156	Jovanic, Schneider-Mizell et al. 2016	Jovanic2016	44	0	44	0	0
19712202	Schlegel et al. 2016	Schlegel2016	192	0	192	0	0
19712396	Fushiki et al. 2016	Fushiki2016	82	1	82	1	1
19716589	Takagi et al. 2017	Takagi2017	38	0	38	0	0
19756504	Heckscher et al. 2015	Heckscher2015	134	3	134	3	3
19756692	Gerhard et al. 2017	Gerhard2017	55	0	55	0	0
19862922	Burgos et al 2018	Burgos2018	94	0	94	0	0
20282757	Miroschnikow et al. 2018	Miroschnikow2018	738	0	738	0	0
20498648	Jovanic et al. 2019	Jovanic2019	37	0	37	0	0
20522905	Carreira-Rosario, Arzan Zarin, Clark et al. 2018	CarreiraRosario2018	31	0	31	0	0
20726614	Zarin, Mark et al. 2019	Zarin2019	194	2	194	2	2
20726939	Mark et al. 2019	Mark2019	78	0	78	0	0
21218996	Andrade et al. 2019	Andrade2019	845	1	844	0	1
21224835	Tastekin et al. 2018	Tastekin2018	10	0	10	0	0
21228207	Eschbach, Fushiki et al. 2020	Eschbach2020	204	0	204	0	0
21308444	Eschbach, Fushiki et al. 2020b	Eschbach2020b	654	0	654	0	0
21388980	Imambocus et al	Imambocus2022	176	45	131	0	45
21461093	Hueckesfeld et al. 2020	Hueckesfeld2020	877	1	876	0	1
21597111	Valdes-Aleman et al. 2021	Valdes-Aleman2021	37	0	37	0	0
22190049	Barnes et al. 2022	Barnes2022	51	0	51	0	0
22372397	Winding, Pedigo et al. 2023	WindingPedigo2023	3066	1507	1559	0	1507
