skid	name	paper_id	paper_name	annotations	FBbt_id	FBbt_name
601725	long tendon	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), long tendon (601731), UPDATED FROM LINKED NEURON - 2020-07-20 04:26 PM (601735), LINKED NEURON - copy of skeleton id 94452 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722962)	FBbt:00003351	prothoracic long tendon
601739	neuron 100355	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100354 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722964)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601754	neuron 141315	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), innervates scolopidium 103466 (601764), neuron 104290 (601766), femoral chordotonal neuron (601768), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 141314 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722966), attaches to FeCO lateral tendon (1688928),  (1688946), UPDATED FROM LINKED NEURON - 2022-07-27 11:41 PM (1688950)	FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ
601775	neuron 100361	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100360 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722968)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601787	muscle 94219	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 3 (601792), tibia extensor muscle fiber (601794), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94218 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722970)	FBbt:00003355	muscle cell of prothoracic tibial levator muscle 39
601803	neuron 82450	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), FeCS11 (601811), femoral campaniform sensillum (601813), sensory neuron (601744), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 86028 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722972)	FBbt:00052576	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11
601821	neuron 100367	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100366 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722974)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601833	neuron 81936	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), possible bilateral campaniform sensillum (601846), main leg nerve (601848), TrCS8 (601850), sensory neuron (601744), trochanteral campaniform sensillum (601853), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 81935 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722976)	FBbt:00052572	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8
601860	muscle 94226	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 3 (601792), tibia extensor muscle fiber (601794), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94225 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722978)	FBbt:00003355	muscle cell of prothoracic tibial levator muscle 39
601873	neuron 100373	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100372 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722980)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601885	Neuron 112666	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Figure: Kuan, Phelps et al. 2020 Nat Neuro - Figure 3c (601843), Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femoral motor neuron (601901), assigned to lee_alec.y (601903), long tendon muscle 2 motor neuron (601905), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 112665 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722982)	FBbt:00052600	prothoracic femoral pretarsal depressor muscle motor neuron
601912	neuron 100379	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), sensory neuron (601744), tibial bristle (601746), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 100378 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722984)	FBbt:00052592	prothoracic tibial bristle sensory neuron
601924	muscle 94236	601729	Paper: Kuan, Phelps et al. 2020 Nat Neuro	Paper: Kuan, Phelps et al. 2020 Nat Neuro (601729), femur muscle 4 (601929), anterior tibia reductor muscle fiber (601931), femoral muscle fiber (601796), UPDATED FROM LINKED NEURON - 2020-07-20 04:27 PM (601750), LINKED NEURON - copy of skeleton id 94235 in project id 30 on server https://radagast.hms.harvard.edu/catmaidvnc (722986)	FBbt:00058109	tibial reductor muscle cell
