CATMAID annotation	FBbt term
sensory neuron	sensory neuron
motor neuron	motor neuron
T1 leg motor neuron	prothoracic leg muscle motor neuron
campaniform sensillum	campaniform sensillum
hair plate	hair plate
chordotonal neuron	chordotonal neuron
T1 multinerve neuron	adult prothoracic multinerve neuron
ascending neuron	adult ascending neuron
peripherally synapsing interneuron	peripherally synapsing interneuron
T2 leg motor neuron	mesothoracic leg muscle motor neuron
central neuron	interneuron
T3 leg motor neuron	metathoracic leg muscle motor neuron
right haltere nerve	haltere nerve
left haltere nerve	haltere nerve
