skid	name	paper_id	paper_name
40045	22c ORN left	19711421	Berck et al.  2016
2568465	mPN iACT B1_left	19711421	Berck et al.  2016
2571761	83a ORN right	19711421	Berck et al.  2016
2582391	1a ORN right	19711421	Berck et al.  2016
2584838	30a ORN right	19711421	Berck et al.  2016
2608843	42b ORN right	19711421	Berck et al.  2016
2611805	1a ORN left	19711421	Berck et al.  2016
2612527	mPN iACT C2 left	19711421	Berck et al.  2016
3158543	63a ORN left	19711421	Berck et al.  2016
3410499	42b ORN left	19711421	Berck et al.  2016
3410506	85c ORN left	19711421	Berck et al.  2016
3450442	mPN iACT B2 left	19711421	Berck et al.  2016
3464773	42a ORN left	19711421	Berck et al.  2016
3465659	35a ORN left	19711421	Berck et al.  2016
3486381	42a PN left	19711421	Berck et al.  2016
3486950	vine left	19711421	Berck et al.  2016
3511996	94a & 94b ORN left	19711421	Berck et al.  2016
3538129	mPN D right	19711421	Berck et al.  2016
3547397	83a ORN left	19711421	Berck et al.  2016
3592997	24a ORN left	19711421	Berck et al.  2016
3694515	47a & 33b ORN left	19711421	Berck et al.  2016
3708875	33a ORN left	19711421	Berck et al.  2016
3712893	mPN iACT bilateral LOWER left	19711421	Berck et al.  2016
3716797	45a ORN left	19711421	Berck et al.  2016
3736500	ginkgo 2 left	19711421	Berck et al.  2016
3768025	30a ORN left	19711421	Berck et al.  2016
3771794	49a ORN left	19711421	Berck et al.  2016
3774568	82a ORN left	19711421	Berck et al.  2016
3790004	67b ORN right	19711421	Berck et al.  2016
3805641	ventral LN right	19711421	Berck et al.  2016
3806573	picky 2 right	19711421	Berck et al.  2016
3806652	spruce right	19711421	Berck et al.  2016
3813487	Ladder (olfactory) post.	19711421	Berck et al.  2016
3813723	45b ORN right	19711421	Berck et al.  2016
3827211	42a ORN right	19711421	Berck et al.  2016
3840345	35a ORN right	19711421	Berck et al.  2016
3865952	24a ORN right	19711421	Berck et al.  2016
3872653	33a ORN right	19711421	Berck et al.  2016
3885215	74a ORN right	19711421	Berck et al.  2016
3893195	85c ORN right	19711421	Berck et al.  2016
3896629	47a & 33b ORN right	19711421	Berck et al.  2016
3954014	22c ORN right	19711421	Berck et al.  2016
3958234	94a & 94b ORN right	19711421	Berck et al.  2016
3963891	45a ORN right	19711421	Berck et al.  2016
3980315	82a ORN right	19711421	Berck et al.  2016
4073353	13a ORN right	19711421	Berck et al.  2016
4076389	59a ORN right	19711421	Berck et al.  2016
4116174	lAL-1 (octopaminergic) right	19711421	Berck et al.  2016
4119387	mPN iACT A1 right	19711421	Berck et al.  2016
4247099	choosy 2 right	19711421	Berck et al.  2016
4324898	mPN seahorse right	19711421	Berck et al.  2016
4327684	mPN iACT A3 right	19711421	Berck et al.  2016
4354933	85c PN left	19711421	Berck et al.  2016
4391978	mPN iACT C2 right	19711421	Berck et al.  2016
4493199	13a PN left	19711421	Berck et al.  2016
4651929	94a & 94b PN right	19711421	Berck et al.  2016
4679139	mPN iACT A2 right	19711421	Berck et al.  2016
4700078	mPN iACT B2 right	19711421	Berck et al.  2016
4700182	vine right	19711421	Berck et al.  2016
5030808	keystone left	19711421	Berck et al.  2016
5090549	45b ORN left	19711421	Berck et al.  2016
5247102	picky 4 right	19711421	Berck et al.  2016
5261424	mPN iACT A2 left	19711421	Berck et al.  2016
5291791	picky 0 left	19711421	Berck et al.  2016
6143930	CSD right	19711421	Berck et al.  2016
6340439	59a ORN left	19711421	Berck et al.  2016
6451332	mPN D left	19711421	Berck et al.  2016
6557581	broad T3 right	19711421	Berck et al.  2016
6791927	67b ORN left	19711421	Berck et al.  2016
7092417	47a & 33b PN left	19711421	Berck et al.  2016
7107433	45b PN left	19711421	Berck et al.  2016
7198338	24a PN left	19711421	Berck et al.  2016
7394271	choosy 1 left	19711421	Berck et al.  2016
7503199	mPN iACT C1 right	19711421	Berck et al.  2016
7515491	49a PN left	19711421	Berck et al.  2016
7527710	13a ORN left	19711421	Berck et al.  2016
7542938	74a ORN left	19711421	Berck et al.  2016
7600311	picky 1 right	19711421	Berck et al.  2016
7658146	49a ORN right	19711421	Berck et al.  2016
7719547	63a ORN right	19711421	Berck et al.  2016
7843730	74a PN left	19711421	Berck et al.  2016
7845346	63a PN left	19711421	Berck et al.  2016
7851153	82a PN left	19711421	Berck et al.  2016
7852250	45a PN left	19711421	Berck et al.  2016
7864823	59a PN left	19711421	Berck et al.  2016
7865652	22c PN left	19711421	Berck et al.  2016
7865696	1a PN left	19711421	Berck et al.  2016
7865767	83a PN left	19711421	Berck et al.  2016
7873135	42b PN left	19711421	Berck et al.  2016
7916593	30a PN left	19711421	Berck et al.  2016
7934904	35a PN bilateral left	19711421	Berck et al.  2016
7935088	35a PN bilateral right	19711421	Berck et al.  2016
7939890	broad T3 left	19711421	Berck et al.  2016
7939979	broad T1 left	19711421	Berck et al.  2016
7941642	broad D2 left	19711421	Berck et al.  2016
7941652	broad D1 left	19711421	Berck et al.  2016
8021456	33a PN left	19711421	Berck et al.  2016
8102935	picky 1 left	19711421	Berck et al.  2016
8140109	74a PN right	19711421	Berck et al.  2016
8198238	broad T2 right	19711421	Berck et al.  2016
8198317	broad T1 right	19711421	Berck et al.  2016
8198416	broad D1 right	19711421	Berck et al.  2016
8198513	broad D2 right	19711421	Berck et al.  2016
8199671	picky 0 right	19711421	Berck et al.  2016
8231264	choosy 1 right	19711421	Berck et al.  2016
8243455	83a PN right	19711421	Berck et al.  2016
8244723	42a PN right	19711421	Berck et al.  2016
8244823	13a PN right	19711421	Berck et al.  2016
8245014	59a PN right	19711421	Berck et al.  2016
8245146	82a PN right	19711421	Berck et al.  2016
8245513	63a PN right	19711421	Berck et al.  2016
8245692	42b PN right	19711421	Berck et al.  2016
8245869	24a PN right	19711421	Berck et al.  2016
8246081	67b PN right	19711421	Berck et al.  2016
8246750	47a & 33b PN right	19711421	Berck et al.  2016
8247451	45a PN right	19711421	Berck et al.  2016
8248631	22c PN right	19711421	Berck et al.  2016
8252067	1a PN right	19711421	Berck et al.  2016
8253413	45b PN right	19711421	Berck et al.  2016
8256186	30a PN right	19711421	Berck et al.  2016
8273369	choosy 2 left	19711421	Berck et al.  2016
8274021	picky 3 left	19711421	Berck et al.  2016
8276782	mPN iACT A1 left	19711421	Berck et al.  2016
8311264	broad T2 left	19711421	Berck et al.  2016
8399890	94a & 94b PN left	19711421	Berck et al.  2016
8480221	mPN seahorse left	19711421	Berck et al.  2016
8509534	mPN cobra left	19711421	Berck et al.  2016
8704079	mPN iACT B3 left	19711421	Berck et al.  2016
8877795	ventral LN left	19711421	Berck et al.  2016
8877971	picky 2 left	19711421	Berck et al.  2016
9119558	mPN iACT VUM L	19711421	Berck et al.  2016
9589146	mPN iACT C1 left	19711421	Berck et al.  2016
10158972	clamp right	19711421	Berck et al.  2016
10167078	mPN iACT B1_right	19711421	Berck et al.  2016
10555409	picky 4 left	19711421	Berck et al.  2016
10831005	keystone right	19711421	Berck et al.  2016
10865025	lAL-1 (octopaminergic) left	19711421	Berck et al.  2016
10990803	mPN iACT VUM R	19711421	Berck et al.  2016
11051276	picky 3 right	19711421	Berck et al.  2016
11105182	clamp left	19711421	Berck et al.  2016
11279244	49a PN right	19711421	Berck et al.  2016
11543212	mPN iACT bilateral LOWER right	19711421	Berck et al.  2016
12225666	mPN iACT A3 left	19711421	Berck et al.  2016
13380660	ginkgo 1 left	19711421	Berck et al.  2016
13589251	33a PN right	19711421	Berck et al.  2016
13803032	Projection from LH 2_right	19711421	Berck et al.  2016
13849557	CSD left	19711421	Berck et al.  2016
14154154	cypress right	19711421	Berck et al.  2016
14437742	spruce left	19711421	Berck et al.  2016
14517691	ginkgo 1 right	19711421	Berck et al.  2016
14604028	85c PN right	19711421	Berck et al.  2016
16259595	67b PN left	19711421	Berck et al.  2016
16515871	mPN cobra right	19711421	Berck et al.  2016
16621864	ginkgo 2 right	19711421	Berck et al.  2016
16735586	mPN iACT B3 right	19711421	Berck et al.  2016
16795524	mPN iACT bilateral UPPER right	19711421	Berck et al.  2016
16795838	mPN iACT bilateral UPPER left	19711421	Berck et al.  2016
17068730	Ladder (olfactory) ant.	19711421	Berck et al.  2016
17545695	cypress left	19711421	Berck et al.  2016
17844900	Giant-step left	19711421	Berck et al.  2016
367872	putative class III or es	19862922	Burgos et al.  2018
722935	ddaA a1l classs III md	19862922	Burgos et al.  2018
754774	A02o_a6l Wave-1	19862922	Burgos et al.  2018
888730	A09a_a3r Basin-2	19862922	Burgos et al.  2018
1115781	A09l_a5r_ Down-and-back-1	19862922	Burgos et al.  2018
1371419	A09l_a4l Down-and-back-1	19862922	Burgos et al.  2018
1378190	A09l_a3r Down-and-back-1	19862922	Burgos et al.  2018
1401061	A02o_a5r Wave-1	19862922	Burgos et al.  2018
1702280	A09l_a4r Down-and-back-1	19862922	Burgos et al.  2018
1815127	A09c_a3l Basin-4	19862922	Burgos et al.  2018
2693767	A09l_a3l Down-and-back-1	19862922	Burgos et al.  2018
2777891	vdaD class III md_a1r or es?	19862922	Burgos et al.  2018
3220573	A09l_a5l Down-and-back-1	19862922	Burgos et al.  2018
3437872	A02o_a5l Wave-1	19862922	Burgos et al.  2018
3995976	A01d3_a1l	19862922	Burgos et al.  2018
4206755	A10f-like a1l	19862922	Burgos et al.  2018
4223188	A02o_t3l Wave-1	19862922	Burgos et al.  2018
5231557	A23g_a2r	19862922	Burgos et al.  2018
5309932	A03g_a1l	19862922	Burgos et al.  2018
5310670	A02o_t3r Wave-1	19862922	Burgos et al.  2018
5733618	A23g_a2l	19862922	Burgos et al.  2018
6896580	A07c4?_a1r	19862922	Burgos et al.  2018
7076835	ldaB a1r class III md	19862922	Burgos et al.  2018
7124156	A10f-like a1r	19862922	Burgos et al.  2018
7633929	v\'esA or v\'esB or v\'es2[1][2]_a1r	19862922	Burgos et al.  2018
7636004	v\'pda a1r class III md	19862922	Burgos et al.  2018
7792781	vdaD a1l class III md	19862922	Burgos et al.  2018
10021175	A18l_a1l	19862922	Burgos et al.  2018
10152437	A07c4?_a1l	19862922	Burgos et al.  2018
12140587	likely sensory class ii  A1r	19862922	Burgos et al.  2018
