Paper_ID	CATMAID_name	VFB_name	CATMAID_SKIDs	VFB_SKIDS	CATMAID_not_VFB	VFB_not_CATMAID	neuron_only
11490509	Paper: Zheng et al 2018	Zheng2018	145	148	0	3	12
12823574	Paper: Felsenberg et al 2018	Felsenberg2018	3	3	0	0	0
13040382	Paper: Dolan and Belliart-Guérin et al. 2018	Dolan2018	10	10	0	0	0
13500459	Paper: Sayin et al 2019	Sayin2019	3	2	1	0	0
14896682	Paper: Kim et al 2020	Kim2020	95	95	0	0	0
15549507	Paper: Zheng et al 2020	Zheng2020	1507	1492	15	0	0
15579831	Paper: Marin et al 2020	Marin2020	327	300	28	1	194
15754279	Paper: Bates and Schlegel et al 2020	BatesSchlegel2020	583	344	240	1	136
15754283	Paper: Dolan et al 2019	Dolan2019	112	109	8	5	20
15754388	Paper: Otto et al 2020	Otto2020	807	0	807	0	0
15981708	Paper: Coates et al 2020	Coates2020	191	191	0	0	28
16232065	Paper: Turner-Evans et al 2020	Turner-Evans2020	49	49	0	0	27
16337677	Paper: Wang et al 2020b	Wang2020b	1	0	1	0	0
16337827	Paper: Wang et al 2020a	Wang2020a	12	0	12	0	0
16830656	Paper: Wang et al 2020c		24	0	24	0	0
16830912	Paper: Morimoto et al 2020		76	0	76	0	0
16857700	Paper: Hampel and Eichler et al 2020		147	0	147	0	0
