skid	name	paper_id	paper_name	FBbt_ID
18924138	lch5-3 or 1 R	19428501	Valdes-Aleman et al. 2021	
18927547	Ladder-b?	19428501	Valdes-Aleman et al. 2021	
18934554	Ladder-d?	19428501	Valdes-Aleman et al. 2021	
18934596	lch L a	19428501	Valdes-Aleman et al. 2021	
19040878	lch5-5 R	19428501	Valdes-Aleman et al. 2021	
19042468	lch5-2/4 R	19428501	Valdes-Aleman et al. 2021	
19044665	lch5-4/2 R	19428501	Valdes-Aleman et al. 2021	
19046954	Basin-4 R a	19428501	Valdes-Aleman et al. 2021	
19050948	Basin R a	19428501	Valdes-Aleman et al. 2021	
19051485	Basin-2 R a	19428501	Valdes-Aleman et al. 2021	
19052035	lch5-1 or 3 R	19428501	Valdes-Aleman et al. 2021	
19152722	vch L a	19428501	Valdes-Aleman et al. 2021	
19152889	vch L a	19428501	Valdes-Aleman et al. 2021	
19160403	vch L a	19428501	Valdes-Aleman et al. 2021	
19161095	Basin L a	19428501	Valdes-Aleman et al. 2021	
19162459	lch L a	19428501	Valdes-Aleman et al. 2021	
19163524	lch L a	19428501	Valdes-Aleman et al. 2021	
19163814	lch L a	19428501	Valdes-Aleman et al. 2021	
19164165	lch L a	19428501	Valdes-Aleman et al. 2021	
19164185	Ladder-f?	19428501	Valdes-Aleman et al. 2021	
19165552	Drunken-1 L	19428501	Valdes-Aleman et al. 2021	
19168151	Griddle-2 R	19428501	Valdes-Aleman et al. 2021	
19169304	Drunken-1 R	19428501	Valdes-Aleman et al. 2021	
19172518	Handle-A	19428501	Valdes-Aleman et al. 2021	
19181097	Basin L a	19428501	Valdes-Aleman et al. 2021	
19181111	Basin L a	19428501	Valdes-Aleman et al. 2021	
19191355	Basin L a	19428501	Valdes-Aleman et al. 2021	
19219359	Griddle-1 R	19428501	Valdes-Aleman et al. 2021	
19227186	vch R a	19428501	Valdes-Aleman et al. 2021	
19229711	vch R a	19428501	Valdes-Aleman et al. 2021	
19230858	vch R a abnormal branch	19428501	Valdes-Aleman et al. 2021	
19231653	Basin R a	19428501	Valdes-Aleman et al. 2021	
19289095	Ladder-b? d? a	19428501	Valdes-Aleman et al. 2021	
19289102	Ladder-e	19428501	Valdes-Aleman et al. 2021	
19295068	Ladder-c	19428501	Valdes-Aleman et al. 2021	
19395916	Griddle-2 L	19428501	Valdes-Aleman et al. 2021	
19395922	Griddle-1 L	19428501	Valdes-Aleman et al. 2021	
