VFB_ID	external_ID	cell_types
VFB_0010018i	10622714	['adult gamma Kenyon cell']
VFB_0010018j	10624058	['adult gamma Kenyon cell']
VFB_0010018k	10625916	['alpha/beta Kenyon cell']
VFB_0010018l	10626516	['adult gamma Kenyon cell']
VFB_0010018e	10611798	['adult gamma Kenyon cell']
VFB_0010018f	10615814	['adult gamma Kenyon cell']
VFB_0010018g	10620286	['adult gamma Kenyon cell']
VFB_0010018h	10621306	['adult gamma Kenyon cell']
VFB_0010018q	10631368	['adult gamma Kenyon cell']
VFB_0010018r	10637662	['adult gamma Kenyon cell']
VFB_0010018s	10638393	['adult gamma Kenyon cell']
VFB_0010018t	10648455	['adult gamma Kenyon cell']
VFB_0010018m	10627169	['adult gamma Kenyon cell']
VFB_0010018n	10627823	['alpha/beta Kenyon cell']
VFB_0010018o	10627842	['alpha/beta Kenyon cell']
VFB_0010018p	10631149	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010018y	10651015	['alpha/beta Kenyon cell']
VFB_0010018z	10651695	['alpha/beta Kenyon cell']
VFB_0010018u	10648870	['alpha/beta Kenyon cell']
VFB_0010018v	10648956	['adult gamma Kenyon cell']
VFB_0010018w	10649882	['adult gamma Kenyon cell']
VFB_0010018x	10650626	['adult gamma Kenyon cell']
VFB_0010019b	10656556	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019c	10656972	['alpha/beta Kenyon cell']
VFB_0010019d	10660172	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019e	10664222	['alpha/beta Kenyon cell']
VFB_0010019a	10653213	['alpha/beta Kenyon cell']
VFB_0010019j	10670856	['alpha/beta Kenyon cell']
VFB_0010019k	10670968	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019l	10678445	['alpha/beta Kenyon cell']
VFB_0010019m	10690180	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019f	10664534	['adult gamma Kenyon cell']
VFB_0010019g	10664995	['adult gamma Kenyon cell']
VFB_0010019h	10666075	['alpha/beta Kenyon cell']
VFB_0010019i	10667352	['adult gamma Kenyon cell']
VFB_0010019r	10776391	['adult gamma Kenyon cell']
VFB_0010019s	10807568	['adult gamma Kenyon cell']
VFB_0010019t	10818757	['alpha/beta Kenyon cell']
VFB_0010019u	10820761	['adult gamma Kenyon cell']
VFB_0010019n	10692087	['alpha/beta Kenyon cell']
VFB_0010019o	10693063	['alpha/beta Kenyon cell']
VFB_0010019p	10733166	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019q	10746756	['alpha/beta Kenyon cell']
VFB_0010019z	10837050	['adult gamma Kenyon cell']
VFB_0010019v	10830823	['alpha/beta Kenyon cell']
VFB_0010019w	10834758	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019x	10835065	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010019y	10835486	['alpha/beta Kenyon cell']
VFB_0010016g	10484566	['adult gamma Kenyon cell']
VFB_0010016h	10496995	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010016i	10499789	['alpha/beta Kenyon cell']
VFB_0010016j	10502422	['adult gamma Kenyon cell']
VFB_0010016c	10475101	['adult gamma Kenyon cell']
VFB_0010016d	10476017	['adult gamma Kenyon cell']
VFB_0010016e	10476086	['adult gamma Kenyon cell']
VFB_0010016f	10483435	['adult gamma Kenyon cell']
VFB_0010016o	10507015	['alpha/beta Kenyon cell']
VFB_0010016p	10507937	['adult gamma Kenyon cell']
VFB_0010016q	10520924	['alpha/beta Kenyon cell']
VFB_0010016r	10522353	['adult gamma Kenyon cell']
VFB_0010016k	10502720	['alpha/beta Kenyon cell']
VFB_0010016l	10502871	['alpha/beta Kenyon cell']
VFB_0010016m	10505101	['adult gamma Kenyon cell']
VFB_0010016n	10505245	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010016w	10529787	"[""adult alpha'/beta' Kenyon cell""]"
VFB_0010016x	10529988	['adult gamma Kenyon cell']
