VFB_ID	external_ID	cell_types
VFB_0010288e	19371	['prothoracic femoral chordotonal club neuron']
VFB_0010288d	19366	['prothoracic femoral chordotonal club neuron']
VFB_0010288g	514076	['adult sensory neuron']
VFB_0010288f	113580	['adult sensory neuron']
VFB_0010288a	80794	['adult sensory neuron']
VFB_0010288c	113570	['adult sensory neuron']
VFB_0010288b	19362	['prothoracic femoral chordotonal club neuron']
VFB_0010288m	74682	['adult sensory neuron']
VFB_0010288l	29626	['prothoracic femoral chordotonal club neuron']
VFB_0010288o	113600	['adult sensory neuron']
VFB_0010288n	25536	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010288i	514100	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010288h	113590	['adult sensory neuron']
VFB_0010288k	25528	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010288j	514113	['prothoracic femoral chordotonal club neuron']
VFB_0010288u	514258	['prothoracic femoral chordotonal club neuron']
VFB_0010288t	23503	['adult sensory neuron']
VFB_0010288w	514285	['adult sensory neuron']
VFB_0010288v	514272	['adult sensory neuron']
VFB_0010288q	514203	['adult sensory neuron']
VFB_0010288p	514190	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010288s	514229	['adult sensory neuron']
VFB_0010288r	514215	['prothoracic femoral chordotonal club neuron']
VFB_0010288y	514311	['bilateral campaniform sensillum neuron of metathoracic leg']
VFB_0010288x	514297	['prothoracic femoral chordotonal club neuron']
VFB_0010288z	25562	['adult sensory neuron']
VFB_0010289f	80884	['adult sensory neuron']
VFB_0010289e	19443	['prothoracic femoral chordotonal club neuron']
VFB_0010289h	113654	['adult sensory neuron']
VFB_0010289g	25590	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010289b	514357	['adult sensory neuron']
VFB_0010289a	514343	['prothoracic femoral chordotonal club neuron']
VFB_0010289d	70639	['adult sensory neuron']
VFB_0010289c	113643	['adult sensory neuron']
VFB_0010289n	514513	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010289m	19457	['prothoracic femoral chordotonal club neuron']
VFB_0010289p	514540	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010289o	23560	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010289j	23550	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010289i	514447	['prothoracic femoral chordotonal club neuron']
VFB_0010289l	113664	['adult sensory neuron']
VFB_0010289k	80894	['adult sensory neuron']
VFB_0010289v	514618	['adult sensory neuron']
VFB_0010289u	514606	['adult sensory neuron']
VFB_0010289x	189490	['adult sensory neuron']
VFB_0010289w	113710	['adult sensory neuron']
VFB_0010289r	25622	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010289q	113677	['adult sensory neuron']
VFB_0010289t	23581	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010289s	189462	['adult sensory neuron']
VFB_0010289z	70711	['adult sensory neuron']
VFB_0010289y	514656	['adult sensory neuron']
VFB_0010286c	513304	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010286b	162525	['adult sensory neuron']
VFB_0010286e	513330	['bilateral campaniform sensillum neuron of mesothoracic leg']
VFB_0010286d	23265	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010286a	513280	['adult sensory neuron']
VFB_0010286k	13044	['prothoracic femoral chordotonal club neuron']
VFB_0010286j	513439	['adult sensory neuron']
VFB_0010286m	162549	['adult sensory neuron']
VFB_0010286l	513465	['adult sensory neuron']
VFB_0010286g	162533	['adult sensory neuron']
VFB_0010286f	513348	['adult sensory neuron']
VFB_0010286i	162541	['adult sensory neuron']
VFB_0010286h	162537	['adult sensory neuron']
VFB_0010286s	513554	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010286r	513542	['adult sensory neuron']
VFB_0010286u	513580	['prothoracic femoral chordotonal club neuron']
VFB_0010286t	513567	['adult sensory neuron']
VFB_0010286o	13048	['prothoracic femoral chordotonal claw neuron']
VFB_0010286n	513489	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010286q	13053	['prothoracic femoral chordotonal club neuron']
VFB_0010286p	15098	['adult sensory neuron']
VFB_0010286z	513647	['prothoracic femoral chordotonal club neuron']
VFB_0010286w	513606	['prothoracic femoral chordotonal club neuron']
VFB_0010286v	15125	['adult sensory neuron']
VFB_0010286y	513633	['prothoracic femoral chordotonal club neuron']
VFB_0010286x	23321	['adult sensory neuron']
VFB_0010287d	113465	['adult sensory neuron']
VFB_0010287c	513690	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010287f	513727	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010287e	15163	['adult sensory neuron']
VFB_0010287b	513675	['adult sensory neuron']
VFB_0010287a	19254	['prothoracic femoral chordotonal club neuron']
VFB_0010287l	513802	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010287k	513791	['adult sensory neuron']
VFB_0010287n	113475	['adult sensory neuron']
VFB_0010287m	513815	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010287h	513754	['adult sensory neuron']
VFB_0010287g	25403	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010287j	513777	['prothoracic femoral chordotonal club neuron']
VFB_0010287i	70467	['adult sensory neuron']
VFB_0010287t	107371	['adult sensory neuron']
VFB_0010287s	513895	['adult sensory neuron']
VFB_0010287v	513933	['adult sensory neuron']
VFB_0010287u	23410	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010287p	25424	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010287o	513840	['adult sensory neuron']
VFB_0010287r	80736	['bilateral campaniform sensillum neuron of metathoracic leg']
VFB_0010287q	113496	['adult sensory neuron']
VFB_0010287x	13188	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010287w	513945	['adult sensory neuron']
VFB_0010287z	113560	['adult sensory neuron']
VFB_0010287y	113549	['adult sensory neuron']
VFB_0010284a	512603	['ascending mechanosensory neuron of leg chordotonal organ']
VFB_0010284c	23066	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284b	512617	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010284i	556	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284h	25126	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284k	23086	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284j	14892	['mechanosensory neuron of leg chordotonal organ']
VFB_0010284e	512658	['adult sensory neuron']
VFB_0010284d	512645	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010284g	547	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284f	512672	['ascending mechanosensory neuron of leg chordotonal organ']
VFB_0010284q	512823	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284p	14905	['adult sensory neuron']
VFB_0010284s	25165	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284r	584	['adult sensory neuron']
VFB_0010284m	512767	['prothoracic femoral chordotonal hook neuron']
VFB_0010284l	512754	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010284o	512795	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
