VFB_ID	external_ID	cell_types
VFB_fw106047	flywire_fafb:720575940615761986	['transmedullary neuron Tm2']
VFB_fw106048	flywire_fafb:720575940625114919	['adult cholinergic neuron', 'transmedullary Y neuron TmY18']
VFB_fw106049	flywire_fafb:720575940616970838	['transmedullary neuron Tm20']
VFB_fw106050	flywire_fafb:720575940625686044	['distal medullary amacrine neuron Dm8a']
VFB_fw106051	flywire_fafb:720575940629365915	['transmedullary neuron Tm3']
VFB_fw106052	flywire_fafb:720575940610225988	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106053	flywire_fafb:720575940631953475	['adult central medulla intrinsic neuron Cm3']
VFB_fw106054	flywire_fafb:720575940619873377	['transmedullary neuron Tm20']
VFB_fw106055	flywire_fafb:720575940610399427	['transmedullary Y neuron TmY10']
VFB_fw106056	flywire_fafb:720575940618957140	['lamina monopolar neuron L1']
VFB_fw106057	flywire_fafb:720575940632110392	['transmedullary neuron Tm3']
VFB_fw106036	flywire_fafb:720575940621027348	['adult central medulla intrinsic neuron Cm5']
VFB_fw106037	flywire_fafb:720575940625244936	['distal medullary amacrine neuron Dm8a']
VFB_fw106038	flywire_fafb:720575940620759136	['distal medullary amacrine neuron Dm2']
VFB_fw106039	flywire_fafb:720575940625811812	['adult central medulla intrinsic neuron Cm3']
VFB_fw106040	flywire_fafb:720575940611967125	['transmedullary neuron Tm3']
VFB_fw106041	flywire_fafb:720575940606128318	['adult cholinergic neuron', 'lamina monopolar neuron L3']
VFB_fw106042	flywire_fafb:720575940623295949	['adult cholinergic neuron', 'transmedullary neuron Tm6']
VFB_fw106043	flywire_fafb:720575940616994699	['adult central medulla intrinsic neuron Cm7', 'adult glutamatergic neuron']
VFB_fw106044	flywire_fafb:720575940630196930	['lamina monopolar neuron L5']
VFB_fw106045	flywire_fafb:720575940639423541	['medulla intrinsic neuron Mi9']
VFB_fw106046	flywire_fafb:720575940625508536	['distal medullary amacrine neuron Dm3b']
VFB_fw106069	flywire_fafb:720575940633377484	['lamina monopolar neuron L5']
VFB_fw106070	flywire_fafb:720575940619929150	['distal medullary amacrine neuron Dm2']
VFB_fw106071	flywire_fafb:720575940610226500	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106072	flywire_fafb:720575940618074369	['medulla intrinsic neuron Mi4']
VFB_fw106073	flywire_fafb:720575940627563653	['medulla intrinsic neuron Mi4']
VFB_fw106074	flywire_fafb:720575940621082733	['transmedullary neuron Tm2']
VFB_fw106075	flywire_fafb:720575940641618896	['lamina monopolar neuron L2']
VFB_fw106076	flywire_fafb:720575940610802990	['transmedullary neuron Tm33']
VFB_fw106077	flywire_fafb:720575940627333918	['transmedullary neuron Tm5c']
VFB_fw106078	flywire_fafb:720575940632759460	['adult central medulla intrinsic neuron Cm6']
VFB_fw106079	flywire_fafb:720575940648165764	['distal medullary amacrine neuron Dm10']
VFB_fw106058	flywire_fafb:720575940632080170	['transmedullary neuron Tm20']
VFB_fw106059	flywire_fafb:720575940622609246	['T4d neuron']
VFB_fw106060	flywire_fafb:720575940635348331	['distal medullary amacrine neuron Dm8a']
VFB_fw106061	flywire_fafb:720575940617669332	['adult central medulla intrinsic neuron Cm3']
VFB_fw106062	flywire_fafb:720575940647188532	['lamina monopolar neuron L3']
VFB_fw106063	flywire_fafb:720575940630195326	['T5c neuron']
VFB_fw106064	flywire_fafb:720575940625497835	['distal medullary amacrine neuron Dm10']
VFB_fw106065	flywire_fafb:720575940631495951	['distal medullary amacrine neuron Dm2']
VFB_fw106066	flywire_fafb:720575940620134224	['transmedullary neuron Tm37']
VFB_fw106067	flywire_fafb:720575940612716458	['transmedullary neuron Tm3']
VFB_fw106068	flywire_fafb:720575940630628474	['centrifugal neuron C3']
VFB_fw106090	flywire_fafb:720575940635898303	['adult GABAergic neuron', 'proximal medullary amacrine neuron Pm2']
VFB_fw106091	flywire_fafb:720575940606543392	['medulla intrinsic neuron Mi9']
VFB_fw106092	flywire_fafb:720575940621982134	['adult central medulla intrinsic neuron Cm5']
VFB_fw106093	flywire_fafb:720575940624354348	['medulla intrinsic neuron Mi4']
VFB_fw106094	flywire_fafb:720575940637009263	['T2 neuron']
VFB_fw106095	flywire_fafb:720575940631102295	['transmedullary neuron Tm4']
VFB_fw106096	flywire_fafb:720575940634256026	['transmedullary neuron Tm4']
VFB_fw106097	flywire_fafb:720575940633643428	['distal medullary amacrine neuron Dm8a']
VFB_fw106098	flywire_fafb:720575940634290031	['transmedullary neuron Tm2']
VFB_fw106099	flywire_fafb:720575940640345216	['transmedullary Y neuron TmY3']
VFB_fw106080	flywire_fafb:720575940621468854	['transmedullary neuron Tm1']
VFB_fw106081	flywire_fafb:720575940614693374	['medulla intrinsic neuron Mi9']
VFB_fw106082	flywire_fafb:720575940638595135	['adult GABAergic neuron', 'medulla intrinsic neuron Mi9']
