skid	name	paper_id	paper_name	synonyms	FBbt_ID
1678567	MB2ON-135	21308444	Eschbach, Fushiki et al. 2020b	BU ; DALd 4_left	
2439067	LHN-8	21308444	Eschbach, Fushiki et al. 2020b	T3: PVLr_left|LH-24	
2628785	CN-55	21308444	Eschbach, Fushiki et al. 2020b	AE:BAmd2 r bilateral_left|MB2ON-122|LH-2|LHN-19	
2650887	MB2ON-61	21308444	Eschbach, Fushiki et al. 2020b	CA ; DPMpm1 1_right	
3027876	MB2ON-144	21308444	Eschbach, Fushiki et al. 2020b	Tomato Vine 2_right	
3814853	LHN-8	21308444	Eschbach, Fushiki et al. 2020b	T3: PVLr_right|LH-24	
3855754	FB-41	21308444	Eschbach, Fushiki et al. 2020b	SOGr Hugin-like-1_right|MB2IN-53|MB2ON-155	
3913620	CN-6	21308444	Eschbach, Fushiki et al. 2020b	T5; offPVL09_3_large_right|MB2ON-41	
3913629	CN-50	21308444	Eschbach, Fushiki et al. 2020b	Projection from LH 1_right|MB2ON-47|LH-18|LHN-14	
4067286	CN-26	21308444	Eschbach, Fushiki et al. 2020b	SLP2_right|MB2ON-245	
4188325	MB2ON-239	21308444	Eschbach, Fushiki et al. 2020b	DALv23 LAL 7 right	
4214582	MB2ON-24	21308444	Eschbach, Fushiki et al. 2020b	Y ; DALcm12 L m ant lat 2_right|MB2IN-113	
4227831	MB2ON-1	21308444	Eschbach, Fushiki et al. 2020b	AC ; DALcm12 m ant med 1_right	
4227880	MB2ON-68	21308444	Eschbach, Fushiki et al. 2020b	EV_right 	
4228105	MB2ON-67	21308444	Eschbach, Fushiki et al. 2020b	ML_right	
4228119	MB2ON-28	21308444	Eschbach, Fushiki et al. 2020b	P ; DALcm12  m ant lat #4_right|MB2IN-114	
4234559	MB2ON-78	21308444	Eschbach, Fushiki et al. 2020b	CM13 lat 3_right	
4274518	MB2ON-233	21308444	Eschbach, Fushiki et al. 2020b	Brain looper left	
4311586	CN-55	21308444	Eschbach, Fushiki et al. 2020b	AE:BAmd2 r bilateral_right|MB2ON-122|LH-2|LHN-19	
4346154	MB2ON-170	21308444	Eschbach, Fushiki et al. 2020b	DALcm_r right	
4391317	MB2IN-200	21308444	Eschbach, Fushiki et al. 2020b	3rd Thermo AP - Bridge IV_left|MB2ON-96	
4408362	MB2ON-80	21308444	Eschbach, Fushiki et al. 2020b	NH; BAmd2_left -axon incomplete	
4408369	MB2ON-71	21308444	Eschbach, Fushiki et al. 2020b	Baso_left|MB2IN-122	
4409374	MB2ON-78	21308444	Eschbach, Fushiki et al. 2020b	CM13 lat 3_left	
4411542	CN-22	21308444	Eschbach, Fushiki et al. 2020b	T1 ; DALcl12 d 4_right|MB2ON-29	
4433960	MB2ON-52	21308444	Eschbach, Fushiki et al. 2020b	NQ: BAla1/2_left	
4515496	MB2ON-70	21308444	Eschbach, Fushiki et al. 2020b	BAmv12 #3_right|MB2IN-121	
4575178	CN-42	21308444	Eschbach, Fushiki et al. 2020b	CH ; BAmd1 lineage_right|MB2IN-119|MB2ON-66	
4665186	CN-49	21308444	Eschbach, Fushiki et al. 2020b	PVM_42a_LH_left|MB2ON-121|LH-20|LHN-13	
4721087	MB2ON-80	21308444	Eschbach, Fushiki et al. 2020b	NH; BAmd2_right	
4721538	MB2ON-63	21308444	Eschbach, Fushiki et al. 2020b	QI; visual interneuron_left	
4849988	MB2ON-141	21308444	Eschbach, Fushiki et al. 2020b	DP: DALcm12 v p 24_right	
5103177	FB-41	21308444	Eschbach, Fushiki et al. 2020b	SOGr Hugin-like-1_left|MB2IN-53|MB2ON-155	
5169587	MB2ON-28	21308444	Eschbach, Fushiki et al. 2020b	P ; DALcm12  m ant lat #4_left|MB2IN-114	
5186443	MB2ON-170	21308444	Eschbach, Fushiki et al. 2020b	DALcm12 L m ant lat 1 left	
5326407	MB2ON-69	21308444	Eschbach, Fushiki et al. 2020b	CP23 v 11_right|MB2IN-120	
5453333	CN-51	21308444	Eschbach, Fushiki et al. 2020b	Projection from LH 2_left|MB2ON-38|LH-19|LHN-15	
5474852	CN-5	21308444	Eschbach, Fushiki et al. 2020b	RQ1: 3rd - thermo orders _left|MB2ON-127	
5669107	MB2ON-16	21308444	Eschbach, Fushiki et al. 2020b	L ; DALcm12 m lat 4_right|MB2IN-112	
5771934	MB2ON-76	21308444	Eschbach, Fushiki et al. 2020b	BAmd1 d_right	
5783868	MB2ON-6	21308444	Eschbach, Fushiki et al. 2020b	AK ; DALcm12 v p 7_right 	
5856647	MB2ON-130	21308444	Eschbach, Fushiki et al. 2020b	BL 3 ; CM13 lat 2_right|MB2IN-131	
5874480	CN-8	21308444	Eschbach, Fushiki et al. 2020b	Bridge V_left|MB2ON-99	
6153877	MB2ON-135	21308444	Eschbach, Fushiki et al. 2020b	BU ; DALd 4_right	
