filename	label	is_a	part_of	dbxrefs	synonyms
16	Uniglomerular mALT VA6 adPN#R1 (skeleton_id:16)	neuron	female organism|adult brain	catmaid_fafb:16	Uniglomerular mALT VA6 adPN 017 DB
27	Uniglomerular mALT DM4 adPN#L1 (skeleton_id:27)	neuron	female organism|adult brain	catmaid_fafb:27	Uniglomerular mALT DM4 adPN DB ECM
717	Uniglomerular mALT VA4 lPN#L1 (skeleton_id:717)	neuron	female organism|adult brain	catmaid_fafb:717	Uniglomerular mALT VA4 lPN DB
734	Uniglomerular mALT DM1 lPN#L1 (skeleton_id:734)	neuron	female organism|adult brain	catmaid_fafb:734	Uniglomerular mALT DM1 lPN XZ
949	Uniglomerular mALT VM3 adPN#L1 (skeleton_id:949)	neuron	female organism|adult brain	catmaid_fafb:949	Uniglomerular mALT VM3 adPN 950 DB XZ
1165	Uniglomerular mALT VM3 adPN#L2 (skeleton_id:1165)	neuron	female organism|adult brain	catmaid_fafb:1165	Uniglomerular mALT VM3 adPN 1166 DB XZ
1992	Uniglomerular mALT DL5 adPN#L1 (skeleton_id:1992)	neuron	female organism|adult brain	catmaid_fafb:1992	Uniglomerular mALT DL5 adPN DB
2076	Uniglomerular mALT DC1 adPN#L1 (skeleton_id:2076)	neuron	female organism|adult brain	catmaid_fafb:2076	Uniglomerular mALT DC1 adPN PN015 DB
2115	Uniglomerular mALT VA3 adPN#L2 (skeleton_id:2115)	neuron	female organism|adult brain	catmaid_fafb:2115	Uniglomerular mALT VA3 adPN 2116 MT
2338	Uniglomerular mALT VA2 adPN#L1 (skeleton_id:2338)	neuron	female organism|adult brain	catmaid_fafb:2338	Uniglomerular mALT VA2 adPN DB XZ
3133	Uniglomerular mALT VA6 adPN#L1 (skeleton_id:3133)	neuron	female organism|adult brain	catmaid_fafb:3133	Uniglomerular mALT VA6 adPN PN019 DB
3425	Uniglomerular mALT VA3 adPN#L1 (skeleton_id:3425)	neuron	female organism|adult brain	catmaid_fafb:3425	Uniglomerular mALT VA3 adPN DB XZ
