filename	label	is_a	part_of	dbxrefs	synonyms
720956	WPNB3#3	neuron	female organism|adult brain	catmaid_fafb:720956	720956
829827	Dense ABAF LN#1	neuron	female organism|adult brain	catmaid_fafb:829827	829827
1783540	DA2 ORN #4	neuron	female organism|adult brain	catmaid_fafb:1783540	1783540
1989293	DA2 ORN #5	neuron	female organism|adult brain	catmaid_fafb:1989293	1989293
1989493	DC1 ORN #5	neuron	female organism|adult brain	catmaid_fafb:1989493	1989493
1990940	Patchy LN #1	neuron	female organism|adult brain	catmaid_fafb:1990940	1990940
2825182	LN #1	neuron	female organism|adult brain	catmaid_fafb:2825182	2825182
2849437	Patchy LN #2	neuron	female organism|adult brain	catmaid_fafb:2849437	2849437
2851276	LN #2	neuron	female organism|adult brain	catmaid_fafb:2851276	2851276
2891306	Dense ABAF LN#2	neuron	female organism|adult brain	catmaid_fafb:2891306	2891306
3077882	SIMPAL-Right #1	neuron	female organism|adult brain	catmaid_fafb:3077882	3077882
3085783	SIMPAL-Right #2	neuron	female organism|adult brain	catmaid_fafb:3085783	3085783
3601125	WPNB1#2	neuron	female organism|adult brain	catmaid_fafb:3601125	3601125
3644717	SMP Input Neuron #1	neuron	female organism|adult brain	catmaid_fafb:3644717	3644717
3721315	CSDn-left	neuron	female organism|adult brain	catmaid_fafb:3721315	3721315
3755537	WPNB2#2	neuron	female organism|adult brain	catmaid_fafb:3755537	3755537
3802286	DA2 ORN #6	neuron	female organism|adult brain	catmaid_fafb:3802286	3802286
3808894	DC1 ORN #6	neuron	female organism|adult brain	catmaid_fafb:3808894	3808894
3808901	DC1 ORN #7	neuron	female organism|adult brain	catmaid_fafb:3808901	3808901
3808955	vLN#1	neuron	female organism|adult brain	catmaid_fafb:3808955	3808955
3821611	WPNB1#1	neuron	female organism|adult brain	catmaid_fafb:3821611	3821611
3823702	LN #3	neuron	female organism|adult brain	catmaid_fafb:3823702	3823702
3823762	DC1 ORN #15	neuron	female organism|adult brain	catmaid_fafb:3823762	3823762
3823793	DC1 ORN #8	neuron	female organism|adult brain	catmaid_fafb:3823793	3823793
3823828	DC1 ORN #9	neuron	female organism|adult brain	catmaid_fafb:3823828	3823828
3823842	DC1 ORN #10	neuron	female organism|adult brain	catmaid_fafb:3823842	3823842
3871868	WPNB3#4	neuron	female organism|adult brain	catmaid_fafb:3871868	3871868
4079928	DM1 ORN #6	neuron	female organism|adult brain	catmaid_fafb:4079928	4079928
4081029	DM1 ORN #18	neuron	female organism|adult brain	catmaid_fafb:4081029	4081029
4081141	DM1 ORN #7	neuron	female organism|adult brain	catmaid_fafb:4081141	4081141
4081183	DM1 ORN #8	neuron	female organism|adult brain	catmaid_fafb:4081183	4081183
4081193	DM1 ORN #9	neuron	female organism|adult brain	catmaid_fafb:4081193	4081193
4081200	DM1 ORN #20	neuron	female organism|adult brain	catmaid_fafb:4081200	4081200
