filename	label	is_a	part_of	comment	dbxrefs	synonyms
7179579	GRN R5#1 (FAFB:7179579)	neuron	female organism|adult brain	GRN R5#1, FBbt:00058156	catmaid_fafb:7179579	
7256298	GRN R6#1 (FAFB:7256298)	neuron	female organism|adult brain	GRN R6#1, FBbt:00100042	catmaid_fafb:7256298	
7349219	GRN R4#1 (FAFB:7349219)	neuron	female organism|adult brain	GRN R4#1, FBbt:00058156	catmaid_fafb:7349219	
7349238	GRN R2#1 (FAFB:7349238)	neuron	female organism|adult brain	GRN R2#1, FBbt:00048152	catmaid_fafb:7349238	
7349285	GRN R4#2 (FAFB:7349285)	neuron	female organism|adult brain	GRN R4#2, FBbt:00058156	catmaid_fafb:7349285	
7432034	GRN R4#3 (FAFB:7432034)	neuron	female organism|adult brain	GRN R4#3, FBbt:00058156	catmaid_fafb:7432034	
7438474	GRN R6#2 (FAFB:7438474)	neuron	female organism|adult brain	GRN R6#2, FBbt:00100042	catmaid_fafb:7438474	
7451040	GRN R5#2 (FAFB:7451040)	neuron	female organism|adult brain	GRN R5#2, FBbt:00058156	catmaid_fafb:7451040	
7456677	GRN R4#4 (FAFB:7456677)	neuron	female organism|adult brain	GRN R4#4, FBbt:00058156	catmaid_fafb:7456677	
7468835	GRN R4#5 (FAFB:7468835)	neuron	female organism|adult brain	GRN R4#5, FBbt:00058156	catmaid_fafb:7468835	
7471728	GRN R4#6 (FAFB:7471728)	neuron	female organism|adult brain	GRN R4#6, FBbt:00058156	catmaid_fafb:7471728	
7471829	GRN R5#3 (FAFB:7471829)	neuron	female organism|adult brain	GRN R5#3, FBbt:00058156	catmaid_fafb:7471829	
7474052	GRN R6#3 (FAFB:7474052)	neuron	female organism|adult brain	GRN R6#3, FBbt:00100042	catmaid_fafb:7474052	
7479777	GRN R5#4 (FAFB:7479777)	neuron	female organism|adult brain	GRN R5#4, FBbt:00058156	catmaid_fafb:7479777	
7485475	GRN R6#4 (FAFB:7485475)	neuron	female organism|adult brain	GRN R6#4, FBbt:00100042	catmaid_fafb:7485475	
7487871	GRN R4#7 (FAFB:7487871)	neuron	female organism|adult brain	GRN R4#7, FBbt:00058156	catmaid_fafb:7487871	
7575588	GRN R6#5 (FAFB:7575588)	neuron	female organism|adult brain	GRN R6#5, FBbt:00100042	catmaid_fafb:7575588	
7708435	GRN R4#8 (FAFB:7708435)	neuron	female organism|adult brain	GRN R4#8, FBbt:00058156	catmaid_fafb:7708435	
7716995	GRN R6#6 (FAFB:7716995)	neuron	female organism|adult brain	GRN R6#6, FBbt:00100042	catmaid_fafb:7716995	
7723218	GRN R4#9 (FAFB:7723218)	neuron	female organism|adult brain	GRN R4#9, FBbt:00058156	catmaid_fafb:7723218	
7723244	GRN R3#1 (FAFB:7723244)	neuron	female organism|adult brain	GRN R3#1, FBbt:00100043	catmaid_fafb:7723244	
7724239	GRN R6#7 (FAFB:7724239)	neuron	female organism|adult brain	GRN R6#7, FBbt:00100042	catmaid_fafb:7724239	
7753061	GRN R4#10 (FAFB:7753061)	neuron	female organism|adult brain	GRN R4#10, FBbt:00058156	catmaid_fafb:7753061	
7757554	GRN R2#2 (FAFB:7757554)	neuron	female organism|adult brain	GRN R2#2, FBbt:00048152	catmaid_fafb:7757554	
7759395	GRN R3#2 (FAFB:7759395)	neuron	female organism|adult brain	GRN R3#2, FBbt:00100043	catmaid_fafb:7759395	
7759742	GRN R5#5 (FAFB:7759742)	neuron	female organism|adult brain	GRN R5#5, FBbt:00058156	catmaid_fafb:7759742	
7759923	GRN R1#1 (FAFB:7759923)	neuron	female organism|adult brain	GRN R1#1, FBbt:00048152	catmaid_fafb:7759923	
7773850	GRN R3#3 (FAFB:7773850)	neuron	female organism|adult brain	GRN R3#3, FBbt:00100043	catmaid_fafb:7773850	
7774114	GRN R4#11 (FAFB:7774114)	neuron	female organism|adult brain	GRN R4#11, FBbt:00058156	catmaid_fafb:7774114	
7774393	GRN R5#6 (FAFB:7774393)	neuron	female organism|adult brain	GRN R5#6, FBbt:00058156	catmaid_fafb:7774393	
7774674	GRN R1#2 (FAFB:7774674)	neuron	female organism|adult brain	GRN R1#2, FBbt:00048152	catmaid_fafb:7774674	
7789606	GRN R5#7 (FAFB:7789606)	neuron	female organism|adult brain	GRN R5#7, FBbt:00058156	catmaid_fafb:7789606	
7789717	GRN R1#3 (FAFB:7789717)	neuron	female organism|adult brain	GRN R1#3, FBbt:00048152	catmaid_fafb:7789717	
7789757	GRN R3#4 (FAFB:7789757)	neuron	female organism|adult brain	GRN R3#4, FBbt:00100043	catmaid_fafb:7789757	
7789762	GRN R3#5 (FAFB:7789762)	neuron	female organism|adult brain	GRN R3#5, FBbt:00100043	catmaid_fafb:7789762	
7793752	GRN R4#12 (FAFB:7793752)	neuron	female organism|adult brain	GRN R4#12, FBbt:00058156	catmaid_fafb:7793752	
7796688	GRN R3#6 (FAFB:7796688)	neuron	female organism|adult brain	GRN R3#6, FBbt:00100043	catmaid_fafb:7796688	
7802087	GRN R3#7 (FAFB:7802087)	neuron	female organism|adult brain	GRN R3#7, FBbt:00100043	catmaid_fafb:7802087	
7881737	GRN R6#8 (FAFB:7881737)	neuron	female organism|adult brain	GRN R6#8, FBbt:00100042	catmaid_fafb:7881737	
8210748	GRN R3#8 (FAFB:8210748)	neuron	female organism|adult brain	GRN R3#8, FBbt:00100043	catmaid_fafb:8210748	
9016928	GRN R5#8 (FAFB:9016928)	neuron	female organism|adult brain	GRN R5#8, FBbt:00058156	catmaid_fafb:9016928	
9235133	GRN R6#9 (FAFB:9235133)	neuron	female organism|adult brain	GRN R6#9, FBbt:00100042	catmaid_fafb:9235133	
9348643	GRN R1#4 (FAFB:9348643)	neuron	female organism|adult brain	GRN R1#4, FBbt:00048152	catmaid_fafb:9348643	
9391836	GRN R1#5 (FAFB:9391836)	neuron	female organism|adult brain	GRN R1#5, FBbt:00048152	catmaid_fafb:9391836	
10154803	GRN L4#1 (FAFB:10154803)	neuron	female organism|adult brain	GRN L4#1, FBbt:00110887	catmaid_fafb:10154803	
10223339	GRN L7#1 (FAFB:10223339)	neuron	female organism|adult brain	GRN L7#1, FBbt:00110887	catmaid_fafb:10223339	
10223376	GRN L3#1 (FAFB:10223376)	neuron	female organism|adult brain	GRN L3#1, FBbt:00110887	catmaid_fafb:10223376	
10223392	GRN L4#2 (FAFB:10223392)	neuron	female organism|adult brain	GRN L4#2, FBbt:00110887	catmaid_fafb:10223392	
10368680	GRN L1#1 (FAFB:10368680)	neuron	female organism|adult brain	GRN L1#1, FBbt:00048152	catmaid_fafb:10368680	
10443082	GRN L2#1 (FAFB:10443082)	neuron	female organism|adult brain	GRN L2#1, FBbt:00048152	catmaid_fafb:10443082	
10481113	GRN L2#2 (FAFB:10481113)	neuron	female organism|adult brain	GRN L2#2, FBbt:00048152	catmaid_fafb:10481113	
10489651	GRN L7#2 (FAFB:10489651)	neuron	female organism|adult brain	GRN L7#2, FBbt:00110887	catmaid_fafb:10489651	
10490381	GRN L5#1 (FAFB:10490381)	neuron	female organism|adult brain	GRN L5#1, FBbt:00110887	catmaid_fafb:10490381	
10603489	GRN L1#2 (FAFB:10603489)	neuron	female organism|adult brain	GRN L1#2, FBbt:00048152	catmaid_fafb:10603489	
10626457	GRN L5#2 (FAFB:10626457)	neuron	female organism|adult brain	GRN L5#2, FBbt:00110887	catmaid_fafb:10626457	
10742200	GRN R4#13 (FAFB:10742200)	neuron	female organism|adult brain	GRN R4#13, FBbt:00058156	catmaid_fafb:10742200	
10780407	GRN L3#2 (FAFB:10780407)	neuron	female organism|adult brain	GRN L3#2, FBbt:00110887	catmaid_fafb:10780407	
10780417	GRN L4#3 (FAFB:10780417)	neuron	female organism|adult brain	GRN L4#3, FBbt:00110887	catmaid_fafb:10780417	
10780425	GRN L1#3 (FAFB:10780425)	neuron	female organism|adult brain	GRN L1#3, FBbt:00048152	catmaid_fafb:10780425	
10780443	GRN L6#1 (FAFB:10780443)	neuron	female organism|adult brain	GRN L6#1, FBbt:00100043	catmaid_fafb:10780443	
10795558	GRN L6#2 (FAFB:10795558)	neuron	female organism|adult brain	GRN L6#2, FBbt:00100043	catmaid_fafb:10795558	
10796200	GRN L1#4 (FAFB:10796200)	neuron	female organism|adult brain	GRN L1#4, FBbt:00048152	catmaid_fafb:10796200	
11206721	GRN R4#14 (FAFB:11206721)	neuron	female organism|adult brain	GRN R4#14, FBbt:00058156	catmaid_fafb:11206721	
11206727	GRN R5#9 (FAFB:11206727)	neuron	female organism|adult brain	GRN R5#9, FBbt:00058156	catmaid_fafb:11206727	
11242644	GRN L2#3 (FAFB:11242644)	neuron	female organism|adult brain	GRN L2#3, FBbt:00048152	catmaid_fafb:11242644	
