filename	label	is_a	part_of	comment	dbxrefs	synonyms
30591	MBON-Calyx_R (FAFB:30591)	neuron	female organism|adult brain	FBbt:00100240, MBON-Calyx_R	catmaid_fafb:30591	
488055	LHAV4c1#1 (FAFB:488055)	neuron	female organism|adult brain	FBbt:00049357, LHAV4c1#1	catmaid_fafb:488055	
533772	LHAD3a1#1 (FAFB:533772)	neuron	female organism|adult brain	FBbt:00049329, LHAD3a1#1	catmaid_fafb:533772	
535060	MB-C1#1 (FAFB:535060)	neuron	female organism|adult brain	FBbt:00100226, MB-C1#1	catmaid_fafb:535060	
556874	LHPV5a3#2 (FAFB:556874)	neuron	female organism|adult brain	FBbt:00049409, LHPV5a3#2	catmaid_fafb:556874	
1102557	LHPV6c1#2 (FAFB:1102557)	neuron	female organism|adult brain	FBbt:00049422, LHPV6c1#2	catmaid_fafb:1102557	
1103232	LHPV4c4#2 (FAFB:1103232)	neuron	female organism|adult brain	FBbt:00049399, LHPV4c4#2	catmaid_fafb:1103232	
1149437	aSP-g1b#2 (FAFB:1149437)	neuron	female organism|adult brain	FBbt:00049330, aSP-g1b#2	catmaid_fafb:1149437	
1313334	WEDPN3#3 (FAFB:1313334)	neuron	female organism|adult brain	FBbt:00049456, WEDPN3#3	catmaid_fafb:1313334	
1415926	LHAV6a1#1 (FAFB:1415926)	neuron	female organism|adult brain	FBbt:00049362, LHAV6a1#1	catmaid_fafb:1415926	
1478950	PPL203#1 (FAFB:1478950)	neuron	female organism|adult brain	FBbt:00048255, PPL203#1	catmaid_fafb:1478950	
1546454	FB2H#1 (FAFB:1546454)	neuron	female organism|adult brain	FBbt:00049419, FB2H#1	catmaid_fafb:1546454	
1621078	LHPV5g1#1 (FAFB:1621078)	neuron	female organism|adult brain	FBbt:00049417, LHPV5g1#1	catmaid_fafb:1621078	
1703872	LHPV2a2#1 (FAFB:1703872)	neuron	female organism|adult brain	FBbt:00049379, LHPV2a2#1	catmaid_fafb:1703872	
1710793	LHPV4a1#3 (FAFB:1710793)	neuron	female organism|adult brain	FBbt:00049385, LHPV4a1#3	catmaid_fafb:1710793	
1853423	LHAV4a4#2 (FAFB:1853423)	neuron	female organism|adult brain	FBbt:00049348, LHAV4a4#2	catmaid_fafb:1853423	
1869224	LHPV4b9#1 (FAFB:1869224)	neuron	female organism|adult brain	FBbt:00049405, LHPV4b9#1	catmaid_fafb:1869224	
1870230	LHAV2a3#1 (FAFB:1870230)	neuron	female organism|adult brain	LHAV2a3#1, FBbt:00049338	catmaid_fafb:1870230	
1879479	LHAD1f4#1 (FAFB:1879479)	neuron	female organism|adult brain	FBbt:00049319, LHAD1f4#1	catmaid_fafb:1879479	
1911124	LHAV4a4#1 (FAFB:1911124)	neuron	female organism|adult brain	FBbt:00049348, LHAV4a4#1	catmaid_fafb:1911124	
1967862	LHAV1a2#1 (FAFB:1967862)	neuron	female organism|adult brain	FBbt:00049332, LHAV1a2#1	catmaid_fafb:1967862	
1967891	LHAV4b2#1 (FAFB:1967891)	neuron	female organism|adult brain	FBbt:00049353, LHAV4b2#1	catmaid_fafb:1967891	
2050698	LHAV4e7#1 (FAFB:2050698)	neuron	female organism|adult brain	LHAV4e7#1	catmaid_fafb:2050698	
2096700	LHPV4b3#2 (FAFB:2096700)	neuron	female organism|adult brain	FBbt:00049398, LHPV4b3#2	catmaid_fafb:2096700	
2130631	LHPV6a3#2 (FAFB:2130631)	neuron	female organism|adult brain	FBbt:00049421, LHPV6a3#2	catmaid_fafb:2130631	
2153398	WEDPN4#1 (FAFB:2153398)	neuron	female organism|adult brain	FBbt:00049457, WEDPN4#1	catmaid_fafb:2153398	
2198365	LHAV2b2#1 (FAFB:2198365)	neuron	female organism|adult brain	FBbt:00049342, LHAV2b2#1	catmaid_fafb:2198365	
