filename	label	is_a	part_of	dbxrefs	synonyms
3078	VP1m l2PN_L	neuron	female organism|adult brain	catmaid_fafb:3078	3078
8798	KCg-s1R	neuron	female organism|adult brain	catmaid_fafb:8798	8798
30571	PPL202#1	neuron	female organism|adult brain	catmaid_fafb:30571	30571
32793	Multiglomerular mALT l2PN#R2	neuron	female organism|adult brain	catmaid_fafb:32793	32793
56999	Uniglomerular mALT VP1l+ lvPN#R3	neuron	female organism|adult brain	catmaid_fafb:56999	56999
57015	Multiglomerular mALT lvPN#R18	neuron	female organism|adult brain	catmaid_fafb:57015	57015
57051	Multiglomerular mALT lvPN#R22	neuron	female organism|adult brain	catmaid_fafb:57051	57051
57059	Multiglomerular mALT lvPN#R29	neuron	female organism|adult brain	catmaid_fafb:57059	57059
57063	Uniglomerular mALT VP2 + SEZ lvPN#R3	neuron	female organism|adult brain	catmaid_fafb:57063	57063
57110	LHAV8a1#1	neuron	female organism|adult brain	catmaid_fafb:57110	57110
57114	Multiglomerular mALT lvPN#R28	neuron	female organism|adult brain	catmaid_fafb:57114	57114
57122	Multiglomerular mALT lvPN#R27	neuron	female organism|adult brain	catmaid_fafb:57122	57122
57126	Multiglomerular mALT lvPN#R25	neuron	female organism|adult brain	catmaid_fafb:57126	57126
57130	Uniglomerular mALT VC5+ lvPN bilateral#R2	neuron	female organism|adult brain	catmaid_fafb:57130	57130
57134	Multiglomerular mALT lvPN#R21	neuron	female organism|adult brain	catmaid_fafb:57134	57134
57138	Multiglomerular mALT lvPN#R20	neuron	female organism|adult brain	catmaid_fafb:57138	57138
57142	Multiglomerular mALT lvPN#R26	neuron	female organism|adult brain	catmaid_fafb:57142	57142
57146	Uniglomerular mALT VP2 + SEZ lvPN#R1	neuron	female organism|adult brain	catmaid_fafb:57146	57146
57166	Uniglomerular mALT VP2 + SEZ lvPN#R2	neuron	female organism|adult brain	catmaid_fafb:57166	57166
57175	Multiglomerular mALT lvPN#R19	neuron	female organism|adult brain	catmaid_fafb:57175	57175
57200	Uniglomerular mALT VP1l+ lvPN#R2	neuron	female organism|adult brain	catmaid_fafb:57200	57200
57224	Uniglomerular mALT VP1l+ lvPN#R1	neuron	female organism|adult brain	catmaid_fafb:57224	57224
57236	Uniglomerular mALT VC5+ lvPN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:57236	57236
57430	Multiglomerular mALT lPN bilateral#R3	neuron	female organism|adult brain	catmaid_fafb:57430	57430
57434	Multiglomerular mALT lPN bilateral#R2	neuron	female organism|adult brain	catmaid_fafb:57434	57434
57442	Multiglomerular mALT lPN#R7	neuron	female organism|adult brain	catmaid_fafb:57442	57442
57446	Multiglomerular mALT lPN#R3	neuron	female organism|adult brain	catmaid_fafb:57446	57446
57475	Multiglomerular mALT smPN bilateral#L1	neuron	female organism|adult brain	catmaid_fafb:57475	57475
57487	Biglomerular mALT VP1l + VP3 ilPN bilateral#L1	neuron	female organism|adult brain	catmaid_fafb:57487	57487
57495	Biglomerular mALT VP1l + VP3 ilPN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:57495	57495
79579	LHPV2a1#1	neuron	female organism|adult brain	catmaid_fafb:79579	79579
175027	KCa'b'-ap1_R#11	neuron	female organism|adult brain	catmaid_fafb:175027	175027
182684	Multiglomerular mALT lPN#R1	neuron	female organism|adult brain	catmaid_fafb:182684	182684
192430	Multiglomerular t2-mALT lvPN#R2	neuron	female organism|adult brain	catmaid_fafb:192430	192430
369583	LHPV10c1#1	neuron	female organism|adult brain	catmaid_fafb:369583	369583
478805	KCa'b'-ap1_R#9	neuron	female organism|adult brain	catmaid_fafb:478805	478805
561100	VP3 vPN_L	neuron	female organism|adult brain	catmaid_fafb:561100	561100
561909	VP3RNbl#1	neuron	female organism|adult brain	catmaid_fafb:561909	561909
989621	VP3RNbr#1	neuron	female organism|adult brain	catmaid_fafb:989621	989621
1091854	LHPV4c4#1	neuron	female organism|adult brain	catmaid_fafb:1091854	1091854
1120955	LHPV4c1#3	neuron	female organism|adult brain	catmaid_fafb:1120955	1120955
1309241	AV3r1#2	neuron	female organism|adult brain	catmaid_fafb:1309241	1309241
1356477	Uniglomerular t10-lALT VP3+ l2PN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:1356477	1356477
1363077	Multiglomerular t3-mALT l2PN#R1	neuron	female organism|adult brain	catmaid_fafb:1363077	1363077
1372988	Multiglomerular mALT lvPN#R23	neuron	female organism|adult brain	catmaid_fafb:1372988	1372988
1664544	Multiglomerular t3-mALT l2PN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:1664544	1664544
1712057	Uniglomerular mALT VP2+ adPN#R1	neuron	female organism|adult brain	catmaid_fafb:1712057	1712057
1868440	LHPV6g1#1	neuron	female organism|adult brain	catmaid_fafb:1868440	1868440
2315173	LHAV3q1#1	neuron	female organism|adult brain	catmaid_fafb:2315173	2315173
2466931	LHPV6c1#1	neuron	female organism|adult brain	catmaid_fafb:2466931	2466931
2484510	Uniglomerular mlALT VP4 vPN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:2484510	2484510
2600341	Multiglomerular lALT l2PN bilateral#R2	neuron	female organism|adult brain	catmaid_fafb:2600341	2600341
2851031	VP1dRNr#1	neuron	female organism|adult brain	catmaid_fafb:2851031	2851031
2856545	VP1dRNr#2	neuron	female organism|adult brain	catmaid_fafb:2856545	2856545
3094186	DNp44	neuron	female organism|adult brain	catmaid_fafb:3094186	3094186
3420237	Uniglomerular mALT VC5 adPN#L1	neuron	female organism|adult brain	catmaid_fafb:3420237	3420237
3439570	LHAV4i1#1	neuron	female organism|adult brain	catmaid_fafb:3439570	3439570
3444435	VP4RNl#1	neuron	female organism|adult brain	catmaid_fafb:3444435	3444435
3444556	VP4RNr#1	neuron	female organism|adult brain	catmaid_fafb:3444556	3444556
3648956	Multiglomerular mALT lPN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:3648956	3648956
3742499	Uniglomerular mALT VP1l lvPN bilateral#R1	neuron	female organism|adult brain	catmaid_fafb:3742499	3742499
3813424	Multiglomerular mlALT vPN#R56	neuron	female organism|adult brain	catmaid_fafb:3813424	3813424
3813438	Multiglomerular mlALT vPN#R57	neuron	female organism|adult brain	catmaid_fafb:3813438	3813438
3813442	Multiglomerular mlALT vPN#R55	neuron	female organism|adult brain	catmaid_fafb:3813442	3813442
3813447	Multiglomerular mlALT vPN#R54	neuron	female organism|adult brain	catmaid_fafb:3813447	3813447
3908507	Multiglomerular lALT l2PN#R3	neuron	female organism|adult brain	catmaid_fafb:3908507	3908507
3968249	LHPV4c1#2	neuron	female organism|adult brain	catmaid_fafb:3968249	3968249
3973434	DN1a#2	neuron	female organism|adult brain	catmaid_fafb:3973434	3973434
4002166	Multiglomerular t9-lALT lv2PN#R1	neuron	female organism|adult brain	catmaid_fafb:4002166	4002166
4044728	LHPV4h1#1	neuron	female organism|adult brain	catmaid_fafb:4044728	4044728
4058666	Multiglomerular t2-mALT lvPN#R1	neuron	female organism|adult brain	catmaid_fafb:4058666	4058666
4129363	DN1a#1	neuron	female organism|adult brain	catmaid_fafb:4129363	4129363
4177248	VP1l+ lvPN1#1_L	neuron	female organism|adult brain	catmaid_fafb:4177248	4177248
4180842	KCa'b'-ap1_R#8	neuron	female organism|adult brain	catmaid_fafb:4180842	4180842
