filename	label	is_a	part_of	comment	dbxrefs	synonyms
7574284	Zorro#L1 (FAFB:7574284)	neuron	female organism|adult brain	Zorro#L1	catmaid_fafb:7574284	
7899207	Buster#1 (FAFB:7899207)	neuron	female organism|adult brain	Buster#1	catmaid_fafb:7899207	
7899212	Zorro#R1 (FAFB:7899212)	neuron	female organism|adult brain	Zorro#R1	catmaid_fafb:7899212	
7929209	Fuchs#1 (FAFB:7929209)	neuron	female organism|adult brain	Fuchs#1	catmaid_fafb:7929209	
7983275	Fudog#1 (FAFB:7983275)	neuron	female organism|adult brain	Fudog#1, FBbt:00051883	catmaid_fafb:7983275	
8275570	Quasimodo#1 (FAFB:8275570)	neuron	female organism|adult brain	Quasimodo#1	catmaid_fafb:8275570	
8606542	Billiards#1 (FAFB:8606542)	neuron	female organism|adult brain	Billiards#1	catmaid_fafb:8606542	
8952676	FMIN#1 (FAFB:8952676)	neuron	female organism|adult brain	FMIN#1, FBbt:00051880	catmaid_fafb:8952676	
10150139	Clavicle#1 (FAFB:10150139)	neuron	female organism|adult brain	Clavicle#1, FBbt:00051867	catmaid_fafb:10150139	
14890522	Usnea#1 (FAFB:14890522)	neuron	female organism|adult brain	Usnea#1, FBbt:00051956	catmaid_fafb:14890522	
15079937	G2N-1#1 (FAFB:15079937)	neuron	female organism|adult brain	G2N-1#1, FBbt:00051850	catmaid_fafb:15079937	
16002203	Roundup#1 (FAFB:16002203)	neuron	female organism|adult brain	Roundup#1, FBbt:00051935	catmaid_fafb:16002203	
16238926	Rattle#1 (FAFB:16238926)	neuron	female organism|adult brain	Rattle#1, FBbt:00051932	catmaid_fafb:16238926	
16762541	Phantom#1 (FAFB:16762541)	neuron	female organism|adult brain	Phantom#1, FBbt:00051927	catmaid_fafb:16762541	
16783943	Fdg#1 (FAFB:16783943)	neuron	female organism|adult brain	Fdg#1, FBbt:00110985	catmaid_fafb:16783943	
16866694	MN9#1 (FAFB:16866694)	neuron	female organism|adult brain	MN9#1, FBbt:00111298	catmaid_fafb:16866694	
16886973	Rounddown#1 (FAFB:16886973)	neuron	female organism|adult brain	Rounddown#1	catmaid_fafb:16886973	
16887116	Scapula#1 (FAFB:16887116)	neuron	female organism|adult brain	Scapula#1	catmaid_fafb:16887116	
17024882	Bract#1 (FAFB:17024882)	neuron	female organism|adult brain	Bract#1, FBbt:00051861	catmaid_fafb:17024882	
17078636	Cleaver#1 (FAFB:17078636)	neuron	female organism|adult brain	Cleaver#1, FBbt:00051868	catmaid_fafb:17078636	
17249809	Dandelion#1 (FAFB:17249809)	neuron	female organism|adult brain	Dandelion#1	catmaid_fafb:17249809	
17533840	Sternum#1 (FAFB:17533840)	neuron	female organism|adult brain	Sternum#1	catmaid_fafb:17533840	
17539125	Roundtree#1 (FAFB:17539125)	neuron	female organism|adult brain	Roundtree#1	catmaid_fafb:17539125	
17542353	Bract#2 (FAFB:17542353)	neuron	female organism|adult brain	Bract#2, FBbt:00051861	catmaid_fafb:17542353	
17579359	Specter#1 (FAFB:17579359)	neuron	female organism|adult brain	Specter#1	catmaid_fafb:17579359	
