filename	label	is_a	part_of	comment	dbxrefs	synonyms
534333	aSP-g2_L#5 (FAFB:534333)	neuron	female organism|adult brain	aSP-g2_L#5, FBbt:00051555	catmaid_fafb:534333	aSP-g candidate L 534334 GSXEJ
1055936	aSP-g2_L#1 (FAFB:1055936)	neuron	female organism|adult brain	aSP-g2_L#1, FBbt:00051555	catmaid_fafb:1055936	aSP-g candidate L 1055937 GSXEJ IT
1064624	G2N-SLP2_R (FAFB:1064624)	neuron	female organism|adult brain	G2N-SLP2_R	catmaid_fafb:1064624	bilateral median SEZ PN RHS 1064625 IT KMS
1064687	aSP-g2_L#2 (FAFB:1064687)	neuron	female organism|adult brain	aSP-g2_L#2, FBbt:00051555	catmaid_fafb:1064687	aSP-g candidate L 1064688 IT KMS
1064853	aSP-g2_R#1 (FAFB:1064853)	neuron	female organism|adult brain	aSP-g2_R#1, FBbt:00051555	catmaid_fafb:1064853	aSP-g candidate R 1064854 IT
1064888	aSP-g1_L#1 (FAFB:1064888)	neuron	female organism|adult brain	aSP-g1_L#1, FBbt:00049330	catmaid_fafb:1064888	aSP-g candidate L 1064889 IT
1070581	aSP-g1_R#1 (FAFB:1070581)	neuron	female organism|adult brain	aSP-g1_R#1, FBbt:00049330	catmaid_fafb:1070581	aSP-g candidate R 1070582 IT
1074687	aSP-g1_R#2 (FAFB:1074687)	neuron	female organism|adult brain	aSP-g1_R#2, FBbt:00049330	catmaid_fafb:1074687	aSP-g candidate R 1074688 IT
1079881	aSP-g1_R#3 (FAFB:1079881)	neuron	female organism|adult brain	aSP-g1_R#3, FBbt:00049330	catmaid_fafb:1079881	aSP-g candidate R 1079882 IT
1083904	aSP-g1_R#4 (FAFB:1083904)	neuron	female organism|adult brain	aSP-g1_R#4, FBbt:00049330	catmaid_fafb:1083904	aSP-g candidate R 1083905 IT
1086385	aSP-g2_R#2 (FAFB:1086385)	neuron	female organism|adult brain	aSP-g2_R#2, FBbt:00051555	catmaid_fafb:1086385	aSP-g candidate R 1086386 IT
1100594	aSP-g1_L#2 (FAFB:1100594)	neuron	female organism|adult brain	aSP-g1_L#2, FBbt:00049330	catmaid_fafb:1100594	aSP-g candidate L 1100595 IT KMS
1101176	aSP-g1_L#3 (FAFB:1101176)	neuron	female organism|adult brain	aSP-g1_L#3, FBbt:00049330	catmaid_fafb:1101176	aSP-g candidate L 1101177 KMS IT
1102458	G2N-SLP4_R (FAFB:1102458)	neuron	female organism|adult brain	G2N-SLP4_R	catmaid_fafb:1102458	t2ALT SEZ PN 1 RHS 1102459 RJVR ARH
1168923	aSP-g3_R#2 (FAFB:1168923)	neuron	female organism|adult brain	aSP-g3_R#2	catmaid_fafb:1168923	aSP-g candidate R 1168924 IT
1180353	mAL3_L#1 (FAFB:1180353)	neuron	female organism|adult brain	mAL3_L#1	catmaid_fafb:1180353	putative mAL (aDT-b) neuron 1180354 KM
1181286	mAL3_L#2 (FAFB:1181286)	neuron	female organism|adult brain	mAL3_L#2	catmaid_fafb:1181286	putative mAL (aDT-b) neuron 1181287 DG
1316642	AD1g1_R (FAFB:1316642)	neuron	female organism|adult brain	AD1g1_R, FBbt:00051561	catmaid_fafb:1316642	GF input neuron 1316643 MAR SMA JSP - unclassified type 123
1334561	mAL3_L#3 (FAFB:1334561)	neuron	female organism|adult brain	mAL3_L#3	catmaid_fafb:1334561	putative mAL (aDT-b) neuron 1334562 IT
1811965	LHAV2a2_R#1 (FAFB:1811965)	neuron	female organism|adult brain	FBbt:00049338, LHAV2a2_R#1	catmaid_fafb:1811965	AV2a2#2 1811966 KM
2255652	G2N-SLP5_R (FAFB:2255652)	neuron	female organism|adult brain	G2N-SLP5_R	catmaid_fafb:2255652	t3ALT SEZ PN 1 RHS 2255653 KM
2390280	mAL3_L#4 (FAFB:2390280)	neuron	female organism|adult brain	mAL3_L#4	catmaid_fafb:2390280	putative mAL (aDT-b) neuron 2390281 KM
2686821	G2N-SLP3_R#1 (FAFB:2686821)	neuron	female organism|adult brain	G2N-SLP3_R#1	catmaid_fafb:2686821	unilateral median SEZ PN RHS #1 2686822 RJVR Jokanaan
3781311	G2N-SLP3_R#2 (FAFB:3781311)	neuron	female organism|adult brain	G2N-SLP3_R#2	catmaid_fafb:3781311	unilateral median SEZ PN RHS #2 3781312 KM RJVR IT Herod Antipas
3917175	G2N-aSLP_R#1 (FAFB:3917175)	neuron	female organism|adult brain	G2N-aSLP_R#1	catmaid_fafb:3917175	Putative TPN 3917176 Marius SD
3927073	mAL3_L#5 (FAFB:3927073)	neuron	female organism|adult brain	mAL3_L#5	catmaid_fafb:3927073	putative mAL (aDT-b) neuron 3927074 IV
4311394	mAL3_L#6 (FAFB:4311394)	neuron	female organism|adult brain	mAL3_L#6	catmaid_fafb:4311394	putative mAL (aDT-b) neuron 4311395 IV
4520197	Multiglomerular mALT lvPN#L1 (FAFB:4520197)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L1, FBbt:00049785	catmaid_fafb:4520197	T2 nc mPN mALT left DA1 + 4520198 Patchouli ARJ
4520615	Multiglomerular mALT lvPN#L3 (FAFB:4520615)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L3, FBbt:00049785	catmaid_fafb:4520615	T2 nc mPN mALT left DA1 4520616 Sandalwood ARJ
5864214	pGRN_R (FAFB:5864214)	neuron	female organism|adult brain	pGRN_R	catmaid_fafb:5864214	pharyngeal RN R 5864215 IT
6762450	LHAV2a2_R#2 (FAFB:6762450)	neuron	female organism|adult brain	FBbt:00049338, LHAV2a2_R#2	catmaid_fafb:6762450	AV2a2#1 6762451 Swan ASB
7108314	pGRN_L (FAFB:7108314)	neuron	female organism|adult brain	pGRN_L	catmaid_fafb:7108314	pharyngeal RN L 7108315
7414898	Multiglomerular mALT lvPN#L7 (FAFB:7414898)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L7, FBbt:00049785	catmaid_fafb:7414898	T1b nc mPN mALT left 7414899 Le Male ARJ
7414916	Multiglomerular mALT lvPN#L6 (FAFB:7414916)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L6, FBbt:00049785	catmaid_fafb:7414916	T1b nc mPN mALT left 7414917 Drakkar Noir ARJ
7423477	Multiglomerular mALT lvPN#L5 (FAFB:7423477)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L5, FBbt:00049785	catmaid_fafb:7423477	T1b nc mPN mALT left 7423478 Blue Stratos ARJ
7430367	Multiglomerular mALT lvPN#L4 (FAFB:7430367)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L4, FBbt:00049785	catmaid_fafb:7430367	T1b nc mPN mALT left 7430368 Vetiver ARJ
7552826	G2N-SLP1_L (FAFB:7552826)	neuron	female organism|adult brain	G2N-SLP1_L	catmaid_fafb:7552826	SEZ lALT PN LHS 7552827 IT They hatin'
7710838	Multiglomerular mALT lvPN#L2 (FAFB:7710838)	neuron	female organism|adult brain	Multiglomerular mALT lvPN#L2, FBbt:00049785	catmaid_fafb:7710838	T2 nc mPN mALT left 7710839 Four-Seven-One-One ARJ
7856299	aSP-g3_L#1 (FAFB:7856299)	neuron	female organism|adult brain	aSP-g3_L#1	catmaid_fafb:7856299	aSP-g candidate L 7856300 IT
7899781	aSP-g2_L#3 (FAFB:7899781)	neuron	female organism|adult brain	aSP-g2_L#3, FBbt:00051555	catmaid_fafb:7899781	aSP-g candidate L 7899782 IT
7918690	aSP-g2_L#4 (FAFB:7918690)	neuron	female organism|adult brain	aSP-g2_L#4, FBbt:00051555	catmaid_fafb:7918690	aSP-g candidate L 7918691 IT
9040832	G2N-SLP5_L (FAFB:9040832)	neuron	female organism|adult brain	G2N-SLP5_L	catmaid_fafb:9040832	t3ALT SEZ PN 1 LHS 9040833 IV
9165878	G2N-SLP4_L (FAFB:9165878)	neuron	female organism|adult brain	G2N-SLP4_L	catmaid_fafb:9165878	t2ALT SEZ PN 1 LHS 9165879 BM
9484087	G2N-SLP3_L#1 (FAFB:9484087)	neuron	female organism|adult brain	G2N-SLP3_L#1	catmaid_fafb:9484087	unilateral median SEZ PN RHS #2 [FLAa2] 9484088 IV
11463951	G2N-aSLP_L#1 (FAFB:11463951)	neuron	female organism|adult brain	G2N-aSLP_L#1	catmaid_fafb:11463951	Gustatory ascending neuron 11463952 Grasmoor SB
11464526	G2N-SLP3_L#2 (FAFB:11464526)	neuron	female organism|adult brain	G2N-SLP3_L#2	catmaid_fafb:11464526	unilateral median SEZ PN LHS #1 [FLAa2] 11464527 SB
11483002	G2N-aSLP_L#2 (FAFB:11483002)	neuron	female organism|adult brain	G2N-aSLP_L#2	catmaid_fafb:11483002	Gustatory ascending neuron 11483002 Kirk Fell SB
11490387	G2N-aSLP_L#3 (FAFB:11490387)	neuron	female organism|adult brain	G2N-aSLP_L#3	catmaid_fafb:11490387	Gustatory ascending neuron 11490388 Glaramara IV
11491648	G2N-aSLP_L#4 (FAFB:11491648)	neuron	female organism|adult brain	G2N-aSLP_L#4	catmaid_fafb:11491648	Gustatory ascending neuron 11491648 Pillar BM
11491723	G2N-aSLP_L#5 (FAFB:11491723)	neuron	female organism|adult brain	G2N-aSLP_L#5	catmaid_fafb:11491723	Gustatory ascending neuron 11491724 Harrison SB 
11491809	G2N-aSLP_L#6 (FAFB:11491809)	neuron	female organism|adult brain	G2N-aSLP_L#6	catmaid_fafb:11491809	Gustatory ascending neuron 11491810 Fairfield IV
11491851	G2N-aSLP_L#7 (FAFB:11491851)	neuron	female organism|adult brain	G2N-aSLP_L#7	catmaid_fafb:11491851	Gustatory ascending neuron 11491852 Scafell SB
11495175	G2N-aSLP_L#8 (FAFB:11495175)	neuron	female organism|adult brain	G2N-aSLP_L#8	catmaid_fafb:11495175	Gustatory ascending neuron 11495176 Yewbarrow SB
11968494	G2N-aSLP_L#9 (FAFB:11968494)	neuron	female organism|adult brain	G2N-aSLP_L#9	catmaid_fafb:11968494	Gustatory ascending neuron 11968495 Bowfell SB
11968950	G2N-aSLP_L#10 (FAFB:11968950)	neuron	female organism|adult brain	G2N-aSLP_L#10	catmaid_fafb:11968950	Gustatory ascending neuron 11968951 Great Gable SB
