filename	label	is_a	part_of	dbxrefs	synonyms
437814	EPG-5R#1	neuron	female organism|adult brain	catmaid_fafb:437814	437814
525851	PEN1-6R#1	neuron	female organism|adult brain	catmaid_fafb:525851	525851
607812	PEN1-6R#2	neuron	female organism|adult brain	catmaid_fafb:607812	607812
632638	Delta7-6R3L#1	neuron	female organism|adult brain	catmaid_fafb:632638	632638
649823	PEN1-5L	neuron	female organism|adult brain	catmaid_fafb:649823	649823
659759	PEN2-6R#1	neuron	female organism|adult brain	catmaid_fafb:659759	659759
668576	PEN1-5R	neuron	female organism|adult brain	catmaid_fafb:668576	668576
676155	Delta7-5R4L#2	neuron	female organism|adult brain	catmaid_fafb:676155	676155
676911	EPG-6L#1	neuron	female organism|adult brain	catmaid_fafb:676911	676911
803916	Delta7-1R9R8L#1	neuron	female organism|adult brain	catmaid_fafb:803916	803916
806288	PEN2-5R	neuron	female organism|adult brain	catmaid_fafb:806288	806288
827466	PEN1-7L	neuron	female organism|adult brain	catmaid_fafb:827466	827466
828911	PEN1-7R	neuron	female organism|adult brain	catmaid_fafb:828911	828911
854144	neuron_fragment#1	neuron	female organism|adult brain	catmaid_fafb:854144	854144
854150	EPG-7L#1	neuron	female organism|adult brain	catmaid_fafb:854150	854150
854156	EPG-7L#2	neuron	female organism|adult brain	catmaid_fafb:854156	854156
861090	EPG-5R#2	neuron	female organism|adult brain	catmaid_fafb:861090	861090
963438	PEG-6L	neuron	female organism|adult brain	catmaid_fafb:963438	963438
1032767	PEG-5L	neuron	female organism|adult brain	catmaid_fafb:1032767	1032767
1274114	EPG-6R#1	neuron	female organism|adult brain	catmaid_fafb:1274114	1274114
1274268	EPG-6R#2	neuron	female organism|adult brain	catmaid_fafb:1274268	1274268
1274528	EPG-6L#2	neuron	female organism|adult brain	catmaid_fafb:1274528	1274528
1568214	EPG-5L#1	neuron	female organism|adult brain	catmaid_fafb:1568214	1568214
1625086	PEN2-7R	neuron	female organism|adult brain	catmaid_fafb:1625086	1625086
1639675	PEN2-7L	neuron	female organism|adult brain	catmaid_fafb:1639675	1639675
2703303	PEN2-5L	neuron	female organism|adult brain	catmaid_fafb:2703303	2703303
3017999	Delta7-5R4L#1	neuron	female organism|adult brain	catmaid_fafb:3017999	3017999
3286828	PEN2-6L#1	neuron	female organism|adult brain	catmaid_fafb:3286828	3286828
3338987	PEN1-6L#1	neuron	female organism|adult brain	catmaid_fafb:3338987	3338987
3349747	PEN2-6L#2	neuron	female organism|adult brain	catmaid_fafb:3349747	3349747
3423772	PEN1-6L#2	neuron	female organism|adult brain	catmaid_fafb:3423772	3423772
3457743	EPG-5L#2	neuron	female organism|adult brain	catmaid_fafb:3457743	3457743
3491680	PEN2-6R#2	neuron	female organism|adult brain	catmaid_fafb:3491680	3491680
3512247	PEG-6R	neuron	female organism|adult brain	catmaid_fafb:3512247	3512247
3849973	PEG-5R	neuron	female organism|adult brain	catmaid_fafb:3849973	3849973
4040702	EPG-6R#3	neuron	female organism|adult brain	catmaid_fafb:4040702	4040702
4087066	EPG-5L#3	neuron	female organism|adult brain	catmaid_fafb:4087066	4087066
4210786	EPG-5R#3	neuron	female organism|adult brain	catmaid_fafb:4210786	4210786
6102788	Delta7-6R3L#2	neuron	female organism|adult brain	catmaid_fafb:6102788	6102788
6254861	Delta7-7R2L#1	neuron	female organism|adult brain	catmaid_fafb:6254861	6254861
6346245	R4d#1	neuron	female organism|adult brain	catmaid_fafb:6346245	6346245
6353358	R4d#2	neuron	female organism|adult brain	catmaid_fafb:6353358	6353358
6393609	R4d#8	neuron	female organism|adult brain	catmaid_fafb:6393609	6393609
6417166	R4d#3	neuron	female organism|adult brain	catmaid_fafb:6417166	6417166
6454109	Delta7-2R7L#1	neuron	female organism|adult brain	catmaid_fafb:6454109	6454109
6813859	R4d#4	neuron	female organism|adult brain	catmaid_fafb:6813859	6813859
7014054	R4d#5	neuron	female organism|adult brain	catmaid_fafb:7014054	7014054
7014310	R4d#6	neuron	female organism|adult brain	catmaid_fafb:7014310	7014310
7029666	R4d#7	neuron	female organism|adult brain	catmaid_fafb:7029666	7029666
