filename	label	is_a	part_of	comment	dbxrefs	synonyms
1088678	H2_R (FAFB:1088678)	neuron	female organism|adult brain	FBbt:00052267, H2_R	catmaid_fafb:1088678	
1177714	T4b_R#1 (FAFB:1177714)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#1	catmaid_fafb:1177714	
1737101	T4d_R#1 (FAFB:1737101)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#1	catmaid_fafb:1737101	
1857918	T4d_R#2 (FAFB:1857918)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#2	catmaid_fafb:1857918	
1949451	T4d_R#3 (FAFB:1949451)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#3	catmaid_fafb:1949451	
2107285	T4d_R#4 (FAFB:2107285)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#4	catmaid_fafb:2107285	
2195736	T4b_R#2 (FAFB:2195736)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#2	catmaid_fafb:2195736	
5244852	T4d_R#5 (FAFB:5244852)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#5	catmaid_fafb:5244852	
5261059	T4b_R#3 (FAFB:5261059)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#3	catmaid_fafb:5261059	
5293678	T4a_R#1 (FAFB:5293678)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#1	catmaid_fafb:5293678	
5294348	T4d_R#6 (FAFB:5294348)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#6	catmaid_fafb:5294348	
5301337	T4d_R#7 (FAFB:5301337)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#7	catmaid_fafb:5301337	
5306046	T4b_R#4 (FAFB:5306046)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#4	catmaid_fafb:5306046	
5322252	T4a_R#2 (FAFB:5322252)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#2	catmaid_fafb:5322252	
5324438	T4b_R#5 (FAFB:5324438)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#5	catmaid_fafb:5324438	
5335276	T4c_R#1 (FAFB:5335276)	neuron	female organism|adult brain	FBbt:00003734, T4c_R#1	catmaid_fafb:5335276	
5339991	T4a_R#3 (FAFB:5339991)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#3	catmaid_fafb:5339991	
5344043	T4d_R#8 (FAFB:5344043)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#8	catmaid_fafb:5344043	
5391502	T4a_R#4 (FAFB:5391502)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#4	catmaid_fafb:5391502	
5403109	T4d_R#9 (FAFB:5403109)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#9	catmaid_fafb:5403109	
5409822	T4b_R#6 (FAFB:5409822)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#6	catmaid_fafb:5409822	
5415150	T4d_R#10 (FAFB:5415150)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#10	catmaid_fafb:5415150	
