filename	label	is_a	part_of	comment	dbxrefs	synonyms
16	Uniglomerular mALT VA6 adPN#R1 (FAFB:16)	neuron	female organism|adult brain	Uniglomerular mALT VA6 adPN#R1, FBbt:00007447	catmaid_fafb:16	
7286	KC#12-a'b' (FAFB:7286)	neuron	female organism|adult brain	KC#12-a'b', FBbt:00100249	catmaid_fafb:7286	
7646	KC#24-a'b' (FAFB:7646)	neuron	female organism|adult brain	KC#24-a'b', FBbt:00100249	catmaid_fafb:7646	
9578	KC#68-y (FAFB:9578)	neuron	female organism|adult brain	KC#68-y, FBbt:00100247	catmaid_fafb:9578	
11742	KC#120-a'b' (FAFB:11742)	neuron	female organism|adult brain	KC#120-a'b', FBbt:00100249	catmaid_fafb:11742	
12874	KC#153-a'b' (FAFB:12874)	neuron	female organism|adult brain	KC#153-a'b', FBbt:00100249	catmaid_fafb:12874	
13018	KC#156-ab (FAFB:13018)	neuron	female organism|adult brain	KC#156-ab, FBbt:00100248	catmaid_fafb:13018	
16406	KC#228-a'b' (FAFB:16406)	neuron	female organism|adult brain	KC#228-a'b', FBbt:00100249	catmaid_fafb:16406	
21999	Uniglomerular mALT VL2a adPN#R1 (FAFB:21999)	neuron	female organism|adult brain	Uniglomerular mALT VL2a adPN#R1, FBbt:00100380	catmaid_fafb:21999	
22132	Uniglomerular mALT VC1 lPN#R1 (FAFB:22132)	neuron	female organism|adult brain	Uniglomerular mALT VC1 lPN#R1, FBbt:00007476	catmaid_fafb:22132	
22277	Uniglomerular mALT VC3m lvPN#R1 (FAFB:22277)	neuron	female organism|adult brain	Uniglomerular mALT VC3m lvPN#R1	catmaid_fafb:22277	
22422	Uniglomerular mALT DL2v adPN#R1 (FAFB:22422)	neuron	female organism|adult brain	Uniglomerular mALT DL2v adPN#R1, FBbt:00100388	catmaid_fafb:22422	
22594	Uniglomerular mALT DM5 lPN#R3 (FAFB:22594)	neuron	female organism|adult brain	Uniglomerular mALT DM5 lPN#R3, FBbt:00067367	catmaid_fafb:22594	
22744	Uniglomerular mALT VC3m lvPN#R2 (FAFB:22744)	neuron	female organism|adult brain	Uniglomerular mALT VC3m lvPN#R2	catmaid_fafb:22744	
22906	Uniglomerular mALT VA5 lPN#R3 (FAFB:22906)	neuron	female organism|adult brain	Uniglomerular mALT VA5 lPN#R3, FBbt:00067366	catmaid_fafb:22906	
22976	Uniglomerular mALT VL2p adPN#R1 (FAFB:22976)	neuron	female organism|adult brain	Uniglomerular mALT VL2p adPN#R1, FBbt:00007450	catmaid_fafb:22976	
23005	Multiglomerular lALT l2PN bilateral#R1 (FAFB:23005)	neuron	female organism|adult brain	Multiglomerular lALT l2PN bilateral#R1	catmaid_fafb:23005	
23134	Uniglomerular mALT VC3l adPN#R3 (FAFB:23134)	neuron	female organism|adult brain	Uniglomerular mALT VC3l adPN#R3	catmaid_fafb:23134	
23432	Uniglomerular mALT VA2 adPN#R1 (FAFB:23432)	neuron	female organism|adult brain	Uniglomerular mALT VA2 adPN#R1, FBbt:00067352	catmaid_fafb:23432	
23512	Uniglomerular mALT VM5v adPN#R2 (FAFB:23512)	neuron	female organism|adult brain	Uniglomerular mALT VM5v adPN#R2, FBbt:00100386	catmaid_fafb:23512	
23569	Uniglomerular mALT VA4 lPN#R1 (FAFB:23569)	neuron	female organism|adult brain	Uniglomerular mALT VA4 lPN#R1, FBbt:00007446	catmaid_fafb:23569	
23597	Uniglomerular mALT VM4 adPN#R1 (FAFB:23597)	neuron	female organism|adult brain	Uniglomerular mALT VM4 adPN#R1, FBbt:00100378	catmaid_fafb:23597	
23829	Uniglomerular mALT DL4 adPN#R1 (FAFB:23829)	neuron	female organism|adult brain	Uniglomerular mALT DL4 adPN#R1, FBbt:00100382	catmaid_fafb:23829	
24251	Uniglomerular mALT VM7v adPN#R1 (FAFB:24251)	neuron	female organism|adult brain	Uniglomerular mALT VM7v adPN#R1, FBbt:00007454	catmaid_fafb:24251	
24622	Uniglomerular mALT D adPN#R1 (FAFB:24622)	neuron	female organism|adult brain	Uniglomerular mALT D adPN#R1, FBbt:00067355	catmaid_fafb:24622	
24726	Uniglomerular mALT VM1 lPN#R1 (FAFB:24726)	neuron	female organism|adult brain	Uniglomerular mALT VM1 lPN#R1, FBbt:00007452	catmaid_fafb:24726	
27048	Uniglomerular mALT DP1l adPN#R1 (FAFB:27048)	neuron	female organism|adult brain	Uniglomerular mALT DP1l adPN#R1, FBbt:00007475	catmaid_fafb:27048	
27246	Uniglomerular mALT VM3 adPN#R2 (FAFB:27246)	neuron	female organism|adult brain	Uniglomerular mALT VM3 adPN#R2, FBbt:00100481	catmaid_fafb:27246	
27295	Uniglomerular mALT DA1 lPN#R6 (FAFB:27295)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R6, FBbt:00067363	catmaid_fafb:27295	
27611	Uniglomerular mALT DM5 lPN#R2 (FAFB:27611)	neuron	female organism|adult brain	Uniglomerular mALT DM5 lPN#R2, FBbt:00067367	catmaid_fafb:27611	
27884	Uniglomerular lALT V ilPN bilateral#L1 (FAFB:27884)	neuron	female organism|adult brain	Uniglomerular lALT V ilPN bilateral#L1, FBbt:00003995/FBbt:00049525	catmaid_fafb:27884	
28876	Uniglomerular mALT DM3 adPN#R1 (FAFB:28876)	neuron	female organism|adult brain	Uniglomerular mALT DM3 adPN#R1, FBbt:00067017	catmaid_fafb:28876	
30434	Uniglomerular mALT VM5v adPN#R3 (FAFB:30434)	neuron	female organism|adult brain	Uniglomerular mALT VM5v adPN#R3, FBbt:00100386	catmaid_fafb:30434	
30591	MBON-Calyx_R (FAFB:30591)	neuron	female organism|adult brain	FBbt:00100240, MBON-Calyx_R	catmaid_fafb:30591	
30791	Uniglomerular mALT DL2d adPN#R3 (FAFB:30791)	neuron	female organism|adult brain	Uniglomerular mALT DL2d adPN#R3, FBbt:00100389	catmaid_fafb:30791	
30891	Uniglomerular mALT DM1 lPN#R1 (FAFB:30891)	neuron	female organism|adult brain	Uniglomerular mALT DM1 lPN#R1, FBbt:00067369	catmaid_fafb:30891	
32214	Uniglomerular mALT VA7m lPN#R2 (FAFB:32214)	neuron	female organism|adult brain	Uniglomerular mALT VA7m lPN#R2, FBbt:00067365	catmaid_fafb:32214	
32399	Uniglomerular mALT DC3 adPN#R3 (FAFB:32399)	neuron	female organism|adult brain	Uniglomerular mALT DC3 adPN#R3, FBbt:00040000	catmaid_fafb:32399	
33903	Uniglomerular mALT DL3 lPN#R5 (FAFB:33903)	neuron	female organism|adult brain	Uniglomerular mALT DL3 lPN#R5, FBbt:00067364	catmaid_fafb:33903	
35246	Uniglomerular mALT D adPN#R2 (FAFB:35246)	neuron	female organism|adult brain	Uniglomerular mALT D adPN#R2, FBbt:00067355	catmaid_fafb:35246	
35447	Uniglomerular mALT VM5d adPN#R2 (FAFB:35447)	neuron	female organism|adult brain	Uniglomerular mALT VM5d adPN#R2, FBbt:00100385	catmaid_fafb:35447	
36108	Uniglomerular mALT VA7m lPN#R3 (FAFB:36108)	neuron	female organism|adult brain	Uniglomerular mALT VA7m lPN#R3, FBbt:00067365	catmaid_fafb:36108	
36390	Uniglomerular mALT VA1d adPN#R1 (FAFB:36390)	neuron	female organism|adult brain	Uniglomerular mALT VA1d adPN#R1, FBbt:00067357	catmaid_fafb:36390	
37212	Multiglomerular mALT lPN#R4 (FAFB:37212)	neuron	female organism|adult brain	Multiglomerular mALT lPN#R4	catmaid_fafb:37212	
37235	Multiglomerular mALT lPN#R9 (FAFB:37235)	neuron	female organism|adult brain	Multiglomerular mALT lPN#R9	catmaid_fafb:37235	
37250	Uniglomerular mALT DA4m adPN#R1 (FAFB:37250)	neuron	female organism|adult brain	Uniglomerular mALT DA4m adPN#R1, FBbt:00047714	catmaid_fafb:37250	
37513	Biglomerular mALT VP3 + VP1l ivPN bilateral#L1 (FAFB:37513)	neuron	female organism|adult brain	Biglomerular mALT VP3 + VP1l ivPN bilateral#L1	catmaid_fafb:37513	
37935	Uniglomerular mALT VC4 adPN#R1 (FAFB:37935)	neuron	female organism|adult brain	Uniglomerular mALT VC4 adPN#R1, FBbt:00100383	catmaid_fafb:37935	
38885	Uniglomerular mALT DA2 lPN#R2 (FAFB:38885)	neuron	female organism|adult brain	Uniglomerular mALT DA2 lPN#R2, FBbt:00110882	catmaid_fafb:38885	
