filename	label	is_a	part_of	dbxrefs
289	neuron 290 (FANC:289)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:289
318	neuron 319 (FANC:318)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:318
322	neuron 323 (FANC:322)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:322
326	neuron 327 (FANC:326)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:326
330	neuron 331 (FANC:330)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:330
338	neuron 339 (FANC:338)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:338
342	neuron 343 (FANC:342)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:342
346	neuron 347 (FANC:346)	neuron|sensory neuron	female organism|adult ventral nerve cord	catmaid_fanc1:346
358	neuron 359 (FANC:358)	neuron|sensory neuron	female organism|adult ventral nerve cord	
386	neuron 387 (FANC:386)	neuron|sensory neuron	female organism|adult ventral nerve cord	
418	neuron 419 (FANC:418)	neuron|sensory neuron	female organism|adult ventral nerve cord	
434	neuron 435 (FANC:434)	neuron|sensory neuron	female organism|adult ventral nerve cord	
451	neuron 452 (FANC:451)	neuron|sensory neuron	female organism|adult ventral nerve cord	
459	neuron 460 (FANC:459)	neuron|sensory neuron	female organism|adult ventral nerve cord	
463	neuron 464 (FANC:463)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
467	neuron 468 (FANC:467)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
471	neuron 472 (FANC:471)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
475	neuron 476 (FANC:475)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
479	neuron 480 (FANC:479)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
483	neuron 484 (FANC:483)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
487	neuron 488 (FANC:487)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
491	neuron 492 (FANC:491)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
495	neuron 496 (FANC:495)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
499	neuron 500 (FANC:499)	neuron|sensory neuron	female organism|adult ventral nerve cord	
503	neuron 504 (FANC:503)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
511	neuron 512 (FANC:511)	neuron|sensory neuron	female organism|adult ventral nerve cord	
515	neuron 516 (FANC:515)	neuron|sensory neuron	female organism|adult ventral nerve cord	
523	neuron 524 (FANC:523)	neuron|sensory neuron	female organism|adult ventral nerve cord	
531	neuron 532 (FANC:531)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
539	neuron 540 (FANC:539)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
543	neuron 544 (FANC:543)	neuron|sensory neuron	female organism|adult ventral nerve cord	
547	neuron 548 (FANC:547)	neuron|sensory neuron	female organism|adult ventral nerve cord	
556	neuron 557 (FANC:556)	neuron|sensory neuron	female organism|adult ventral nerve cord	
560	neuron 561 (FANC:560)	neuron|sensory neuron	female organism|adult ventral nerve cord	
568	neuron 569 (FANC:568)	neuron|sensory neuron	female organism|adult ventral nerve cord	
572	neuron 573 (FANC:572)	neuron|sensory neuron	female organism|adult ventral nerve cord	
580	neuron 581 (FANC:580)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
584	neuron 585 (FANC:584)	neuron|sensory neuron	female organism|adult ventral nerve cord	
2179	neuron 2180 (FANC:2179)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
2211	neuron 2212 (FANC:2211)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
2215	neuron 2216 (FANC:2215)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
2219	neuron 2220 (FANC:2219)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
