filename	label	is_a	part_of	comment	dbxrefs	synonyms
40045	22c ORN left (L1EM:40045)	neuron|larval antennal lobe glomerulus 22c|LN period neuron|olfactory receptor neuron|adult olfactory receptor neuron	embryonic/larval nervous system	anterior, 22c, lateral, All identified OSNs, Left, ORN, Olfactory, large-sensory-list-casey, Antennal Nerve with ORNs, AN SC left, WB_AN L, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory left akira, AL all Avinash, AN-L-Sens-B3-ORN, antennal lobe, Antennal Lobe Published, AN-ORNs, SCAL, SCAL left, hemilateral_pair_40045_3954014, olfactory receptor neurons, ORNs_to_RGPNinputs, sensory to RGPNinputs, all_sensories, sens_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, neg ORs, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw left, mw axon split complete, mw sens subclass_ORN, mw brain matrix, RG_connectome_T2, mw ORN 22c, mw ORN appetitive, mw brain matrix + A1, SH_olfaction, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, sw:brain_paired:L, AM_published, am_Sens to mPN iACT A3, am_Sens to DL1-hubs, Weber_Sensory, Weber_hub sensory, sw;pairs;L, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 2_level-7_clusterID-156_signal-flow_1.829, mw previous neurons for talk, ND_published, ND_all published et al, ctd sensories, ct sensories	catmaid_l1em:40045	
2568465	MB2IN-194 (L1EM:2568465)	neuron	embryonic/larval nervous system	somated neurons, up to PVL09, down to PVL09-right, non-canonical Odor PNs, ORN PN to LH, pn lh candidates, Post-MBE18-12, EE 1 ; Left, Ingrid Name, All mPNs_new, AL AVI, AL all Avinash, Pre-MBONs akira, Odor mPNs, *BAlp4_l akira, antennal lobe, downstream of mPN iACT B1 right, Post-MBE5b-35, Post-MBONs akira final, all PNs akira, MB2ON-54, downstream of AN-B2, DSB2A, LEFT, ASB downstream of right mPNs, Antennal Lobe Published, DMNBp, downstream of SCAL, ORN mPNs, pairs ds MBONs >= 10, pairs ds MBONs >= 5, MB2IN-194, Pre-MBINs akira final, Selected Post-MBONs akira final-2, m reviewed, ORN multimodal mPNs, U2A1, Rest of MB2INs akira, Other MB2INs akira, ORN-PNs, MB_FB_CN_all_akira, Selected_MB2ONs_akira, MB2INs_akira, MB_FB_all_akira, MB_CN_all_akira, Other_MB2INs_for_fraction_akira, pairs ds visual PNs >= 5, CNs 5%, axoAxo LHNs, axoDen LHNs, axoAxo MBONs, axoAxo vPNs, MB2ON 5%, CN others 1_4_18, ORN-PN_KC_MBIN_MBON_FAN_FBN_FFN_akira, hemilateral_pair_2568465_10167078, locked, mw brain neurons, mw brain neurons + SU, similarity matrix pairs, similarity matrix brain pairs left, mw brain inventory, Srini-Matrix-03-05-2019, mw previously complete, mw left, BAlp4 L, TR IP mALT, mw axon split complete, mw brain neurons split, mw current paired, #3T, mw colored-matrix-2019-09-12, mw forClaire Fig3 CN paper, mw brain neurons + sensories, mw forClaire possible MB2ONs, mw forClaire Selected_MB2ONs_3left+3right_10total, TR IP*, mw mPN, mw mPN subclass_multi, mw brain matrix, mw MN 2nd_order only, mw all PNs, mw AN_MN 2nd_order, mw ORN_AN_MN 2nd_order, mw MN PN, mw brain published, mw MN only PN, mw brain ipsilateral, mw dSEZ feedback 3hop 7-Sept 2020, mw pre-RG feedback 3hop 7-Sept 2020, mw pre-dSEZ feedback 3hop 7-Sept 2020, mw dSEZ feedback 3hop 16-Sept 2020, mw brain matrix + A1, olfactory_processing, lv DS MBONs and L TOONs, lv DS MBONs and R TOONs, lv MB2ONs_CNs DS all ORN PNs, lv MB2ON_CNs ds Gustatory PNs, F5-S2, FOR21, mw pre-dVNC 1%, FOR21_inter, mw ipsilateral axon, mw ipsilateral dendrite, mw degree 30-40, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, mw ad hubs_out, mw 10411574 upstream partners, mw 10964258 upstream partners, mw ad all_hubs, mw backup locked, sw:brain_paired:L, sw;brainpair;L, AM_published, mw gustatory-external 2nd_order, mw olfactory 2nd_order, mw olfactory 2nd_order PN-old, mw gustatory-external 2nd_order PN-old, mw dSEZ-feedback-1hop 2022-03-15, sw;pairs;L, upFBMBONs, downMBONs, mw dVNC-feedback-4hop 2022-03-15, mw dVNC-feedback-5hop 2022-03-15, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-feedback-3hop 2022-03-15, mw dSEZ-feedback-4hop 2022-03-15, mw dSEZ-feedback-5hop 2022-03-15, mw dSEZ-efference-1hop 2022-03-15, mw dSEZ-efference-2hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw dVNC-feedback-casc-8hop 2022-03-15, mw dSEZ-feedback-casc-8hop 2022-03-15, mw dSEZ-efference-casc-8hop 2022-03-15, mw dSEZ-efference-casc-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 5_level-4_clusterID-26_signal-flow_0.492, 11_level-5_clusterID-54_signal-flow_0.338, 17_level-6_clusterID-100_signal-flow_0.497, 32_level-7_clusterID-166_signal-flow_0.299, mw cascade-5-hop integrative 2022-11-03, mw previous neurons for talk, mw cascade-8-hop integrative 2022-11-03, ND_published, ND_all published et al, ctd PNs, ct PNs, ct pre-DN-SEZs, ct pre-DN-VNCs	catmaid_l1em:2568465	
2571761	83a ORN right (L1EM:2571761)	neuron|larval antennal lobe glomerulus 83a|olfactory receptor neuron|adult olfactory receptor neuron	embryonic/larval nervous system	83a, ORNs right, Andi ORN right, OSN, Right, Olfactory, large-sensory-list-casey, AN SC right, Andi AL, 27 down, WB_AN R, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory right akira, AL all Avinash, AN-R-Sens-B3-ORN, antennal lobe, Antennal Lobe Published, AN-ORNs, SCAL, SCAL right, olfactory receptor neurons, ORNs_to_RGPNinputs, sensory to RGPNinputs, OLF aff, all_sensories, sens_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, pos ORs, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw right, mw axon split complete, mw sens subclass_ORN, mw brain matrix, RG_connectome_T2, mw brain matrix + A1, SH_olfaction, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, sw:brain_paired:R, AM_published, Weber_Sensory, sw;pairs;R, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 2_level-7_clusterID-156_signal-flow_1.829, mw previous neurons for talk, ND_published, ND_all published et al, ctd sensories, ct sensories, ct pre-DN-SEZs	catmaid_l1em:2571761	
2582391	1a ORN right (L1EM:2582391)	neuron|larval antennal lobe glomerulus 1a|olfactory receptor neuron|adult olfactory receptor neuron	embryonic/larval nervous system	1a, Andi ORN right, OSN, Olfactory, Right, large-sensory-list-casey, AN SC right, Andi AL, Pre-MBE27ab-sens, WB_AN R, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory right akira, AL all Avinash, AN-R-Sens-B3-ORN, antennal lobe, Antennal Lobe Published, 1a ORN R, AN-ORNs, SCAL, SCAL right, sVUMU1All, olfactory receptor neurons, OLF aff, all_sensories, sens_not_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw right, mw axon split complete, mw sens subclass_ORN, mw brain matrix, mw ORN 1a, mw ORN aversive, mw brain matrix + A1, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, sw:brain_paired:R, AM_published, Weber_Sensory, sw;pairs;R, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 2_level-7_clusterID-156_signal-flow_1.829, mw previous neurons for talk, ND_published, ND_all published et al, ctd sensories, ct sensories, ct pre-DN-SEZs	catmaid_l1em:2582391	
2584838	30a ORN right (L1EM:2584838)	neuron|olfactory receptor neuron|larval antennal lobe glomerulus 30a|adult olfactory receptor neuron	embryonic/larval nervous system	ventral lateral, OSN, 30a, ORN, Right, Olfactory, large-sensory-list-casey, AN SC right, Pre-MBE27ab-sens, WB_AN R, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory right akira, AL all Avinash, AN-R-Sens-B3-ORN, antennal lobe, Antennal Lobe Published, 30a ORN R, AN-ORNs, SCAL, SCAL right, sVUMU1All, hemilateral_pair_2584838_3768025, olfactory receptor neurons, ORNs_to_RGPNinputs, sensory to RGPNinputs, MN-Sens-Int-2, OLF aff, all_sensories, sens_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, pos ORs, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw right, mw axon split complete, mw sens subclass_ORN, mw brain matrix, sVUM1up2, RG_connectome_T2, mw brain matrix + A1, SH_olfaction, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, sw:brain_paired:R, AM_published, Weber_Sensory, sw;pairs;R, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 2_level-7_clusterID-156_signal-flow_1.829, mw previous neurons for talk, clb brainpaircensus mw right, ND_published, ND_all published et al, ctd sensories, ct sensories, ct pre-DN-SEZs	catmaid_l1em:2584838	
2608843	42b ORN right (L1EM:2608843)	neuron|olfactory receptor neuron|larval antennal lobe glomerulus 42b|adult olfactory receptor neuron	embryonic/larval nervous system	anterior ventral lateral, Andi ORN right, OSN, 42b, Olfactory, Right, large-sensory-list-casey, AN SC right, for ibo 42b right, Andi AL, WB_AN R, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory right akira, AL all Avinash, AN-R-Sens-B3-ORN, antennal lobe, CN-19 to MNs akira, Antennal Lobe Published, JDAN, AN-ORNs, PVM027 sensorimotor circuit_avi, SCAL, SCAL right, hemilateral_pair_2608843_3410499, olfactory receptor neurons, OLF aff, all_sensories, sens_not_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, pos ORs, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw right, mw axon split complete, mw sens subclass_ORN, mw brain matrix, mw ORN 42b, mw ORN appetitive, mw ORN appetitive published, mw brain matrix + A1, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, sw:brain_paired:R, AM_published, Weber_Sensory, sw;pairs;R, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 1_level-7_clusterID-155_signal-flow_1.914, mw previous neurons for talk, clb brainpaircensus mw right, ND_published, ND_all published et al, ctd sensories, ct sensories, ct pre-DN-SEZs	catmaid_l1em:2608843	
2611805	1a ORN left (L1EM:2611805)	neuron|larval antennal lobe glomerulus 1a|olfactory receptor neuron|adult olfactory receptor neuron	embryonic/larval nervous system	1a, posterior, All identified OSNs, dorsal medial, Left, ORN, Olfactory, large-sensory-list-casey, Antennal Nerve with ORNs, AN SC left, Pre-MBE27ab-sens, WB_AN L, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory left akira, AL all Avinash, AN-L-Sens-B3-ORN, antennal lobe, Antennal Lobe Published, 1a ORN L, AN-ORNs, SCAL, SCAL left, sVUMU1All, olfactory receptor neurons, ORNs_to_RGPNinputs, sensory to RGPNinputs, all_sensories, sens_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw left, mw axon split complete, mw sens subclass_ORN, mw brain matrix, RG_connectome_T2, mw ORN 1a, mw ORN aversive, mw brain matrix + A1, SH_olfaction, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, sw:brain_paired:L, AM_published, am_Sens to mPN iACT A3, am_Sens to DL1-hubs, Weber_Sensory, Weber_hub sensory, sw;pairs;L, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 2_level-7_clusterID-156_signal-flow_1.829, mw previous neurons for talk, ND_published, ND_all published et al, ctd sensories, ct sensories, ct pre-DN-SEZs	catmaid_l1em:2611805	
2612527	Multiglomerular PN 3 (L1EM:2612527)	neuron	embryonic/larval nervous system	"suckerfish, IN_Cand12_67b, multiglomerular, Interneurons_Lobe1, behind AL, antennal lobe interneurons, non-canonical Odor PNs, left, Marta Con3, ORN PN to LH, ORN PN ""weird"", LH TODO small issues, 27 down 2, pn lh candidates, mPN iACT 74a tract exclusive, Pre-MBE4g-7, WB_BAmv3 L, FZ ; Left, Ingrid Name, All mPNs_new, Calyx input left MB, AL AVI, AL all Avinash, li temp 11 6, Pre-MBONs akira, Odor mPNs, Calyx inputs final, *BAmv3_l akira, other PNs calyx, Pre-MBINs akira final, all PNs akira, MB2IN-151, Calyx input left MB manuscript, downstream of AN-B2, DSB2A, downstream of left uPN, MB first order, LEFT, Antennal Lobe Published, downstream of SCAL, Kathi MB left other, ORN mPNs, ORN multimodal mPNs, Rest of MB2INs akira, Other MB2INs akira, ORN-PNs, MB_FB_CN_all_akira, MB2INs_akira, MB_FB_all_akira, Other_MB2INs_for_fraction_akira, Calyx inputs AM, multiglomerular PN left, multiPNs, ORN-PN_KC_MBIN_MBON_FAN_FBN_FFN_akira, hemilateral_pair_2612527_4391978, Sens-B2-ACpl targets, mw brain neurons, mw brain neurons + SU, PNs multiglomerular, mw brain inventory, Srini-Matrix-03-05-2019, mw previously complete, mw left, BAmv3 acc L, mw axon split complete, mw brain neurons split, mw current paired, #3T, mw colored-matrix-2019-09-12, Multiglomerular PN 3, mw MB for Priebe Group, TR SLP mALT, AL to KC, mw brain neurons + sensories, TR SLP*, mw mPN, mw mPN subclass_multi, mw brain matrix, mw all PNs, mw AN_MN 2nd_order, mw ORN_AN_MN 2nd_order, mw MN PN, mw ORN PN, mw brain published, mw brain ipsilateral, mw dSEZ feedback 3hop 7-Sept 2020, mw pre-RG feedback 3hop 7-Sept 2020, mw pre-dSEZ feedback 3hop 7-Sept 2020, mw dSEZ feedback 3hop 16-Sept 2020, mw pre-dSEZ feedback 3hop 16-Sept 2020, mw brain matrix + A1, olfactory_processing, F5-S2, FOR21, mw pre-dVNC 1%, FOR21_inter, mw ipsilateral axon, mw ipsilateral dendrite, mw degree >50, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, Upstream CN29, mw 15517247 us partners, mw 15541971 us partners, stable, mw ad hubs_out, mw ad all_hubs, mw brain reviewed <80%, lv_cb_pre, sw:brain_paired:L, sw;brainpair;L, AM_published, mw gustatory-external 2nd_order, mw olfactory 2nd_order, mw gustatory-pharyngeal 2nd_order, mw olfactory 2nd_order PN-old, mw gustatory-external 2nd_order PN-old, mw gustatory-pharyngeal 2nd_order PN, mw upstream KCs, mw PNs upstream KCs, mw upstream KCs olfactory PN, mw upstream KCs gustatory-external PN, mw upstream KCs gustatory-pharyngeal PN, sw;pairs;L, upFBMBONs, mw dVNC-feedback-4hop 2022-03-15, mw dVNC-feedback-5hop 2022-03-15, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-feedback-3hop 2022-03-15, mw dSEZ-feedback-4hop 2022-03-15, mw dSEZ-feedback-5hop 2022-03-15, mw dSEZ-efference-1hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw cascade hubs_out, mw dVNC-feedback-casc-8hop 2022-03-15, mw dSEZ-feedback-casc-8hop 2022-03-15, mw dSEZ-efference-casc-8hop 2022-03-15, mw dSEZ-efference-casc-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 5_level-4_clusterID-26_signal-flow_0.492, 11_level-5_clusterID-54_signal-flow_0.338, 17_level-6_clusterID-100_signal-flow_0.497, 22_level-7_clusterID-165_signal-flow_0.653, mw cascade-5-hop integrative 2022-11-03, mw previous neurons for talk, mw cascade-8-hop integrative 2022-11-03, ND_published, ND_all published et al, ctd PNs, ct PNs, ct pre-DN-SEZs, ct pre-DN-VNCs"	catmaid_l1em:2612527	
3158543	63a ORN left (L1EM:3158543)	neuron|larval antennal lobe glomerulus 63a|olfactory receptor neuron|adult olfactory receptor neuron	embryonic/larval nervous system	63a, posterior, All identified OSNs, lateral dorsal, Left, ORN, Olfactory, large-sensory-list-casey, Antennal Nerve with ORNs, AN SC left, WB_AN L, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory left akira, AL all Avinash, AN-L-Sens-B3-ORN, antennal lobe, Antennal Lobe Published, AN-ORNs, SCAL, SCAL left, olfactory receptor neurons, ORNs_to_RGPNinputs, sensory to RGPNinputs, all_sensories, sens_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw left, mw axon split complete, mw sens subclass_ORN, mw brain matrix, RG_connectome_T2, mw brain matrix + A1, SH_olfaction, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, sw:brain_paired:L, AM_published, Weber_Sensory, sw;pairs;L, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 2_level-7_clusterID-156_signal-flow_1.829, mw previous neurons for talk, ND_published, ND_all published et al, ctd sensories, ct sensories	catmaid_l1em:3158543	
3410499	42b ORN left (L1EM:3410499)	neuron|larval antennal lobe glomerulus 42b|olfactory receptor neuron|adult olfactory receptor neuron	embryonic/larval nervous system	anterior, 42b, All identified OSNs, ventral intermediate, Left, ORN, Olfactory, large-sensory-list-casey, Antennal Nerve with ORNs, AN SC left, WB_AN L, SOG segmental line for ref akira, AN:ORNs akira, Brain&SEZ sensory left akira, AL all Avinash, AN-L-Sens-B3-ORN, antennal lobe, CN-19 to MNs akira, Antennal Lobe Published, AN-ORNs, PVM027 sensorimotor circuit_avi, SCAL, SCAL left, hemilateral_pair_2608843_3410499, olfactory receptor neurons, ORNs_to_RGPNinputs, sensory to RGPNinputs, all_sensories, sens_to_RGPNinter_T3, acetylcholine, all sensory neurons, AUTO ascending neurons, AUTO multiple presynapses to brain, pos ORs, mw ORN, mw properly rooted sensories, mw brain neurons + sensories, mw left, mw axon split complete, mw sens subclass_ORN, mw brain matrix, RG_connectome_T2, mw ORN 42b, mw ORN appetitive, mw ORN appetitive published, mw brain matrix + A1, SH_olfaction, FOR21, FOR21_sensory, mw ipsilateral axon, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, stable, sw:brain_paired:L, AM_published, Weber_Sensory, sw;pairs;L, mw cholinergic, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 1_level-2_clusterID-5_signal-flow_0.681, 1_level-3_clusterID-12_signal-flow_0.836, 0_level-4_clusterID-25_signal-flow_1.533, 0_level-5_clusterID-52_signal-flow_1.652, 0_level-6_clusterID-95_signal-flow_1.863, 1_level-7_clusterID-155_signal-flow_1.914, mw previous neurons for talk, ND_published, ND_all published et al, ctd sensories, ct sensories, ct pre-DN-SEZs	catmaid_l1em:3410499	
