filename	label	is_a	part_of	comment	dbxrefs	synonyms
183502	A09e_a4 (L1EM:183502)	neuron|adult ventral nerve cord	embryonic/larval nervous system	Other, Neuron Fragments Search of Class IV, VNC, A4, Contralateral, csm_figure5_neurons, Class IV Connected Projection Neurons TO REVIEW, A09o, stephan-ascending, a1ppk_consistent_network, downstream of AN-B2, DSB2A, suguru works, LEFT, Sensory_to_VL_MBINs akira, A09e_a4, MB_FB_CN_all_akira, MB_FB_all_akira, locked, Burgos et al 2018, Tihana's paper 2018, Tihana's paper 2018 Matrix, post_sensory, T1 - 10 - Dark Blue, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, AUTO ascending neurons at 1112 gap, mw backup locked, Maxime2022, ND_published, ND_all published et al	catmaid_l1em:183502	
519624	A09a_a4l Basin-2 (L1EM:519624)	neuron	embryonic/larval nervous system	Basin, Class IV Preferred Interneurons A3-A4, Basin 2/4, Marta-2, locked, classIV-preferred, basin_goro_circuit, csm_figure5_neurons, a4basins, focus-stephan-a4, R72F11-GAL4, R72F11-LexA, A09a, S2A1, Burgos et al 2018, acetylcholine, mw backup locked, nr basins, BasinsMax, ND_all published et al	catmaid_l1em:519624	
587083	A09c_a4l Basin-4 (L1EM:587083)	neuron	embryonic/larval nervous system	Basin, Basin 2/4, Marta-2, locked, A4, classIV-preferred, basin_goro_circuit, csm_figure5_neurons, a4basins, focus-stephan-a4, R72F11-GAL4, R72F11-LexA, R57F07-GAL4, R72F11_AD + 57F07_DBD, A09c, Burgos et al 2018, acetylcholine, mw backup locked, nr basins, BasinsMax, ND_all published et al	catmaid_l1em:587083	
627858	A09e_a4 (L1EM:627858)	neuron	embryonic/larval nervous system	A4, Right, A09o, stephan-ascending, a1ppk_consistent_network, I Cannot Continue, Others TODO, Fragments 2014-01-18 14:57, RIGHT, Sensory_to_VL_MBINs akira, A09e_a4, MB_FB_CN_all_akira, MB_FB_all_akira, Atlas_MB_FB_select_right_akira, Atlas_MB_FB_CN_right_akira, locked, Burgos et al 2018, Albert please unlock, Tihana's paper 2018, Tihana's paper 2018 Matrix, post_sensory, B light grey, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, AUTO ascending neurons at 1112 gap, AUTO extends beyond brain, AUTO multiple presynapses to brain, mw backup locked, CCWA09Input, CCWA09input, Maxime2022, RGPNs_upstream_AM, ND_published, ND_all published et al	catmaid_l1em:627858	
722935	ddaA a1l class III md (L1EM:722935)	neuron	embryonic/larval nervous system	Sensory neurons, Class III, Sensory neurons dorsal a1 akira, Whole sensory neurons at A1 segment akira, md class III, prepreLO1, prepreLT, Class III a1l, A1 neurons, A1L Sensory, Burgos et al 2018, class III Alain, A1 Sensory, all_sensories, sens_not_to_RGPNinter_T3, m19_a1, SNs, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, RGpaper_somatosensory, mw VNC sensories, mw VNC sensories 2, mw VNC sensories A1, external somatosensory, a1classIII, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, SNa A1 L, FOR21, FOR21_sensory, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, sw:brain_paired:L, published T3 A1 A2, CCWA09Input, CCWA09input, AM_published, mw A1 classII_III, sw;idev5, sw;pairs;L, ND_Class III Sens_a1, sw;cdeviants, ND_Class III Sens_a1 all, mw A1 sens plot, ND_published, ND_all published et al	catmaid_l1em:722935	
754774	A02o_a6l Wave-1 (L1EM:754774)	neuron|gustatory receptor neuron of terminal organ dorsolateral group	embryonic/larval nervous system	TODO, Upstreams of Goro akira, Wave, A02o, Burgos et al 2018, acetylcholine, glutamate, mw cholinergic and glutamatergic, ND_all published et al	catmaid_l1em:754774	
888730	A09a_a3r Basin-2 (L1EM:888730)	neuron	embryonic/larval nervous system	Class IV Preferred Interneurons A3-A4, Basin, Basin 2/4, Marta-2, csm_figure5_neurons, focus-stephan-a3, stereotypy paper A3, A09a, Burgos et al 2018, somatosensory a3r search, dark blue, CCWA09Input, CCWA09input, nr basins, BasinsMax, ND_all published et al	catmaid_l1em:888730	
918889	A02o_a1l Wave-1 (L1EM:918889)	neuron|dorsal lateral bristle of antennal segment 1	embryonic/larval nervous system	csm_figure5_neurons, A02o, neuropeptidergic, downstream of AN-B2, DSB2B, Wave, DMNBp, downstream of SCBp, A1 neurons, A1L, NB2-1, Burgos et al 2018, NB2-1_A1L, has duplicate and wrong synapse, A1L Interneurons, Early_Born, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, acetylcholine, glutamate, Tihana_mechanosensory_final, AUTO ascending neurons at 1112 gap, AUTO extends beyond brain, NB2-1 Lin 02 A1 L, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, sw:brain_paired:L, published T3 A1 A2, sw;idev3, sw;pairs;L, mw A1 interneuron Noci 2nd/3rd-order, mw A1 interneuron Chord 2nd/3rd-order, mw A1 interneuron ClassII_III 2nd/3rd-order, mw A1 interneuron Noci 3rd_order, mw A1 interneuron Chord 3rd_order, mw A1 interneuron ClassII_III 3rd_order, Maxime2022, mw cholinergic and glutamatergic, A02o_a1l Wave-1, All PMSIs, sw;cdeviants, ND_published, ND_all published et al	catmaid_l1em:918889	
986460	ppk_ddaC_a1 (L1EM:986460)	neuron	embryonic/larval nervous system	A1, ddaC, locked, a1ppks, large-sensory-list-casey, repetition_validation, ppk1.9-GAL4, ppk-1kb-hs43-lexA-GAD, Albert cover, Sensory neurons dorsal a1 akira, Whole sensory neurons at A1 segment akira, md class iv, prepreLO1, prepreLT, l1_comparison_core, a1ppk_consistent_network, LEFT, a1classIVmd, Javier Class IV, Javier to analyze, Sensory_to_VL_MBINs akira, ppk_ddaC_a1, MB_FB_CN_all_akira, MB_FB_all_akira, A1 neurons, A1L Sensory, Burgos et al 2018, Tihana's paper 2018 Matrix, class III Alain, A1 Sensory, all_sensories, md class IV, sens_not_to_RGPNinter_T3, m19_a1, SNs, ant ven comm A1, all sensory neurons, RGpaper_somatosensory, mw VNC sensories, mw VNC sensories 2, mw VNC sensories A1, external somatosensory, Imambocus et al, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 noci, mw A1 neurons paired + accessory + dVNCs, SNa A1 L, FOR21, FOR21_sensory, Sens_FOR, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, mw backup locked, sw:brain_paired:L, published T3 A1 A2, CCWA09Input, CCWA09input, AM_published, sw;idev2, sw;pairs;L, Maxime2022, ND_Class IV Sens_a1, More, ND_Class IV Sens_a1 all, mw A1 sens plot, ND_published, ND_all published et al	catmaid_l1em:986460	
1115781	A09l_a5l_ Down-and-back-1 (L1EM:1115781)	neuron|larval down and back neuron	embryonic/larval nervous system	Down-and-back, Class IV Preferred Interneurons Others, leed, downandback, A09l, Burgos et al 2018, mw cholinergic, ND_all published et al	catmaid_l1em:1115781	
