filename	label	is_a	part_of	comment	dbxrefs	synonyms
2072202	A27l_a3r (L1EM:2072202)	neuron	embryonic/larval nervous system	GDL down 6, Fragments 2014-01-18 14:57, prepreLO1, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, mw GABAergic, ND_all published et al	catmaid_l1em:2072202	
2111886	A27l_a3l (L1EM:2111886)	neuron	embryonic/larval nervous system	GDL down 6, A27l_a3l, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, mw GABAergic, ND_all published et al	catmaid_l1em:2111886	
4038808	A27k_a2l (L1EM:4038808)	neuron|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	soma in A2, Interneurons, GDL up 4L-A2, A27k_a2l, GDL circuits akira-4 only reviewed, prepreLO1, preLT, prepreLT, 20170109, RF PMNs for Brandon, RF PMN_MN for Brandon, A1_pMNs, Aref_PMN, Aref_PMN_unknown_dev, Aref_pmn_expanded, Left, Latea08_downstream, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, Zarin236PMNs, Hb, mw VNC PMNs A1, FOR21, FOR21_inter, Zarin PMNs 29 pairs for NIH R01, mw backup locked, published T3 A1 A2, YYCWMLEH, mw cholinergic, ND_all published et al	catmaid_l1em:4038808	
4113612	A27k_a2r (L1EM:4113612)	neuron|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	GDL up 4R-A2, A27k_a2r, GDL circuits akira-4 only reviewed, prepreLO1, preLT, prepreLT, 20170109, RF PMNs for Brandon, RF PMN_MN for Brandon, A1_pMNs, Aref_PMN, Aref_PMN_unknown_dev, Aref_pmn_expanded, Right, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, DALd downstream, down right DALd LAL, Zarin236PMNs, Hb, mw VNC PMNs A1, FOR21, FOR21_inter, Zarin PMNs 29 pairs for NIH R01, mw backup locked, published T3 A1 A2, YYCWMLEH, CCWA09Input, CCWA09input, mw cholinergic, ND_all published et al	catmaid_l1em:4113612	
4213417	A27k_a1l (L1EM:4213417)	neuron|dorsal lateral bristle of antennal segment 1|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	A27k_a1l, fragment, prepreLT, GDL circuits akira-4 only reviewed, clb:todo_ddaD, sens 17266222, A1 neurons, A1L, NB5-6, Burgos et al 2018, RF PMNs for Brandon, RF PMN_MN for Brandon, A1L Interneurons, A1_pMNs, hb_neurons, Aref_pmn_expanded, Left, post_sensory, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, Zarin236PMNs, Hb, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, Zarin PMNs 29 pairs for NIH R01, mw test PMN, mw backup locked, sw:brain_paired:L, published T3 A1 A2, YYCWMLEH, CCWA09Input, CCWA09input, sw;pairs;L, mw A1 interneuron pre-MN 2nd/3rd-order, mw A1 interneuron Proprio 2nd/3rd-order, mw A1 interneuron Noci 2nd/3rd-order, mw A1 interneuron ClassII_III 2nd/3rd-order, mw A1 interneuron ES 2nd/3rd-order, mw A1 interneuron Unknown 2nd/3rd-order, mw A1 interneuron pre-MN 2nd_order, mw A1 interneuron ClassII_III 2nd_order, mw A1 interneuron Proprio 3rd_order, mw A1 interneuron Noci 3rd_order, mw A1 interneuron ES 3rd_order, mw A1 interneuron Unknown 3rd_order, Maxime2022, mw cholinergic, mw A1 premotorneuron plot, ND_published, ND_all published et al	catmaid_l1em:4213417	
4542433	A18b_a1l (L1EM:4542433)	neuron|dorsal lateral bristle of antennal segment 1|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	W1-like-4_a1l, W1-like_a1l, preLO1, prepreLO1, A1 neurons, NB2-4, A1L, NB2-4 Candidates, RF PMNs for Brandon, RF PMN_MN for Brandon, A1L Interneurons, NB3-5 Candidates, A1_pMNs, Aref_PMN, pmn_left, Zarin 2018 unique, Aref_pmn_expanded, Left, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, Zarin236PMNs, mw VNC PMNs A1, NB2-4 Lin 18 A1 L, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, FOR21, FOR21_inter, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, Zarin PMNs 29 pairs for NIH R01, nr Tel-like 10 downstream 3-hop, mw test PMN, mw backup locked, sw:brain_paired:L, published T3 A1 A2, CCWA09Input, mw A1 ds_dVNC, mw A1 out_hubs ad, mw A1 ds_dVNC motor, mw A1 ds_dVNC mixed, sw;pairs;L, sw;mdev4, mw A1 interneuron pre-MN 2nd/3rd-order, mw A1 interneuron Proprio 2nd/3rd-order, mw A1 interneuron pre-MN 2nd_order, mw A1 interneuron Proprio 3rd_order, mw cholinergic, mw A1 premotorneuron plot, ND_published, ND_all published et al	catmaid_l1em:4542433	
4719759	A27l_a2l (L1EM:4719759)	neuron|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	GDL down 6, prepreLO1, prepreLT, NB6-2 Candidates, RF PMNs for Brandon, RF PMN_MN for Brandon, A1_pMNs, Zarin 2018 unique, Aref_pmn_expanded, Left, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, Zarin236PMNs, FOR21, FOR21_inter, Zarin PMNs 29 pairs for NIH R01, mw backup locked, published T3 A1 A2, CCWA09Input, CCWA09input, mw GABAergic, ND_all published et al	catmaid_l1em:4719759	
4727546	A18b_a1r (L1EM:4727546)	neuron|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	W1-like_a1r, W1-like-4_a1r, preLO1, prepreLO1, prepreLT, Check_jm_akira, Check_jm_akira2, MacLeod, MacLeod Good, A1 neurons, A1R, NB2-4 Candidates, RF PMNs for Brandon, RF PMN_MN for Brandon, A1_pMNs, Aref_PMN, Zarin 2018 unique, Aref_pmn_expanded, Right, RF PMN latest, a7 unknown 20433355, a7 unknown 20434811, a8 unknown 15829133, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, Lin X9 A1 R, Ant Com, CdB com a, Zarin236PMNs, mw VNC PMNs A1, NB2-4 Lin 18 A1 R, mw A1 neurons, mw A1 wider set, mw right, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, FOR21, FOR21_inter, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, Zarin PMNs 29 pairs for NIH R01, nr Tel-like 10 downstream 3-hop, mw backup locked, sw:brain_paired:R, published T3 A1 A2, CCWA09Input, mw A1 ds_dVNC, mw A1 out_hubs ad, mw A1 ds_dVNC motor, mw A1 ds_dVNC mixed, sw;pairs;R, sw;mdev4, mw A1 interneuron pre-MN 2nd/3rd-order, mw A1 interneuron Proprio 2nd/3rd-order, mw A1 interneuron pre-MN 2nd_order, mw A1 interneuron Proprio 3rd_order, mw cholinergic, mw A1 premotorneuron plot, ND_published, ND_all published et al	catmaid_l1em:4727546	
4835694	A27h_a4l (L1EM:4835694)	neuron	embryonic/larval nervous system	PVM figure all neruons_avi, PN to A27h_avi, PVM027 sensorimotor circuit_avi, acetylcholine, mw cholinergic, ND_all published et al	catmaid_l1em:4835694	
5308485	SEZ-DN1_left (L1EM:5308485)	neuron|subesophageal zone neuron	embryonic/larval nervous system	prepreLT, 27 Partners, Descending neurons_PVM027, DNs akira-2 SEZ, PVM figure all neruons_avi, PN to A27h_avi, S4A2,p, S3A1, PVM027 sensorimotor circuit_avi, SEZ DN1, Pair1, eh-like_zhao, T1 17 Dark Tur, DALd downstream, down right DALd LAL, AUTO ascending neurons at 1112 gap, NO WAY OUT, Scr, mw GABAergic, ND_all published et al	catmaid_l1em:5308485	
5355175	A27l_a2r (L1EM:5355175)	neuron|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	labm27, GDL down 6, prepreLO1, prepreLT, RF PMNs for Brandon, RF PMN_MN for Brandon, A1_pMNs, Zarin 2018 unique, Aref_pmn_expanded, Right, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, Zarin236PMNs, FOR21, FOR21_inter, Zarin PMNs 29 pairs for NIH R01, mw backup locked, published T3 A1 A2, YYCWMLEH, CCWA09Input, mw GABAergic, ND_all published et al	catmaid_l1em:5355175	
10004243	A27k_a1r (L1EM:10004243)	neuron|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	A27k_a1r, GDL circuits akira-4 only reviewed, ASB right, Check_jm_akira, Check_jm_akira2, A1 neurons, A1R, Burgos et al 2018, RF PMNs for Brandon, RF PMN_MN for Brandon, NB5-6_Candidates, hb_neurons, Aref_pmn_expanded, Right, post_sensory, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, DALd downstream, down right DALd LAL, Lin X16 A1 R, CL VL Cd ipsi, Lin X4b A1 R, Zarin236PMNs, Hb, mw A1 neurons, mw A1 wider set, mw right, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, FOR21, FOR21_inter, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, Zarin PMNs 29 pairs for NIH R01, mw backup locked, sw:brain_paired:R, published T3 A1 A2, YYCWMLEH, sw;pairs;R, mw A1 interneuron pre-MN 2nd/3rd-order, mw A1 interneuron Proprio 2nd/3rd-order, mw A1 interneuron Noci 2nd/3rd-order, mw A1 interneuron ClassII_III 2nd/3rd-order, mw A1 interneuron ES 2nd/3rd-order, mw A1 interneuron Unknown 2nd/3rd-order, mw A1 interneuron pre-MN 2nd_order, mw A1 interneuron ClassII_III 2nd_order, mw A1 interneuron Proprio 3rd_order, mw A1 interneuron Noci 3rd_order, mw A1 interneuron ES 3rd_order, mw A1 interneuron Unknown 3rd_order, Maxime2022, mw cholinergic, mw A1 premotorneuron plot, ND_published, ND_all published et al	catmaid_l1em:10004243	
10216846	A27h?_t3l (L1EM:10216846)	neuron	embryonic/larval nervous system	GDL down 1, For segmentation akira, A27H to PVM, ASB left, A27h_avi, A27h_t3, T3 neurons, NB6-2 Candidates, acetylcholine, fragment, Review, ND_all published et al	catmaid_l1em:10216846	
10219170	A27l_a1l (L1EM:10219170)	neuron|dorsal lateral bristle of antennal segment 1|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	GDL down 6, prepreLO1, prepreLT, ASB left, A1 neurons, A1L, Unknown Neuroblast 3, NB6-2 Candidates, RF PMNs for Brandon, RF PMN_MN for Brandon, A1L Interneurons, A1_pMNs, Aref_PMN, pmn_left, Zarin 2018 unique, Aref_PMN_unknown_dev, Aref_pmn_expanded, Left, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, connectivity_mechanosensory, Forsubmission_Tihana_mechanosesnorynetwork, Tihana_mechanosensory_final, Zarin236PMNs, mw VNC PMNs A1, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, FOR21, FOR21_inter, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, Zarin PMNs 29 pairs for NIH R01, nr Tel-like 10 downstream 3-hop, mw test PMN, mw backup locked, sw:brain_paired:L, published T3 A1 A2, CCWA09Input, mw A1 ds_dVNC, mw A1 ds_dVNC motor, mw A1 ds_dVNC mixed, sw;idev3, sw;pairs;L, mw A1 interneuron pre-MN 2nd/3rd-order, mw A1 interneuron Proprio 2nd/3rd-order, mw A1 interneuron ES 2nd/3rd-order, mw A1 interneuron Unknown 2nd/3rd-order, mw A1 interneuron pre-MN 2nd_order, mw A1 interneuron Proprio 3rd_order, mw A1 interneuron ES 3rd_order, mw A1 interneuron Unknown 3rd_order, mw GABAergic, mw A1 premotorneuron plot, ND_published, ND_all published et al	catmaid_l1em:10219170	
10223572	A27h_a1l (L1EM:10223572)	neuron|dorsal lateral bristle of antennal segment 1|larval antennal-pharyngeal nerve motor neuron	embryonic/larval nervous system	GDL down 1, For segmentation akira, A27h_a1l, GDL circuits akira-4 only reviewed, prepreLO1, A27H to PVM, ASB left, julius neuron 4, Julius neurons 5, CN-19 to MNs akira, A27h_avi, PVM figure all neruons_avi, PN to A27h_avi, PVM027 sensorimotor circuit_avi, A1 neurons, A1L, Unknown Neuroblast 3, NB6-2 Candidates, RF PMNs for Brandon, RF PMN_MN for Brandon, A1L Interneurons, A1_pMNs, Aref_PMN, pmn_left, Aref_PMN_unknown_dev, Aref_pmn_expanded, Left, post_sensory, RF PMN latest, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, acetylcholine, Zarin236PMNs, mw VNC PMNs A1, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, FOR21, FOR21_inter, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, Zarin PMNs 29 pairs for NIH R01, mw test PMN, mw backup locked, sw:brain_paired:L, published T3 A1 A2, sw;pairs;L, mw A1 interneuron pre-MN 2nd/3rd-order, mw A1 interneuron Proprio 2nd/3rd-order, mw A1 interneuron ClassII_III 2nd/3rd-order, mw A1 interneuron ES 2nd/3rd-order, mw A1 interneuron Unknown 2nd/3rd-order, mw A1 interneuron pre-MN 2nd_order, mw A1 interneuron Proprio 2nd_order, mw A1 interneuron ClassII_III 2nd_order, mw A1 interneuron ES 3rd_order, mw A1 interneuron Unknown 3rd_order, mw cholinergic, mw A1 premotorneuron plot, ND_published, ND_all published et al	catmaid_l1em:10223572	
