filename	label	is_a	part_of	comment	dbxrefs	synonyms
3641568	SN motor neuron a1r ventral dendrite (L1EM:3641568)	neuron|larval segmental nerve of A1-7|segmental nerve pioneer neuron	embryonic/larval nervous system	SN MNs a1 akira, Whole motor neurons at A1 segment akira, td VNC tract interneuron, sam_working, MNs_a1, A1 motorneurons, A1 neurons, A1R, A1R Motor Neurons, functional A1R motors, sam_GP, green, Lin X6 A1 R, SNp, VLB R at 2400, mw A1 neurons, mw A1 wider set, mw right, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw A1 MN todo, SNp A1 R, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, A1N mot, mw test matrices, sw:brain_paired:R, published T3 A1 A2, sw;idev5, sw;pairs;R, ND_motor Neurons a1, ND_published, ND_all published et al	catmaid_l1em:3641568	
4028114	MN5 LO1_a1l (L1EM:4028114)	neuron|dorsal lateral bristle of antennal segment 1	embryonic/larval nervous system	SN MN A1 left, labm1, labm12, labm14, labm15, labm20, labm28, to be reviewed by albert/casey, 140703, SN MNs a1 akira, Whole motor neurons at A1 segment akira, EL circuit left side, a1mzcells, Matthias_all_SN_MNs, 20170109, Zwart_et_al_A1_motorneurons_l, MNs_a1, A1 motorneurons, A1 neurons, A1L, RF PMN_MN for Brandon, A1L Motor Neurons, DO/LO, F2, CMUG: F2, CMUG: B3, Aref_MN, z19_MNs, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, m19_a1, ZarinMNs, Zarin_A1MNs_CellBodyleft, Zarin_A1MNs_CNS exit left, mw VNC motorneurons A1, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, SNp A1 L, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, mw test matrices, rolling_lateral_muscles_CNS exit left, mw backup locked, sw:brain_paired:L, published T3 A1 A2, A1_motor_Damian, sw;pairs;L, Main rolling MNs, Maxime2022, ND_motor Neurons a1, ND_VNC Motor Neurons a1, mw A1 motor plot, ND_Main rolling MNs, ND_published, ND_all published et al	catmaid_l1em:4028114	
4042315	MN22/23 (RF:LT2/LT3) LT1_a1l (L1EM:4042315)	neuron|dorsal lateral bristle of antennal segment 1|T neuron	embryonic/larval nervous system	SN MN A1 left, labm1, labm12, to be reviewed by albert/casey, SN MNs a1 akira, Whole motor neurons at A1 segment akira, a1mzcells, Matthias_all_SN_MNs, Anita, 20170109, Zwart_et_al_A1_motorneurons_l, MNs_a1, A08 A1 IA, A1 motorneurons, A1 neurons, A1L, A1L Motor Neurons, Burgos et al 2018, RF PMN_MN for Brandon, T, CCW A1L fasciculating cluster, jm_EL lineage, CCW A1L EL fasiculating cluster, F4, CMUG: F4, CMUG: B4, Aref_MN, z19_MNs, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, m19_a1, ZarinMNs, Zarin_A1MNs_CellBodyleft, Zarin_A1MNs_CNS exit left, CMUG: F4L, mw VNC motorneurons A1, CCW ELs, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, Ellie all NB3-3 A1, SNp A1 L, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, mw test matrices, rolling_lateral_muscles_CNS exit left, A26f post 20211012, mw backup locked, sw:brain_paired:L, published T3 A1 A2, A1_motor_Damian, sw;pairs;L, Maxime2022, ND_motor Neurons a1, ND_VNC Motor Neurons a1, mw A1 motor plot, LT motor neurons, ND_published, ND_all published et al	catmaid_l1em:4042315	
4050398	putative peptidergic SN motor neuron a1l (L1EM:4050398)	neuron|larval segmental nerve of A1-7|dorsal lateral bristle of antennal segment 1	embryonic/larval nervous system	SN MNs a1 akira, Whole motor neurons at A1 segment akira, td VNC tract interneuron, td VNC tract sensory, sam_working, MNs_a1, A1 motorneurons, A1 neurons, A1L, A1L Motor Neurons, sam_GP, Imambocus et al, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw A1 MN todo, SNp A1 L, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, mw test matrices, sw:brain_paired:L, published T3 A1 A2, sw;idev2, sw;pairs;L, sw;mdevNeg, ND_motor Neurons a1, sw;mdeviants, ND_published, ND_all published et al	catmaid_l1em:4050398	
4101976	MN27 (SN MN VA2)_a1r (L1EM:4101976)	neuron|ventral group vA neuron|segmental nerve pioneer neuron	embryonic/larval nervous system	SN MN A1 right, labm1, labm12, labm18, SN MNs a1 akira, Whole motor neurons at A1 segment akira, Motor AAZ akira, EL circuit right side, MNs_a1, A1 motorneurons, A1 neurons, A1R, A1R Motor Neurons, RF PMN_MN for Brandon, functional A1R motors, VA, Aref_MN, z19_MNs, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, m19_a1, Lin X7 A1 R, SNp, ZarinMNs, Zarin_A1MNs_CellBodyright, Zarin_A1MNs_CNS exit right, mw VNC motorneurons A1, mw A1 neurons, mw A1 wider set, mw right, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, SNp A1 R, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, A1N mot, mw test matrices, rolling_VLVATN_muscles_CNS exit right, A26f post 20211012, mw backup locked, sw:brain_paired:R, published T3 A1 A2, sw;pairs;R, ND_motor Neurons a1, ND_VNC Motor Neurons a1, mw A1 motor plot, ND_published, ND_all published et al	catmaid_l1em:4101976	
4102728	MN22/23 (RF:LT2/LT3) LT1_a1r   (L1EM:4102728)	neuron|T neuron|segmental nerve pioneer neuron	embryonic/larval nervous system	SN MN A1 right, labm1, labm12, labm18, labm19, labm26, to be reviewed by albert/casey, SN MNs a1 akira, Whole motor neurons at A1 segment akira, a1mzcells, Matthias_all_SN_MNs, 20170109, MNs_a1, A1 motorneurons, A1 neurons, A1R, A1R Motor Neurons, Burgos et al 2018, RF PMN_MN for Brandon, functional A1R motors, T, CCW A1R EL fasiculating cluster, F4, CMUG: F4, CMUG: B4, Aref_MN, z19_MNs, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, m19_a1, Lin X5 A1 R, SNp, ZarinMNs, Zarin_A1MNs_CellBodyright, Zarin_A1MNs_CNS exit right, CMUG: F4R, mw VNC motorneurons A1, CCW ELs, mw A1 neurons, mw A1 wider set, mw right, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, Ellie all NB3-3 A1, SNp A1 R, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, A1N mot, mw test matrices, rolling_lateral_muscles_CNS exit right, NB3-2 Lin 07 A1 R, A26f post 20211012, mw backup locked, sw:brain_paired:R, published T3 A1 A2, sw;pairs;R, ND_motor Neurons a1, ND_VNC Motor Neurons a1, mw A1 motor plot, LT motor neurons, ND_published, ND_all published et al	catmaid_l1em:4102728	
4121534	MN23/24 (RF: LT3/LT4) LT4_a1r   (L1EM:4121534)	neuron|T neuron|segmental nerve pioneer neuron	embryonic/larval nervous system	SN MN A1 right, A26f and friends, labm1, labm12, labm18, labm19, labm26, to be reviewed by albert/casey, SN MNs a1 akira, Whole motor neurons at A1 segment akira, a1mzcells, Matthias_all_SN_MNs, 20170109, MNs_a1, A1 motorneurons, A1 neurons, A1R, A1R Motor Neurons, RF PMN_MN for Brandon, functional A1R motors, T, F4, CMUG: F4, CMUG: B4, Aref_MN, z19_MNs, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, m19_a1, Lin X7 A1 R, SNp, ZarinMNs, Zarin_A1MNs_CellBodyright, Zarin_A1MNs_CNS exit right, CMUG: F4R, mw VNC motorneurons A1, mw A1 neurons, mw A1 wider set, mw right, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, SNp A1 R, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, A1N mot, mw test matrices, rolling_lateral_muscles_CNS exit right, A26f post 20211012, mw backup locked, sw:brain_paired:R, published T3 A1 A2, sw;pairs;R, ND_motor Neurons a1, ND_VNC Motor Neurons a1, mw A1 motor plot, LT motor neurons, ND_published, ND_all published et al	catmaid_l1em:4121534	
4271519	putative peptidergic SN motor neuron a1l ventral dendrite (L1EM:4271519)	neuron|larval segmental nerve of A1-7|dorsal lateral bristle of antennal segment 1	embryonic/larval nervous system	SN MNs a1 akira, Whole motor neurons at A1 segment akira, td VNC tract interneuron, sam_working, MNs_a1, A1 motorneurons, A1 neurons, A1L, A1L Motor Neurons, sam_GP, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw A1 MN todo, SNp A1 L, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, mw test matrices, sw:brain_paired:L, published T3 A1 A2, sw;idev5, sw;pairs;L, ND_motor Neurons a1, ND_published, ND_all published et al	catmaid_l1em:4271519	
4274364	MN29 (SN MN VA3)_a1l (L1EM:4274364)	neuron|dorsal lateral bristle of antennal segment 1|ventral group vA neuron	embryonic/larval nervous system	SN MN A1 left, labm1, labm12, SN MNs a1 akira, Whole motor neurons at A1 segment akira, Motor AAZ akira, MNs_a1, A1 motorneurons, A1 neurons, A1L, A1L Motor Neurons, RF PMN_MN for Brandon, VA, F2, CMUG: F2, CMUG: B3, Aref_MN, z19_MNs, ZPMN2019, locked, Z19_forAshok, Z19_formodel, ZarinPMNs, m19_a1, ZarinMNs, Zarin_A1MNs_CellBodyleft, Zarin_A1MNs_CNS exit left, mw VNC motorneurons A1, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, SNp A1 L, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, mw test matrices, rolling_muscles15,16,17,28,29_CNS exit right, mw backup locked, sw:brain_paired:L, published T3 A1 A2, A1_motor_Damian, sw;pairs;L, ND_motor Neurons a1, ND_VNC Motor Neurons a1, mw A1 motor plot, ND_published, ND_all published et al	catmaid_l1em:4274364	
4289745	putative peptidergic SN motor neuron a1l posterior dendrite (L1EM:4289745)	neuron|larval segmental nerve of A1-7|dorsal lateral bristle of antennal segment 1	embryonic/larval nervous system	SN MNs a1 akira, Whole motor neurons at A1 segment akira, td VNC tract sensory, sam_working, MNs_a1, A1 motorneurons, A1 neurons, A1L, A1L Motor Neurons, mw A1 neurons, mw A1 wider set, mw left, mw A1 neurons paired, mw A1 MN, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw A1 MN todo, SNp A1 L, FOR21, FOR21_outputs, outputs_FOR, mw brain matrix and A1, mw brain paper all neurons, P01_outputs, mw test matrices, sw:brain_paired:L, published T3 A1 A2, mw A1 ds_dVNC, mw A1 ds_dVNC motor, sw;pairs;L, ND_motor Neurons a1, mw A1 motor plot, ND_published, ND_all published et al	catmaid_l1em:4289745	
