filename	label	is_a	part_of	comment	dbxrefs	synonyms
858479	BAmas12_dor center output 1 right (L1EM:858479)	neuron	embryonic/larval nervous system	3 - Labial lb, motorneurons, WB_BAmas R, *BAmas12_dor_r akira, downstream of AN-B2, DSB2A, mw brain neurons, mw brain neurons + SU, mw brain inventory, upstream MN motor, mw right, mw draft complete, TR, mw axon split complete, mw brain neurons split, MxN motor upstream, AUTO descending neurons to SEZ, mw colored-matrix-2019-09-12, #13, BAmas1/2 R, mw brain neurons + sensories, TR*, mw dSEZ, mw brain matrix, Pankratz pre, mw brain unpublished <80% reviewed 2020-04-24, mw brain ipsilateral, mw brain matrix + A1, FOR21, FOR21_inter, mw bilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, mw brain reviewed <80%, sw:brain_paired:R, sw;brainpair;R, mw gustatory-pharyngeal 2nd_order, sw;idev5, sw;pairs;R, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 0_level-2_clusterID-4_signal-flow_0.888, 0_level-3_clusterID-9_signal-flow_1.058, 2_level-4_clusterID-20_signal-flow_1.048, 6_level-5_clusterID-42_signal-flow_0.993, 2_level-6_clusterID-84_signal-flow_1.367, 20_level-7_clusterID-143_signal-flow_0.679, ND_published, ND_all published et al, ctd DN-SEZs, ct DN-SEZs	catmaid_l1em:858479	nan
865151	BAmas12 midline neuron 2 right (L1EM:865151)	neuron	embryonic/larval nervous system	WB_BAmas R, downstream of AN-B2, DSB2A, *BAmas12_ven_r akira, mw brain neurons, mw brain neurons + SU, mw brain inventory, upstream MN motor, mw complete, mw right, TR com, mw axon split complete, mw brain neurons split, #1, MxN motor upstream, AUTO descending neurons to SEZ, mw colored-matrix-2019-09-12, BAmas1/2 R, mw brain neurons + sensories, mw dSEZ, TR com*, mw brain matrix, Pankratz pre, mw brain unpublished <80% reviewed 2020-04-24, mw brain ipsilateral, mw dSEZ 2nd_order, mw brain matrix + A1, FOR21, FOR21_inter, mw bilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, mw pre-dSEZ, mw brain reviewed <80%, sw:brain_paired:R, sw;brainpair;R, sw;deviant;R, sw;3dev;R, mw respiratory 3rd_order, mw gustatory-pharyngeal 3rd_order, sw;idev5, sw;pairs;R, mw dVNC-efference-3hop 2022-03-15, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-efference-1hop 2022-03-15, mw dSEZ-efference-2hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 0_level-2_clusterID-4_signal-flow_0.888, 0_level-3_clusterID-9_signal-flow_1.058, 1_level-4_clusterID-19_signal-flow_1.067, 5_level-5_clusterID-40_signal-flow_1.038, 9_level-6_clusterID-82_signal-flow_1.009, 9_level-7_clusterID-139_signal-flow_1.131, mw check high dendritic OI, ND_published, ND_all published et al, ctd DN-SEZs, ct pre-DN-SEZs, ct DN-SEZs	catmaid_l1em:865151	nan
869360	SEZ cup right (L1EM:869360)	neuron	embryonic/larval nervous system	3 - Labial lb, budle1, motorneurons, left, WB_BAmas R, *BAmas12_ven_r akira, mw brain neurons, mw brain neurons + SU, mw brain inventory, mw complete, MN-Sens-Int-2, mw right, TR, mw axon split complete, mw brain neurons split, #5, AUTO descending neurons to SEZ, mw colored-matrix-2019-09-12, BAmas1/2 R, mw brain neurons + sensories, mw dSEZ, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw AN_MN 2nd_order, mw ORN_AN_MN 2nd_order, mw brain ipsilateral, mw dSEZ 2nd_order, mw brain matrix + A1, mw bilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, TR*, mw brain reviewed <80%, sw:brain_paired:R, sw;brainpair;R, mw gustatory-external 2nd_order, mw gustatory-pharyngeal 2nd_order, sw;pairs;R, mw dSEZ-efference-1hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 0_level-2_clusterID-4_signal-flow_0.888, 2_level-3_clusterID-10_signal-flow_0.795, 3_level-4_clusterID-21_signal-flow_0.855, 7_level-5_clusterID-44_signal-flow_0.826, 3_level-6_clusterID-86_signal-flow_1.332, 5_level-7_clusterID-147_signal-flow_1.320, ND_published, ND_all published et al, ctd DN-SEZs, ct DN-SEZs	catmaid_l1em:869360	nan
992646	BAmas12 contra left; Interneuron--35 in total (L1EM:992646)	neuron	embryonic/larval nervous system	Li SOG interneuron, PrePMN, ASB left, *BAmas12_ven_l akira, downstream of AN-B2, DSB2B, DSB2A, Pre-PMN, BAmas12_ven todo, mw brain neurons, preANmotor, mw brain neurons + SU, AN_premotor_AS, mw brain inventory, upstream PMNs, upstream MN motor, mw left, mw axon split complete, mw brain neurons split, mw draft complete, TR com, MxN motor upstream, VAN motor upstream, #4T, AUTO descending neurons to SEZ, mw colored-matrix-2019-09-12, BAmas1/2 L, mw brain neurons + sensories, mw dSEZ, TR com*, mw brain matrix, Pankratz pre, mw brain unpublished <80% reviewed 2020-04-24, mw brain ipsilateral, mw dSEZ 2nd_order, mw brain matrix + A1, FOR21, FOR21_inter, mw bilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, path2_FOR, allinter_FOR, P01_FOR, mw test matrices, stable, mw brain reviewed <80%, sw:brain_paired:L, sw;brainpair;L, mw gustatory-pharyngeal 3rd_order, sw;pairs;L, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-efference-1hop 2022-03-15, mw dSEZ-efference-2hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 0_level-2_clusterID-4_signal-flow_0.888, 0_level-3_clusterID-9_signal-flow_1.058, 2_level-4_clusterID-20_signal-flow_1.048, 6_level-5_clusterID-42_signal-flow_0.993, 15_level-6_clusterID-83_signal-flow_0.628, 24_level-7_clusterID-141_signal-flow_0.598, ND_published, ND_all published et al, ctd DN-SEZs, ct DN-SEZs	catmaid_l1em:992646	nan
1065967	DPMl_ant_ven descending right (L1EM:1065967)	neuron	embryonic/larval nervous system	ASB TODO crossing, DNs akira-2, mw brain neurons + SU, mw brain inventory, mw right, *DPMl_ant_ven_r akira, mw draft complete, mw axon split complete, mw brain neurons split, DPMm2 R, IPM contra desc, AUTO descending neurons to VNC, #1, mw colored-matrix-2019-09-12, Avi 122, mw brain neurons + sensories, mw dVNC, mw brain crosses commissure, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw brain contralateral, IPP contra desc*, mw pre-dSEZ feedback 3hop 7-Sept 2020, mw pre-dSEZ feedback 3hop 16-Sept 2020, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw contralateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, mw brain unreviewed, mw brain open-ends 1, sw:brain_paired:R, sw;brainpair;R, sw;deviant;R, sw;1dev;R, lv dVNC to T3+A1, mw gustatory-external 3rd_order, mw dVNC not to A1, cx descending l1, FB descending, dVNCdownstreamCX, sw;pairs;R, mw candidate hunch_head-move, downFBPBs, downPB, mw dVNC-efference-2hop 2022-03-15, mw dVNC-efference-3hop 2022-03-15, mw dVNC-efference-4hop 2022-03-15, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-efference-2hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw dVNC-efference-casc-8hop 2022-03-15, mw dSEZ-efference-casc-8hop 2022-03-15, mw dSEZ-efference-casc-5hop 2022-03-15, remove FB.d, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 3_level-2_clusterID-3_signal-flow_-0.600, 7_level-3_clusterID-8_signal-flow_-1.017, 14_level-4_clusterID-18_signal-flow_-0.937, 26_level-5_clusterID-37_signal-flow_-0.688, 48_level-6_clusterID-75_signal-flow_-0.728, 70_level-7_clusterID-133_signal-flow_-0.594, mw cascade-5-hop integrative 2022-11-03, mw cascade-8-hop integrative 2022-11-03, ND_published, ND_all published et al, ctd DN-VNCs, ct DN-VNCs	catmaid_l1em:1065967	nan
1137946	mixed bpl terminal right  (L1EM:1137946)	neuron	embryonic/larval nervous system	Left CIT PN, WB_BLP12ab R, *BLP12_r akira, BLP12 b 3, mw brain neurons, mw brain neurons + SU, mw brain inventory, mw right, mw brain neurons split, mw draft complete, VLP, BLP1/2 a R, mw colored-matrix-2019-09-12, VLP 1, #1, mw brain neurons + sensories, VLP1*, mw preliminary LN, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw mixed axon/dendrite <0.2 segregation index, mw brain ipsilateral, mw brain matrix + A1, mw ipsilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, mw 17165621 us partners, stable, mw brain unreviewed, sw:brain_paired:R, sw;brainpair;R, YYCWMLEH, mw mechano-Ch 2nd_order, mw mechano-Ch 2nd_order PN-old, sw;pairs;R, mw dSEZ-feedback-5hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 0_level-2_clusterID-4_signal-flow_0.888, 2_level-3_clusterID-10_signal-flow_0.795, 4_level-4_clusterID-22_signal-flow_0.735, 10_level-5_clusterID-46_signal-flow_0.688, 13_level-6_clusterID-90_signal-flow_0.767, 18_level-7_clusterID-90_signal-flow_0.767, mw cascade-5-hop labeled-line 2022-11-03, mw cascade-8-hop labeled-line 2022-11-03, ND_published, ND_all published et al, ctd PNs-somato, ct PNs-somato	catmaid_l1em:1137946	nan
1141813	BLVa34 local hook right; downstream of basket PN; BLVa34 a 4 (L1EM:1141813)	neuron	embryonic/larval nervous system	Brain, maybe BPL local, WB_BLVp2 R, *BLVa34_r akira, mw brain neurons, mw brain neurons + SU, BLVa3/4 a R, mw brain inventory, mw right, mw axon split complete, mw brain neurons split, VLP, mw draft complete, #3, mw colored-matrix-2019-09-12, mw brain neurons + sensories, VLP*, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw brain ipsilateral, mw brain matrix + A1, mw pre-dVNC 1%, mw ipsilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, stable, mw brain unreviewed, sw:brain_paired:R, sw;brainpair;R, mw noci 2nd_order, mw noci 2nd_order PN-old, sw;pairs;R, mw dSEZ-feedback-5hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 0_level-2_clusterID-4_signal-flow_0.888, 2_level-3_clusterID-10_signal-flow_0.795, 4_level-4_clusterID-22_signal-flow_0.735, 8_level-5_clusterID-45_signal-flow_0.785, 12_level-6_clusterID-87_signal-flow_0.845, 14_level-7_clusterID-149_signal-flow_0.926, mw cascade-5-hop labeled-line 2022-11-03, mw cascade-8-hop labeled-line 2022-11-03, ND_published, ND_all published et al, ctd PNs-somato, ct PNs-somato, ct pre-DN-VNCs	catmaid_l1em:1141813	nan
1591270	Nag right (L1EM:1591270)	neuron	embryonic/larval nervous system	WB_BAla12 R, *BAla34_r akira, hemilateral_pair_1591270_15718981, mw brain neurons, mw brain neurons + SU, Right, BAla3/4 R, mw complete, mw brain inventory, mw right, UNI, mw axon split complete, mw brain neurons split, #1, mw colored-matrix-2019-09-12, mw brain neurons + sensories, UNI*, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw brain contralateral, mw dSEZ 2nd_order, mw brain matrix + A1, mw pre-dVNC 1%, mw contralateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw pre-dSEZ 1%, mw test matrices, mw 15605301 us partners, stable, mw 10411574 upstream partners, mw brain reviewed <80%, sw:brain_paired:R, sw;brainpair;R, mw gustatory-external 3rd_order, mw gustatory-external 2nd_order PN-old, mw gustatory-pharyngeal 2nd_order PN-old, sw;pairs;R, mw dSEZ-efference-1hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 3_level-2_clusterID-3_signal-flow_-0.600, 4_level-3_clusterID-7_signal-flow_-0.188, 10_level-4_clusterID-15_signal-flow_-0.276, 17_level-5_clusterID-32_signal-flow_-0.030, 25_level-6_clusterID-65_signal-flow_0.170, 31_level-7_clusterID-117_signal-flow_0.340, clb brainpaircensus mw right, ND_published, ND_all published et al, ctd pre-DN-VNCs, ct pre-DN-SEZs, ct pre-DN-VNCs	catmaid_l1em:1591270	nan
1622901	DALd bushy left; DALd_l  2 (L1EM:1622901)	neuron	embryonic/larval nervous system	DAL candidate lineage, descending, Brain, DALcm, WB_DALd L, *DALd_l akira, brain downstream of A08s2_a2r, clb:todo, clb:soma, clb:joined, clb:todo_A08, DNs akira-2, LAL output, mw brain neurons, mw brain neurons + SU, DAld L, mw brain inventory, mw draft complete, mw left, mw axon split complete, LAL desc, #3T, AUTO ascending neurons at 1112 gap, AUTO extends beyond brain, AUTO multiple presynapses to brain, mw brain neurons + sensories, mw dVNC, LAL desc*, mw CX, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw brain ipsilateral, mw dSEZ feedback 3hop 7-Sept 2020, mw pre-RG feedback 3hop 7-Sept 2020, mw pre-dSEZ feedback 3hop 7-Sept 2020, mw brain matrix + A1, mw A1 neurons paired + accessory + dVNCs, mw ipsilateral axon, DALd core L, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, PK - DALd Descending, stable, nr Tel-like 10 downstream 3-hop, nr Tel-like 10 downstream-dVNCs 3-hop, mw brain reviewed <80%, sw:brain_paired:L, sw;brainpair;L, lv dVNC to T3+A1, mw noci 3rd_order, mw dVNC not to A1, mw interhemispheric integration 4-hop, sw;pairs;L, mw candidate hunch_head-move, downLAL, mw dVNC-feedback-1hop 2022-03-15, mw dVNC-feedback-2hop 2022-03-15, mw dVNC-feedback-3hop 2022-03-15, mw dVNC-feedback-4hop 2022-03-15, mw dVNC-feedback-5hop 2022-03-15, mw dVNC-efference-1hop 2022-03-15, mw dVNC-efference-3hop 2022-03-15, mw dVNC-efference-4hop 2022-03-15, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-feedback-3hop 2022-03-15, mw dSEZ-feedback-4hop 2022-03-15, mw dSEZ-feedback-5hop 2022-03-15, mw dSEZ-efference-2hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw cascade hubs_in, mw dVNC-feedback-casc-8hop 2022-03-15, mw dVNC-efference-casc-8hop 2022-03-15, mw dSEZ-feedback-casc-8hop 2022-03-15, mw dSEZ-efference-casc-8hop 2022-03-15, mw dVNC-efference-casc-5hop 2022-03-15, mw dSEZ-efference-casc-5hop 2022-03-15, mw FBN-cluster 81_level-7_clusterID-132_walksort-0.868, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 1_level-1_clusterID-1_signal-flow_-0.067, 3_level-2_clusterID-3_signal-flow_-0.600, 7_level-3_clusterID-8_signal-flow_-1.017, 15_level-4_clusterID-17_signal-flow_-1.114, 31_level-5_clusterID-35_signal-flow_-1.369, 56_level-6_clusterID-71_signal-flow_-1.328, 87_level-7_clusterID-128_signal-flow_-1.325, mw cascade-5-hop integrative 2022-11-03, mw cascade-8-hop integrative 2022-11-03, ND_published, ND_all published et al, ctd DN-VNCs, ct DN-VNCs	catmaid_l1em:1622901	nan
1646076	MB2IN-157 (L1EM:1646076)	neuron	embryonic/larval nervous system	WB_DALd L, *DALd_l akira, brain downstream of A08s2_a2r, clb:todo, clb:joined, clb:soma, clb:important, Pre-MBE4h-39, Pre-MBINs akira final, MB2IN-157, clb:todo_A08, LEFT, Rest of MB2INs akira, Other MB2INs akira, MB_FB_CN_all_akira, MB2INs_akira, MB_FB_all_akira, Other_MB2INs_for_fraction_akira, mw brain neurons, mw brain neurons + SU, DAld L, mw brain inventory, mw draft complete, mw left, mw axon split complete, UNI, mw brain neurons split, #1T, mw current paired, mw colored-matrix-2019-09-12, mw brain neurons + sensories, mw brain crosses commissure, UNI*, mw brain matrix, mw brain unpublished <80% reviewed 2020-04-24, mw brain contralateral, mw dSEZ feedback 3hop 7-Sept 2020, mw pre-RG feedback 3hop 7-Sept 2020, mw pre-dSEZ feedback 3hop 7-Sept 2020, mw dSEZ feedback 3hop 16-Sept 2020, mw brain matrix + A1, mw dVNC important 1st-order upstream, mw pre-dVNC 1%, mw bilateral axon, mw ipsilateral dendrite, mw brain matrix and A1, mw brain paper all neurons, mw test matrices, mw 1961182 ds contralateral partners, stable, mw 4966994 upstream partners, nr Tel-like 10 downstream 3-hop, mw brain reviewed <80%, sw:brain_paired:L, sw;brainpair;L, mw interhemispheric integration 4-hop, mw noci 4th_order, mw proprio 4th_order, mw gustatory-pharyngeal 4th_order, mw mechano-Ch 4th_order, mw mechano-II/III 4th_order, mw dSEZ-feedback-2hop 2022-03-15, sw;pairs;L, downFBPBs, downPB, mw dVNC-feedback-3hop 2022-03-15, mw dVNC-feedback-4hop 2022-03-15, mw dVNC-feedback-5hop 2022-03-15, mw dVNC-efference-3hop 2022-03-15, mw dVNC-efference-4hop 2022-03-15, mw dVNC-efference-5hop 2022-03-15, mw dSEZ-feedback-3hop 2022-03-15, mw dSEZ-feedback-4hop 2022-03-15, mw dSEZ-feedback-5hop 2022-03-15, mw dSEZ-efference-2hop 2022-03-15, mw dSEZ-efference-3hop 2022-03-15, mw dSEZ-efference-4hop 2022-03-15, mw dSEZ-efference-5hop 2022-03-15, mw cascade hubs_in, mw dVNC-feedback-casc-8hop 2022-03-15, mw dVNC-efference-casc-8hop 2022-03-15, mw dSEZ-feedback-casc-8hop 2022-03-15, mw dSEZ-efference-casc-8hop 2022-03-15, mw dVNC-efference-casc-5hop 2022-03-15, mw dSEZ-efference-casc-5hop 2022-03-15, mw brain and inputs, 0_level-0_clusterID-0_signal-flow_-0.011, 0_level-1_clusterID-2_signal-flow_0.063, 2_level-2_clusterID-6_signal-flow_-0.442, 6_level-3_clusterID-13_signal-flow_-0.614, 13_level-4_clusterID-27_signal-flow_-0.716, 27_level-5_clusterID-56_signal-flow_-0.695, 49_level-6_clusterID-102_signal-flow_-0.746, 74_level-7_clusterID-170_signal-flow_-0.721, mw cascade-5-hop integrative 2022-11-03, mw cascade-8-hop integrative 2022-11-03, ND_published, ND_all published et al, ctd pre-DN-VNCs, ct pre-DN-VNCs	catmaid_l1em:1646076	DALd_l  3
