filename	label	is_a	part_of	comment	dbxrefs
601725	long tendon (FANC:601725)	neuron	female organism|adult ventral nerve cord	long tendon	catmaid_leg40:601725
601739	neuron 100355 (FANC:601739)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:601739
601754	neuron 141315 (FANC:601754)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103466, neuron 104290, femoral chordotonal neuron, attaches to FeCO lateral tendon	catmaid_leg40:601754
601775	neuron 100361 (FANC:601775)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:601775
601787	muscle 94219 (FANC:601787)	neuron	female organism|adult ventral nerve cord	femur muscle 3, tibia extensor muscle fiber, femoral muscle fiber	catmaid_leg40:601787
601803	neuron 82450 (FANC:601803)	neuron|prothoracic femoral campaniform sensillum Sc11	female organism|adult nervous system	FeCS11, femoral campaniform sensillum, sensory neuron	catmaid_leg40:601803
601821	neuron 100367 (FANC:601821)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:601821
601833	neuron 81936 (FANC:601833)	neuron|prothoracic trochanter campaniform sensillum Sc-8	female organism|adult nervous system	possible bilateral campaniform sensillum, main leg nerve, TrCS8, sensory neuron, trochanteral campaniform sensillum	catmaid_leg40:601833
601860	muscle 94226 (FANC:601860)	neuron	female organism|adult ventral nerve cord	femur muscle 3, tibia extensor muscle fiber, femoral muscle fiber	catmaid_leg40:601860
601873	neuron 100373 (FANC:601873)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:601873
601885	Neuron 112666 (FANC:601885)	neuron	female organism|adult nervous system	femoral motor neuron, long tendon muscle 2 motor neuron	catmaid_leg40:601885
601912	neuron 100379 (FANC:601912)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:601912
601924	muscle 94236 (FANC:601924)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:601924
601939	muscle 94242 (FANC:601939)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:601939
601952	neuron 100390 (FANC:601952)	neuron	female organism|adult nervous system	tibial bristle, sensory neuron	catmaid_leg40:601952
