filename	label	is_a	part_of	dbxrefs
289	neuron 290 (289)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:289
318	neuron 319 (318)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:318
322	neuron 323 (322)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:322
326	neuron 327 (326)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:326
330	neuron 331 (330)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:330
338	neuron 339 (338)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:338
342	neuron 343 (342)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:342
346	neuron 347 (346)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:346
358	neuron 359 (358)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:358
386	neuron 387 (386)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:386
418	neuron 419 (418)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:418
434	neuron 435 (434)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:434
451	neuron 452 (451)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:451
459	neuron 460 (459)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:459
463	neuron 464 (463)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:463
467	neuron 468 (467)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:467
471	neuron 472 (471)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:471
475	neuron 476 (475)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:475
479	neuron 480 (479)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:479
483	neuron 484 (483)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:483
487	neuron 488 (487)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:487
491	neuron 492 (491)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:491
495	neuron 496 (495)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:495
499	neuron 500 (499)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:499
503	neuron 504 (503)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:503
511	neuron 512 (511)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:511
515	neuron 516 (515)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:515
523	neuron 524 (523)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:523
531	neuron 532 (531)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:531
539	neuron 540 (539)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:539
543	neuron 544 (543)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:543
547	neuron 548 (547)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:547
556	neuron 557 (556)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:556
560	neuron 561 (560)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:560
