FBbt_ID	FBbt_label	times_added	times_removed
FBbt_00058205	adult cholinergic neuron	37343	0
FBbt_00058208	adult glutamatergic neuron	12142	0
FBbt_00047095	adult neuron	11054	216015
FBbt_00001446	larval neuron	10357	0
FBbt_00058207	adult GABAergic neuron	8069	0
FBbt_00058206	adult dopaminergic neuron	7802	0
FBbt_00048138	mushroom body dopaminergic neuron	7048	0
FBbt_00059289	adult VNC neuron	6604	0
FBbt_00006007	outer photoreceptor cell	2265	0
FBbt_00001985	mesothoracic neuron	1994	0
FBbt_00001984	prothoracic neuron	1801	0
FBbt_00001986	metathoracic neuron	1713	0
FBbt_00053287	central medulla intrinsic neuron	1389	0
FBbt_00110566	adult MBp4 lineage neuron	1335	0
FBbt_00050272	adult MBp1 lineage neuron	1300	0
FBbt_00110563	adult MBp3 lineage neuron	1284	0
FBbt_00001987	abdominal neuron	1262	0
FBbt_00110560	adult MBp2 lineage neuron	1259	0
FBbt_00049526	adult serotonergic neuron	1172	0
FBbt_00049828	adult gamma Kenyon cell	1040	0
FBbt_00003791	transmedullary neuron Tm3	1037	0
FBbt_00003730	T3 neuron	976	0
FBbt_00003729	T2a neuron	939	0
FBbt_00003725	lamina monopolar neuron L5	898	0
FBbt_00003720	lamina monopolar neuron L2	893	0
FBbt_00003727	columnar neuron T1	892	0
FBbt_00003744	centrifugal neuron C3	892	0
FBbt_00003721	lamina monopolar neuron L3	892	0
FBbt_00003719	lamina monopolar neuron L1	892	0
FBbt_00003722	lamina monopolar neuron L4	891	0
FBbt_00003789	transmedullary neuron Tm1	890	0
FBbt_00003779	medulla intrinsic neuron Mi4	889	0
FBbt_00003784	medulla intrinsic neuron Mi9	889	0
FBbt_00003797	transmedullary neuron Tm9	887	0
FBbt_00003776	medulla intrinsic neuron Mi1	885	0
FBbt_00003734	T4c neuron	883	0
FBbt_00003790	transmedullary neuron Tm2	883	0
FBbt_00003808	transmedullary neuron Tm20	876	0
FBbt_00003743	centrifugal neuron C2	874	0
FBbt_00003735	T4d neuron	860	0
FBbt_00003739	T5c neuron	858	0
FBbt_00003738	T5b neuron	852	0
FBbt_00003732	T4a neuron	849	0
FBbt_00003733	T4b neuron	846	0
FBbt_00003737	T5a neuron	838	0
FBbt_00003792	transmedullary neuron Tm4	833	0
FBbt_00003728	T2 neuron	822	0
FBbt_00003788	transmedullary neuron	819	0
FBbt_00110385	adult VPNd2 lineage neuron	815	0
FBbt_00003740	T5d neuron	808	0
FBbt_00003794	transmedullary neuron Tm6	770	0
FBbt_00003769	distal medullary amacrine neuron Dm2	726	0
FBbt_00049515	transmedullary Y neuron TmY18	694	0
FBbt_00003823	transmedullary Y neuron TmY5a	678	0
FBbt_00052303	distal medullary amacrine neuron Dm3a	601	0
FBbt_00050108	adult VPNd1 lineage neuron	594	0
FBbt_00058249	adult gustatory receptor neuron	589	2
FBbt_00050254	adult DM4 lineage neuron	588	0
FBbt_00111285	medulla intrinsic neuron Mi15	582	0
FBbt_00052304	distal medullary amacrine neuron Dm3b	571	0
FBbt_00013774	distal medullary amacrine neuron Dm8a	550	0
FBbt_00050102	adult DM3 lineage neuron	515	0
FBbt_00051228	adult medulla-tubercle neuron	505	0
FBbt_00003827	transmedullary Y neuron TmY9	496	0
FBbt_00003800	transmedullary neuron Tm12	494	0
FBbt_00059273	larval CNS neuron	493	0
FBbt_00003777	medulla intrinsic neuron Mi2	492	0
FBbt_00050123	adult DM2 lineage neuron	468	0
FBbt_00003831	transmedullary neuron Tm5Y	463	0
FBbt_00111283	medulla intrinsic neuron Mi13	453	0
FBbt_00003817	transmedullary Y neuron	449	0
FBbt_20007231	obsolete adult CB3816 neuron	426	0
FBbt_00051420	adult mechanosensory neuron	418	0
FBbt_00003820	transmedullary Y neuron TmY3	409	0
FBbt_20007267	obsolete adult CB3852 neuron	408	0
FBbt_00003770	distal medullary amacrine neuron Dm3	401	0
FBbt_00058244	adult sensory neuron	376	1
FBbt_00110074	transmedullary neuron Tm5c	374	0
FBbt_00050020	adult DM1 lineage neuron	373	0
FBbt_00003914	Y neuron Y3	322	0
FBbt_00110135	distal medullary amacrine neuron Dm10	311	0
FBbt_00110072	transmedullary neuron Tm5a	307	0
FBbt_00110388	adult VPNd3 lineage neuron	304	0
FBbt_02000006	photoreceptor cell R7 of pale ommatidium	297	0
FBbt_02000004	photoreceptor cell R8 of pale ommatidium	294	0
FBbt_00003821	transmedullary Y neuron TmY4	288	0
FBbt_00003882	lobula intrinsic neuron	287	0
FBbt_00050025	adult ALl1 lineage neuron	286	0
FBbt_20007266	adult transmedullary CB3851 neuron	283	0
FBbt_00067362	antennal lobe projection neuron of ALl1 lineage	281	0
FBbt_00049466	adult CREa1 lineage neuron	281	0
FBbt_00059276	adult PNS neuron	278	0
FBbt_00003828	transmedullary Y neuron TmY10	278	426
FBbt_00049916	transmedullary neuron Tm29	276	0
FBbt_00110403	adult VPNv1 lineage neuron	276	0
FBbt_20007274	transmedullary neuron Tm37	268	0
FBbt_00003870	lobula columnar neuron	268	31
FBbt_00049834	adult alpha'/beta' Kenyon cell	264	0
FBbt_00110073	transmedullary neuron Tm5b	262	408
FBbt_00110397	adult VPNp3 lineage neuron	257	0
FBbt_00067350	medial antennal lobe tract projection neuron	248	0
FBbt_02000005	photoreceptor cell R7 of yellow ommatidium	246	0
FBbt_02000003	photoreceptor cell R8 of yellow ommatidium	244	0
FBbt_00111276	distal medullary amacrine neuron Dm15	242	0
FBbt_00100484	lobula columnar neuron LC12	242	0
FBbt_00111286	transmedullary Y neuron TmY14	234	0
FBbt_00047736	visual system neuron	229	0
FBbt_00003910	lobula plate intrinsic neuron	225	0
FBbt_00003785	medulla intrinsic neuron Mi10	222	0
FBbt_00049826	larval Kenyon cell	218	0
FBbt_00003829	transmedullary Y neuron TmY11	211	0
FBbt_00007441	adult multiglomerular antennal lobe projection neuron	210	95
FBbt_00050275	adult CREa2 lineage neuron	207	0
FBbt_00003911	Y neuron	203	0
FBbt_00003775	medulla intrinsic columnar neuron	199	0
FBbt_00003804	transmedullary neuron Tm16	197	0
FBbt_00050186	adult DL1 lineage neuron	192	0
FBbt_00110065	lamina wide-field 2 neuron	188	0
