FBbt_id	FBbt_label	new_labels	count	existing_labels
FBbt:00001482	lineage NB3-2 primary interneuron	Cholinergic	4	
FBbt:00001483	lineage NB3-3 primary interneuron	GABAergic	6	
FBbt:00001483	lineage NB3-3 primary interneuron	Glutamatergic	1	
FBbt:00001483	lineage NB3-3 primary interneuron	Cholinergic	10	
FBbt:00001493	lineage NB4-2 primary interneuron	GABAergic	6	
FBbt:00001520	lineage NB7-1 primary interneuron	Glutamatergic	2	
FBbt:00001520	lineage NB7-1 primary interneuron	Cholinergic	6	
FBbt:00001523	lineage NB7-2 primary interneuron	GABAergic	2	
FBbt:00001546	lineage NB2-5 primary motor neuron	Glutamatergic	1	
FBbt:00001546	lineage NB2-5 primary motor neuron	Cholinergic	2	
FBbt:00003655	adult ellipsoid body extrinsic ring neuron ExR1	Octopaminergic	4	
FBbt:00003657	fan-shaped body tangential neuron	Glutamatergic	6	
FBbt:00003657	fan-shaped body tangential neuron	Dopaminergic	1	
FBbt:00003657	fan-shaped body tangential neuron	Serotonergic	3	
FBbt:00003718	lamina monopolar neuron	Cholinergic	1	
FBbt:00003718	lamina monopolar neuron	Glutamatergic	39	
FBbt:00003719	lamina monopolar neuron L1	GABAergic	4	Glutamatergic
FBbt:00003720	lamina monopolar neuron L2	Glutamatergic	2	Cholinergic
FBbt:00003721	lamina monopolar neuron L3	Cholinergic	220	GABAergic
FBbt:00003722	lamina monopolar neuron L4	Glutamatergic	5	Cholinergic|GABAergic
FBbt:00003725	lamina monopolar neuron L5	Glutamatergic	2	Cholinergic
FBbt:00003727	columnar neuron T1	Histaminergic	1	
FBbt:00003727	columnar neuron T1	Glutamatergic	1	
FBbt:00003727	columnar neuron T1	Cholinergic	8	
FBbt:00003727	columnar neuron T1	GABAergic	1	
FBbt:00003728	T2 neuron	Glutamatergic	1	Cholinergic|GABAergic
FBbt:00003729	T2a neuron	Glutamatergic	1	
FBbt:00003729	T2a neuron	Cholinergic	1486	
FBbt:00003730	T3 neuron	Serotonergic	1	GABAergic|Glutamatergic
FBbt:00003730	T3 neuron	Cholinergic	757	GABAergic|Glutamatergic
FBbt:00003730	T3 neuron	Histaminergic	1	GABAergic|Glutamatergic
FBbt:00003732	T4a neuron	Glutamatergic	1	Cholinergic
FBbt:00003734	T4c neuron	Glutamatergic	1	Cholinergic
FBbt:00003735	T4d neuron	GABAergic	1	Cholinergic
FBbt:00003737	T5a neuron	Glutamatergic	2	Cholinergic
FBbt:00003738	T5b neuron	Glutamatergic	2	Cholinergic
FBbt:00003738	T5b neuron	Serotonergic	1	Cholinergic
FBbt:00003739	T5c neuron	GABAergic	1	Cholinergic
