object	relation	subject_external_id	subject_external_db	pub
bilateral	has_characteristic	23005	catmaid_fafb	
bilateral	has_characteristic	27884	catmaid_fafb	
bilateral	has_characteristic	37513	catmaid_fafb	
bilateral	has_characteristic	45882	catmaid_fafb	
bilateral	has_characteristic	46105	catmaid_fafb	
bilateral	has_characteristic	57130	catmaid_fafb	
bilateral	has_characteristic	57236	catmaid_fafb	
bilateral	has_characteristic	57430	catmaid_fafb	
bilateral	has_characteristic	57434	catmaid_fafb	
bilateral	has_characteristic	57475	catmaid_fafb	
bilateral	has_characteristic	57487	catmaid_fafb	
bilateral	has_characteristic	57495	catmaid_fafb	
bilateral	has_characteristic	57499	catmaid_fafb	
bilateral	has_characteristic	57503	catmaid_fafb	
bilateral	has_characteristic	73937	catmaid_fafb	
bilateral	has_characteristic	192547	catmaid_fafb	
bilateral	has_characteristic	1664544	catmaid_fafb	
bilateral	has_characteristic	2070199	catmaid_fafb	
bilateral	has_characteristic	2484510	catmaid_fafb	
bilateral	has_characteristic	2600341	catmaid_fafb	
bilateral	has_characteristic	3648956	catmaid_fafb	
bilateral	has_characteristic	3742499	catmaid_fafb	
bilateral	has_characteristic	4869882	catmaid_fafb	
