object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	289	fanc1	
adult prothoracic leg nerve	fasciculates_with	289	fanc1	
peripheral nervous system	overlaps	289	fanc1	
adult ventral nerve cord	overlaps	289	fanc1	
left side of organism	overlaps	318	fanc1	
adult prothoracic leg nerve	fasciculates_with	318	fanc1	
peripheral nervous system	overlaps	318	fanc1	
adult ventral nerve cord	overlaps	318	fanc1	
left side of organism	overlaps	322	fanc1	
adult prothoracic leg nerve	fasciculates_with	322	fanc1	
peripheral nervous system	overlaps	322	fanc1	
adult ventral nerve cord	overlaps	322	fanc1	
left side of organism	overlaps	326	fanc1	
adult prothoracic leg nerve	fasciculates_with	326	fanc1	
peripheral nervous system	overlaps	326	fanc1	
adult ventral nerve cord	overlaps	326	fanc1	
left side of organism	overlaps	330	fanc1	
adult prothoracic leg nerve	fasciculates_with	330	fanc1	
peripheral nervous system	overlaps	330	fanc1	
adult ventral nerve cord	overlaps	330	fanc1	
left side of organism	overlaps	338	fanc1	
adult prothoracic leg nerve	fasciculates_with	338	fanc1	
peripheral nervous system	overlaps	338	fanc1	
adult ventral nerve cord	overlaps	338	fanc1	
left side of organism	overlaps	342	fanc1	
adult prothoracic leg nerve	fasciculates_with	342	fanc1	
peripheral nervous system	overlaps	342	fanc1	
adult ventral nerve cord	overlaps	342	fanc1	
left side of organism	overlaps	346	fanc1	
adult prothoracic leg nerve	fasciculates_with	346	fanc1	
peripheral nervous system	overlaps	346	fanc1	
adult ventral nerve cord	overlaps	346	fanc1	
left side of organism	overlaps	358	fanc1	
adult prothoracic leg nerve	fasciculates_with	358	fanc1	
peripheral nervous system	overlaps	358	fanc1	
adult ventral nerve cord	overlaps	358	fanc1	
left side of organism	overlaps	386	fanc1	
adult prothoracic leg nerve	fasciculates_with	386	fanc1	
peripheral nervous system	overlaps	386	fanc1	
adult ventral nerve cord	overlaps	386	fanc1	
left side of organism	overlaps	418	fanc1	
adult prothoracic leg nerve	fasciculates_with	418	fanc1	
peripheral nervous system	overlaps	418	fanc1	
adult ventral nerve cord	overlaps	418	fanc1	
left side of organism	overlaps	434	fanc1	
adult prothoracic leg nerve	fasciculates_with	434	fanc1	
peripheral nervous system	overlaps	434	fanc1	
adult ventral nerve cord	overlaps	434	fanc1	
left side of organism	overlaps	451	fanc1	
adult prothoracic leg nerve	fasciculates_with	451	fanc1	
peripheral nervous system	overlaps	451	fanc1	
adult ventral nerve cord	overlaps	451	fanc1	
left side of organism	overlaps	459	fanc1	
adult prothoracic leg nerve	fasciculates_with	459	fanc1	
peripheral nervous system	overlaps	459	fanc1	
adult ventral nerve cord	overlaps	459	fanc1	
left side of organism	has soma location	463	fanc1	
adult prothoracic leg nerve	fasciculates_with	463	fanc1	
peripheral nervous system	overlaps	463	fanc1	
adult ventral nerve cord	overlaps	463	fanc1	
left side of organism	has soma location	467	fanc1	
adult prothoracic leg nerve	fasciculates_with	467	fanc1	
peripheral nervous system	overlaps	467	fanc1	
adult ventral nerve cord	overlaps	467	fanc1	
left side of organism	has soma location	471	fanc1	
adult prothoracic leg nerve	fasciculates_with	471	fanc1	
peripheral nervous system	overlaps	471	fanc1	
adult ventral nerve cord	overlaps	471	fanc1	
left side of organism	has soma location	475	fanc1	
adult prothoracic leg nerve	fasciculates_with	475	fanc1	
peripheral nervous system	overlaps	475	fanc1	
adult ventral nerve cord	overlaps	475	fanc1	
left side of organism	has soma location	479	fanc1	
adult prothoracic leg nerve	fasciculates_with	479	fanc1	
peripheral nervous system	overlaps	479	fanc1	
adult ventral nerve cord	overlaps	479	fanc1	
left side of organism	has soma location	483	fanc1	
adult prothoracic leg nerve	fasciculates_with	483	fanc1	
peripheral nervous system	overlaps	483	fanc1	
adult ventral nerve cord	overlaps	483	fanc1	
left side of organism	has soma location	487	fanc1	
adult prothoracic leg nerve	fasciculates_with	487	fanc1	
peripheral nervous system	overlaps	487	fanc1	
adult ventral nerve cord	overlaps	487	fanc1	
left side of organism	has soma location	491	fanc1	
adult prothoracic leg nerve	fasciculates_with	491	fanc1	
peripheral nervous system	overlaps	491	fanc1	
adult ventral nerve cord	overlaps	491	fanc1	
left side of organism	overlaps	495	fanc1	
adult prothoracic leg nerve	fasciculates_with	495	fanc1	
peripheral nervous system	overlaps	495	fanc1	
adult ventral nerve cord	overlaps	495	fanc1	
left side of organism	overlaps	499	fanc1	
adult prothoracic leg nerve	fasciculates_with	499	fanc1	
peripheral nervous system	overlaps	499	fanc1	
adult ventral nerve cord	overlaps	499	fanc1	
left side of organism	overlaps	503	fanc1	
adult prothoracic leg nerve	fasciculates_with	503	fanc1	
peripheral nervous system	overlaps	503	fanc1	
adult ventral nerve cord	overlaps	503	fanc1	
left side of organism	overlaps	511	fanc1	
adult prothoracic leg nerve	fasciculates_with	511	fanc1	
peripheral nervous system	overlaps	511	fanc1	
adult ventral nerve cord	overlaps	511	fanc1	
left side of organism	overlaps	515	fanc1	
adult prothoracic leg nerve	fasciculates_with	515	fanc1	
peripheral nervous system	overlaps	515	fanc1	
adult ventral nerve cord	overlaps	515	fanc1	
left side of organism	overlaps	523	fanc1	
adult prothoracic leg nerve	fasciculates_with	523	fanc1	
peripheral nervous system	overlaps	523	fanc1	
adult ventral nerve cord	overlaps	523	fanc1	
left side of organism	overlaps	531	fanc1	
adult prothoracic leg nerve	fasciculates_with	531	fanc1	
peripheral nervous system	overlaps	531	fanc1	
adult ventral nerve cord	overlaps	531	fanc1	
left side of organism	overlaps	539	fanc1	
adult prothoracic leg nerve	fasciculates_with	539	fanc1	
