object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	289	catmaid_fanc	
peripheral nervous system	overlaps	289	catmaid_fanc	
adult ventral nerve cord	overlaps	289	catmaid_fanc	
left side of organism	overlaps	318	catmaid_fanc	
peripheral nervous system	overlaps	318	catmaid_fanc	
adult ventral nerve cord	overlaps	318	catmaid_fanc	
left side of organism	overlaps	322	catmaid_fanc	
peripheral nervous system	overlaps	322	catmaid_fanc	
adult ventral nerve cord	overlaps	322	catmaid_fanc	
left side of organism	overlaps	326	catmaid_fanc	
peripheral nervous system	overlaps	326	catmaid_fanc	
adult ventral nerve cord	overlaps	326	catmaid_fanc	
left side of organism	overlaps	330	catmaid_fanc	
peripheral nervous system	overlaps	330	catmaid_fanc	
adult ventral nerve cord	overlaps	330	catmaid_fanc	
left side of organism	overlaps	338	catmaid_fanc	
peripheral nervous system	overlaps	338	catmaid_fanc	
adult ventral nerve cord	overlaps	338	catmaid_fanc	
left side of organism	overlaps	342	catmaid_fanc	
peripheral nervous system	overlaps	342	catmaid_fanc	
adult ventral nerve cord	overlaps	342	catmaid_fanc	
left side of organism	overlaps	346	catmaid_fanc	
peripheral nervous system	overlaps	346	catmaid_fanc	
adult ventral nerve cord	overlaps	346	catmaid_fanc	
left side of organism	overlaps	358	catmaid_fanc	
peripheral nervous system	overlaps	358	catmaid_fanc	
adult ventral nerve cord	overlaps	358	catmaid_fanc	
left side of organism	overlaps	386	catmaid_fanc	
peripheral nervous system	overlaps	386	catmaid_fanc	
adult ventral nerve cord	overlaps	386	catmaid_fanc	
left side of organism	overlaps	418	catmaid_fanc	
peripheral nervous system	overlaps	418	catmaid_fanc	
adult ventral nerve cord	overlaps	418	catmaid_fanc	
left side of organism	overlaps	434	catmaid_fanc	
peripheral nervous system	overlaps	434	catmaid_fanc	
adult ventral nerve cord	overlaps	434	catmaid_fanc	
left side of organism	overlaps	451	catmaid_fanc	
peripheral nervous system	overlaps	451	catmaid_fanc	
adult ventral nerve cord	overlaps	451	catmaid_fanc	
left side of organism	overlaps	459	catmaid_fanc	
peripheral nervous system	overlaps	459	catmaid_fanc	
adult ventral nerve cord	overlaps	459	catmaid_fanc	
left side of organism	has soma location	463	catmaid_fanc	
peripheral nervous system	overlaps	463	catmaid_fanc	
adult ventral nerve cord	overlaps	463	catmaid_fanc	
left side of organism	has soma location	467	catmaid_fanc	
peripheral nervous system	overlaps	467	catmaid_fanc	
adult ventral nerve cord	overlaps	467	catmaid_fanc	
left side of organism	has soma location	471	catmaid_fanc	
peripheral nervous system	overlaps	471	catmaid_fanc	
adult ventral nerve cord	overlaps	471	catmaid_fanc	
left side of organism	has soma location	475	catmaid_fanc	
peripheral nervous system	overlaps	475	catmaid_fanc	
adult ventral nerve cord	overlaps	475	catmaid_fanc	
left side of organism	has soma location	479	catmaid_fanc	
peripheral nervous system	overlaps	479	catmaid_fanc	
adult ventral nerve cord	overlaps	479	catmaid_fanc	
left side of organism	has soma location	483	catmaid_fanc	
peripheral nervous system	overlaps	483	catmaid_fanc	
adult ventral nerve cord	overlaps	483	catmaid_fanc	
left side of organism	has soma location	487	catmaid_fanc	
peripheral nervous system	overlaps	487	catmaid_fanc	
adult ventral nerve cord	overlaps	487	catmaid_fanc	
left side of organism	has soma location	491	catmaid_fanc	
peripheral nervous system	overlaps	491	catmaid_fanc	
adult ventral nerve cord	overlaps	491	catmaid_fanc	
left side of organism	overlaps	495	catmaid_fanc	
peripheral nervous system	overlaps	495	catmaid_fanc	
adult ventral nerve cord	overlaps	495	catmaid_fanc	
left side of organism	overlaps	499	catmaid_fanc	
peripheral nervous system	overlaps	499	catmaid_fanc	
adult ventral nerve cord	overlaps	499	catmaid_fanc	
left side of organism	overlaps	503	catmaid_fanc	
peripheral nervous system	overlaps	503	catmaid_fanc	
adult ventral nerve cord	overlaps	503	catmaid_fanc	
left side of organism	overlaps	511	catmaid_fanc	
peripheral nervous system	overlaps	511	catmaid_fanc	
adult ventral nerve cord	overlaps	511	catmaid_fanc	
left side of organism	overlaps	515	catmaid_fanc	
peripheral nervous system	overlaps	515	catmaid_fanc	
adult ventral nerve cord	overlaps	515	catmaid_fanc	
left side of organism	overlaps	523	catmaid_fanc	
peripheral nervous system	overlaps	523	catmaid_fanc	
adult ventral nerve cord	overlaps	523	catmaid_fanc	
left side of organism	overlaps	531	catmaid_fanc	
peripheral nervous system	overlaps	531	catmaid_fanc	
adult ventral nerve cord	overlaps	531	catmaid_fanc	
left side of organism	overlaps	539	catmaid_fanc	
peripheral nervous system	overlaps	539	catmaid_fanc	
adult ventral nerve cord	overlaps	539	catmaid_fanc	
left side of organism	overlaps	543	catmaid_fanc	
peripheral nervous system	overlaps	543	catmaid_fanc	
adult ventral nerve cord	overlaps	543	catmaid_fanc	
left side of organism	overlaps	547	catmaid_fanc	
peripheral nervous system	overlaps	547	catmaid_fanc	
adult ventral nerve cord	overlaps	547	catmaid_fanc	
left side of organism	overlaps	556	catmaid_fanc	
peripheral nervous system	overlaps	556	catmaid_fanc	
adult ventral nerve cord	overlaps	556	catmaid_fanc	
left side of organism	overlaps	560	catmaid_fanc	
peripheral nervous system	overlaps	560	catmaid_fanc	
adult ventral nerve cord	overlaps	560	catmaid_fanc	
left side of organism	overlaps	568	catmaid_fanc	
peripheral nervous system	overlaps	568	catmaid_fanc	
adult ventral nerve cord	overlaps	568	catmaid_fanc	
left side of organism	overlaps	572	catmaid_fanc	
peripheral nervous system	overlaps	572	catmaid_fanc	
adult ventral nerve cord	overlaps	572	catmaid_fanc	
left side of organism	has soma location	580	catmaid_fanc	
peripheral nervous system	overlaps	580	catmaid_fanc	
adult ventral nerve cord	overlaps	580	catmaid_fanc	
left side of organism	overlaps	584	catmaid_fanc	
peripheral nervous system	overlaps	584	catmaid_fanc	
adult ventral nerve cord	overlaps	584	catmaid_fanc	
right side of organism	has soma location	2179	catmaid_fanc	
peripheral nervous system	overlaps	2179	catmaid_fanc	
adult ventral nerve cord	overlaps	2179	catmaid_fanc	
right side of organism	has soma location	2211	catmaid_fanc	
adult ventral prothoracic nerve	fasciculates_with	2211	catmaid_fanc	
peripheral nervous system	overlaps	2211	catmaid_fanc	
adult ventral nerve cord	overlaps	2211	catmaid_fanc	
right side of organism	has soma location	2215	catmaid_fanc	
peripheral nervous system	overlaps	2215	catmaid_fanc	
adult ventral nerve cord	overlaps	2215	catmaid_fanc	
right side of organism	has soma location	2219	catmaid_fanc	
