object	relation	subject_external_id	subject_external_db	pub
right side of organism	overlaps	4113612	catmaid_l1em	
left side of organism	overlaps	4213417	catmaid_l1em	
left side of organism	overlaps	4542433	catmaid_l1em	
right side of organism	overlaps	4727546	catmaid_l1em	
right side of organism	overlaps	5308485	catmaid_l1em	
right side of organism	overlaps	10004243	catmaid_l1em	
left side of organism	overlaps	10216846	catmaid_l1em	
left side of organism	overlaps	10219170	catmaid_l1em	
left side of organism	overlaps	10223572	catmaid_l1em	
right side of organism	overlaps	10499711	catmaid_l1em	
left side of organism	overlaps	10589761	catmaid_l1em	
left side of organism	overlaps	10728328	catmaid_l1em	
bilateral	has_characteristic	10728328	catmaid_l1em	
left side of organism	overlaps	10728333	catmaid_l1em	
bilateral	has_characteristic	10728333	catmaid_l1em	
right side of organism	overlaps	11541264	catmaid_l1em	
left side of organism	overlaps	12247555	catmaid_l1em	
right side of organism	overlaps	12247555	catmaid_l1em	
right side of organism	overlaps	13557064	catmaid_l1em	
bilateral	has_characteristic	13557064	catmaid_l1em	
left side of organism	overlaps	15695112	catmaid_l1em	
right side of organism	overlaps	15696654	catmaid_l1em	
right side of organism	overlaps	15700463	catmaid_l1em	
left side of organism	overlaps	15756646	catmaid_l1em	
right side of organism	overlaps	16002926	catmaid_l1em	
right side of organism	overlaps	17350421	catmaid_l1em	
peripheral nervous system	overlaps	17350421	catmaid_l1em	
adult ventral nerve cord	overlaps	17350421	catmaid_l1em	
right side of organism	overlaps	18464581	catmaid_l1em	
bilateral	has_characteristic	18464581	catmaid_l1em	
