object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	29	catmaid_l1em	
right side of organism	overlaps	29	catmaid_l1em	
left side of organism	overlaps	677717	catmaid_l1em	
right side of organism	overlaps	677717	catmaid_l1em	
left side of organism	overlaps	1678567	catmaid_l1em	
left side of organism	overlaps	2369444	catmaid_l1em	
right side of organism	overlaps	2369444	catmaid_l1em	
bilateral	has_characteristic	2369444	catmaid_l1em	
right side of organism	overlaps	2426397	catmaid_l1em	
left side of organism	overlaps	2439067	catmaid_l1em	
right side of organism	overlaps	2439067	catmaid_l1em	
bilateral	has_characteristic	2439067	catmaid_l1em	
left side of organism	overlaps	2506050	catmaid_l1em	
right side of organism	overlaps	2506050	catmaid_l1em	
bilateral	has_characteristic	2506050	catmaid_l1em	
bilateral	has_characteristic	2628785	catmaid_l1em	
right side of organism	overlaps	2650887	catmaid_l1em	
bilateral	has_characteristic	2650887	catmaid_l1em	
left side of organism	overlaps	2966602	catmaid_l1em	
right side of organism	overlaps	2966602	catmaid_l1em	
bilateral	has_characteristic	2966602	catmaid_l1em	
right side of organism	overlaps	3027876	catmaid_l1em	
left side of organism	overlaps	3157405	catmaid_l1em	
right side of organism	overlaps	3157405	catmaid_l1em	
left side of organism	overlaps	3299214	catmaid_l1em	
right side of organism	overlaps	3299214	catmaid_l1em	
bilateral	has_characteristic	3299214	catmaid_l1em	
left side of organism	overlaps	3347708	catmaid_l1em	
right side of organism	overlaps	3347708	catmaid_l1em	
left side of organism	overlaps	3347834	catmaid_l1em	
right side of organism	overlaps	3347834	catmaid_l1em	
left side of organism	overlaps	3486381	catmaid_l1em	
left side of organism	overlaps	3497901	catmaid_l1em	
right side of organism	overlaps	3497901	catmaid_l1em	
left side of organism	overlaps	3522293	catmaid_l1em	
right side of organism	overlaps	3522293	catmaid_l1em	
left side of organism	overlaps	3565102	catmaid_l1em	
right side of organism	overlaps	3565102	catmaid_l1em	
left side of organism	overlaps	3587612	catmaid_l1em	
right side of organism	overlaps	3587612	catmaid_l1em	
left side of organism	overlaps	3605630	catmaid_l1em	
right side of organism	overlaps	3605630	catmaid_l1em	
left side of organism	overlaps	3664102	catmaid_l1em	
right side of organism	overlaps	3664102	catmaid_l1em	
left side of organism	overlaps	3679411	catmaid_l1em	
right side of organism	overlaps	3679411	catmaid_l1em	
left side of organism	overlaps	3813487	catmaid_l1em	
right side of organism	overlaps	3813487	catmaid_l1em	
bilateral	has_characteristic	3813487	catmaid_l1em	
right side of organism	overlaps	3814853	catmaid_l1em	
bilateral	has_characteristic	3814853	catmaid_l1em	
left side of organism	overlaps	3819157	catmaid_l1em	
right side of organism	overlaps	3819157	catmaid_l1em	
left side of organism	overlaps	3819171	catmaid_l1em	
right side of organism	overlaps	3819171	catmaid_l1em	
left side of organism	overlaps	3855754	catmaid_l1em	
right side of organism	overlaps	3855754	catmaid_l1em	
left side of organism	overlaps	3886356	catmaid_l1em	
right side of organism	overlaps	3886356	catmaid_l1em	
bilateral	has_characteristic	3886356	catmaid_l1em	
left side of organism	overlaps	3890028	catmaid_l1em	
right side of organism	overlaps	3890028	catmaid_l1em	
bilateral	has_characteristic	3890028	catmaid_l1em	
left side of organism	overlaps	3913620	catmaid_l1em	
right side of organism	overlaps	3913620	catmaid_l1em	
left side of organism	overlaps	3913629	catmaid_l1em	
right side of organism	overlaps	3913629	catmaid_l1em	
left side of organism	overlaps	3979181	catmaid_l1em	
right side of organism	overlaps	4022539	catmaid_l1em	
right side of organism	overlaps	4067286	catmaid_l1em	
bilateral	has_characteristic	4067286	catmaid_l1em	
left side of organism	overlaps	4117305	catmaid_l1em	
right side of organism	overlaps	4117305	catmaid_l1em	
left side of organism	overlaps	4134539	catmaid_l1em	
right side of organism	overlaps	4134539	catmaid_l1em	
right side of organism	overlaps	4144377	catmaid_l1em	
right side of organism	overlaps	4180774	catmaid_l1em	
right side of organism	overlaps	4188325	catmaid_l1em	
right side of organism	overlaps	4190567	catmaid_l1em	
bilateral	has_characteristic	4190567	catmaid_l1em	
right side of organism	overlaps	4195012	catmaid_l1em	
bilateral	has_characteristic	4195012	catmaid_l1em	
right side of organism	overlaps	4199033	catmaid_l1em	
bilateral	has_characteristic	4199033	catmaid_l1em	
right side of organism	overlaps	4214582	catmaid_l1em	
peripheral nervous system	overlaps	4214582	catmaid_l1em	
adult ventral nerve cord	overlaps	4214582	catmaid_l1em	
bilateral	has_characteristic	4214582	catmaid_l1em	
left side of organism	overlaps	4227304	catmaid_l1em	
right side of organism	overlaps	4227304	catmaid_l1em	
left side of organism	overlaps	4227544	catmaid_l1em	
right side of organism	overlaps	4227544	catmaid_l1em	
right side of organism	overlaps	4227831	catmaid_l1em	
bilateral	has_characteristic	4227831	catmaid_l1em	
right side of organism	overlaps	4227880	catmaid_l1em	
right side of organism	overlaps	4228105	catmaid_l1em	
right side of organism	overlaps	4228119	catmaid_l1em	
bilateral	has_characteristic	4228119	catmaid_l1em	
left side of organism	overlaps	4229950	catmaid_l1em	
right side of organism	overlaps	4229950	catmaid_l1em	
left side of organism	overlaps	4230061	catmaid_l1em	
right side of organism	overlaps	4230061	catmaid_l1em	
left side of organism	overlaps	4230739	catmaid_l1em	
right side of organism	overlaps	4230739	catmaid_l1em	
left side of organism	overlaps	4230749	catmaid_l1em	
right side of organism	overlaps	4230749	catmaid_l1em	
bilateral	has_characteristic	4230749	catmaid_l1em	
right side of organism	overlaps	4234009	catmaid_l1em	
bilateral	has_characteristic	4234009	catmaid_l1em	
right side of organism	overlaps	4234559	catmaid_l1em	
right side of organism	overlaps	4235139	catmaid_l1em	
left side of organism	overlaps	4241192	catmaid_l1em	
right side of organism	overlaps	4241192	catmaid_l1em	
right side of organism	overlaps	4241237	catmaid_l1em	
bilateral	has_characteristic	4241237	catmaid_l1em	
left side of organism	overlaps	4274518	catmaid_l1em	
left side of organism	overlaps	4284106	catmaid_l1em	
left side of organism	overlaps	4311586	catmaid_l1em	
right side of organism	overlaps	4311586	catmaid_l1em	
bilateral	has_characteristic	4311586	catmaid_l1em	
right side of organism	overlaps	4346154	catmaid_l1em	
left side of organism	overlaps	4364826	catmaid_l1em	
bilateral	has_characteristic	4364826	catmaid_l1em	
left side of organism	overlaps	4381129	catmaid_l1em	
right side of organism	overlaps	4381129	catmaid_l1em	
left side of organism	overlaps	4381377	catmaid_l1em	
