object	relation	subject_external_id	subject_external_db	pub
right side of organism	overlaps	4113612	catmaid_l1em	
left side of organism	overlaps	4213417	catmaid_l1em	
left side of organism	overlaps	4990880	catmaid_l1em	
right side of organism	overlaps	5351821	catmaid_l1em	
left side of organism	overlaps	5458046	catmaid_l1em	
right side of organism	overlaps	6811349	catmaid_l1em	
right side of organism	overlaps	7019050	catmaid_l1em	
left side of organism	overlaps	7783764	catmaid_l1em	
peripheral nervous system	overlaps	7783764	catmaid_l1em	
adult ventral nerve cord	overlaps	7783764	catmaid_l1em	
left side of organism	overlaps	7808341	catmaid_l1em	
left side of organism	overlaps	7924478	catmaid_l1em	
right side of organism	overlaps	8039617	catmaid_l1em	
left side of organism	overlaps	8059283	catmaid_l1em	
right side of organism	overlaps	8257688	catmaid_l1em	
left side of organism	overlaps	8421329	catmaid_l1em	
left side of organism	overlaps	9544992	catmaid_l1em	
left side of organism	overlaps	9976875	catmaid_l1em	
right side of organism	overlaps	10004243	catmaid_l1em	
right side of organism	overlaps	10017073	catmaid_l1em	
right side of organism	overlaps	10053304	catmaid_l1em	
larval antennal-pharyngeal nerve motor neuron	fasciculates_with	10053304	catmaid_l1em	
right side of organism	overlaps	10053734	catmaid_l1em	
peripheral nervous system	overlaps	10053734	catmaid_l1em	
adult ventral nerve cord	overlaps	10053734	catmaid_l1em	
left side of organism	overlaps	10089193	catmaid_l1em	
left side of organism	overlaps	10089252	catmaid_l1em	
right side of organism	overlaps	10089445	catmaid_l1em	
right side of organism	overlaps	10133525	catmaid_l1em	
left side of organism	overlaps	10223572	catmaid_l1em	
right side of organism	overlaps	10227539	catmaid_l1em	
right side of organism	overlaps	10376512	catmaid_l1em	
right side of organism	overlaps	10398171	catmaid_l1em	
left side of organism	overlaps	10414725	catmaid_l1em	
right side of organism	overlaps	10474991	catmaid_l1em	
right side of organism	overlaps	10492059	catmaid_l1em	
left side of organism	overlaps	10492185	catmaid_l1em	
peripheral nervous system	overlaps	10492185	catmaid_l1em	
adult ventral nerve cord	overlaps	10492185	catmaid_l1em	
right side of organism	overlaps	10492631	catmaid_l1em	
left side of organism	overlaps	12140925	catmaid_l1em	
left side of organism	overlaps	12643185	catmaid_l1em	
left side of organism	overlaps	12778086	catmaid_l1em	
right side of organism	overlaps	12787696	catmaid_l1em	
left side of organism	overlaps	12809152	catmaid_l1em	
left side of organism	overlaps	12809874	catmaid_l1em	
left side of organism	overlaps	12820085	catmaid_l1em	
right side of organism	overlaps	12834795	catmaid_l1em	
right side of organism	overlaps	12873722	catmaid_l1em	
left side of organism	overlaps	12873914	catmaid_l1em	
left side of organism	overlaps	12900705	catmaid_l1em	
left side of organism	overlaps	12901480	catmaid_l1em	
right side of organism	overlaps	12946254	catmaid_l1em	
left side of organism	overlaps	12949240	catmaid_l1em	
left side of organism	overlaps	13095126	catmaid_l1em	
right side of organism	overlaps	13121967	catmaid_l1em	
right side of organism	overlaps	13122056	catmaid_l1em	
right side of organism	overlaps	13124815	catmaid_l1em	
peripheral nervous system	overlaps	13124815	catmaid_l1em	
adult ventral nerve cord	overlaps	13124815	catmaid_l1em	
left side of organism	overlaps	13302529	catmaid_l1em	
right side of organism	overlaps	13302529	catmaid_l1em	
left side of organism	overlaps	13522678	catmaid_l1em	
right side of organism	overlaps	13525684	catmaid_l1em	
left side of organism	overlaps	13545404	catmaid_l1em	
right side of organism	overlaps	14046245	catmaid_l1em	
left side of organism	overlaps	14046279	catmaid_l1em	
right side of organism	overlaps	14046294	catmaid_l1em	
left side of organism	overlaps	14046464	catmaid_l1em	
right side of organism	overlaps	14046472	catmaid_l1em	
left side of organism	overlaps	14913093	catmaid_l1em	
right side of organism	overlaps	14913093	catmaid_l1em	
left side of organism	overlaps	15504369	catmaid_l1em	
right side of organism	overlaps	15504376	catmaid_l1em	
right side of organism	overlaps	15565587	catmaid_l1em	
left side of organism	overlaps	16066985	catmaid_l1em	
right side of organism	overlaps	16257962	catmaid_l1em	
left side of organism	overlaps	16274373	catmaid_l1em	
right side of organism	overlaps	17077342	catmaid_l1em	
left side of organism	overlaps	17114293	catmaid_l1em	
left side of organism	overlaps	17435371	catmaid_l1em	
right side of organism	overlaps	17435371	catmaid_l1em	
left side of organism	overlaps	18418512	catmaid_l1em	
right side of organism	overlaps	18418512	catmaid_l1em	
