object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	159280	catmaid_l1em	
peripheral nervous system	overlaps	159280	catmaid_l1em	
adult ventral nerve cord	overlaps	159280	catmaid_l1em	
left side of organism	overlaps	162293	catmaid_l1em	
peripheral nervous system	overlaps	162293	catmaid_l1em	
adult ventral nerve cord	overlaps	162293	catmaid_l1em	
peripheral nervous system	overlaps	722935	catmaid_l1em	
adult ventral nerve cord	overlaps	722935	catmaid_l1em	
peripheral nervous system	overlaps	2777891	catmaid_l1em	
adult ventral nerve cord	overlaps	2777891	catmaid_l1em	
right side of organism	overlaps	4228864	catmaid_l1em	
right side of organism	overlaps	5690362	catmaid_l1em	
right side of organism	overlaps	6276557	catmaid_l1em	
peripheral nervous system	overlaps	6276557	catmaid_l1em	
adult ventral nerve cord	overlaps	6276557	catmaid_l1em	
left side of organism	overlaps	6535161	catmaid_l1em	
right side of organism	overlaps	7076835	catmaid_l1em	
peripheral nervous system	overlaps	7076835	catmaid_l1em	
adult ventral nerve cord	overlaps	7076835	catmaid_l1em	
right side of organism	overlaps	7577773	catmaid_l1em	
peripheral nervous system	overlaps	7577773	catmaid_l1em	
adult ventral nerve cord	overlaps	7577773	catmaid_l1em	
right side of organism	overlaps	7628068	catmaid_l1em	
peripheral nervous system	overlaps	7628068	catmaid_l1em	
adult ventral nerve cord	overlaps	7628068	catmaid_l1em	
right side of organism	overlaps	7636004	catmaid_l1em	
peripheral nervous system	overlaps	7636004	catmaid_l1em	
adult ventral nerve cord	overlaps	7636004	catmaid_l1em	
right side of organism	overlaps	7683669	catmaid_l1em	
right side of organism	overlaps	7686464	catmaid_l1em	
peripheral nervous system	overlaps	7686464	catmaid_l1em	
adult ventral nerve cord	overlaps	7686464	catmaid_l1em	
right side of organism	overlaps	7694722	catmaid_l1em	
peripheral nervous system	overlaps	7694722	catmaid_l1em	
adult ventral nerve cord	overlaps	7694722	catmaid_l1em	
right side of organism	overlaps	7732444	catmaid_l1em	
peripheral nervous system	overlaps	7732444	catmaid_l1em	
adult ventral nerve cord	overlaps	7732444	catmaid_l1em	
right side of organism	overlaps	7746883	catmaid_l1em	
peripheral nervous system	overlaps	7746883	catmaid_l1em	
adult ventral nerve cord	overlaps	7746883	catmaid_l1em	
left side of organism	overlaps	7763691	catmaid_l1em	
peripheral nervous system	overlaps	7763691	catmaid_l1em	
adult ventral nerve cord	overlaps	7763691	catmaid_l1em	
left side of organism	overlaps	7764785	catmaid_l1em	
peripheral nervous system	overlaps	7764785	catmaid_l1em	
adult ventral nerve cord	overlaps	7764785	catmaid_l1em	
left side of organism	overlaps	7782409	catmaid_l1em	
left side of organism	overlaps	7790597	catmaid_l1em	
right side of organism	overlaps	7790597	catmaid_l1em	
peripheral nervous system	overlaps	7790597	catmaid_l1em	
adult ventral nerve cord	overlaps	7790597	catmaid_l1em	
left side of organism	overlaps	7792781	catmaid_l1em	
peripheral nervous system	overlaps	7792781	catmaid_l1em	
adult ventral nerve cord	overlaps	7792781	catmaid_l1em	
left side of organism	overlaps	7796832	catmaid_l1em	
right side of organism	overlaps	7796832	catmaid_l1em	
peripheral nervous system	overlaps	7796832	catmaid_l1em	
adult ventral nerve cord	overlaps	7796832	catmaid_l1em	
left side of organism	overlaps	7801255	catmaid_l1em	
right side of organism	overlaps	7801255	catmaid_l1em	
peripheral nervous system	overlaps	7801255	catmaid_l1em	
adult ventral nerve cord	overlaps	7801255	catmaid_l1em	
left side of organism	overlaps	8031834	catmaid_l1em	
peripheral nervous system	overlaps	8031834	catmaid_l1em	
adult ventral nerve cord	overlaps	8031834	catmaid_l1em	
right side of organism	overlaps	9771412	catmaid_l1em	
peripheral nervous system	overlaps	9771412	catmaid_l1em	
adult ventral nerve cord	overlaps	9771412	catmaid_l1em	
left side of organism	overlaps	11024782	catmaid_l1em	
left side of organism	overlaps	14642308	catmaid_l1em	
peripheral nervous system	overlaps	14642308	catmaid_l1em	
adult ventral nerve cord	overlaps	14642308	catmaid_l1em	
left side of organism	overlaps	16311520	catmaid_l1em	
peripheral nervous system	overlaps	16311520	catmaid_l1em	
adult ventral nerve cord	overlaps	16311520	catmaid_l1em	
right side of organism	overlaps	16312925	catmaid_l1em	
peripheral nervous system	overlaps	16312925	catmaid_l1em	
adult ventral nerve cord	overlaps	16312925	catmaid_l1em	
