object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	918889	catmaid_l1em	
left side of organism	overlaps	3720037	catmaid_l1em	
peripheral nervous system	overlaps	3931434	catmaid_l1em	
adult ventral nerve cord	overlaps	3931434	catmaid_l1em	
peripheral nervous system	overlaps	3942269	catmaid_l1em	
adult ventral nerve cord	overlaps	3942269	catmaid_l1em	
left side of organism	overlaps	3952743	catmaid_l1em	
peripheral nervous system	overlaps	3952743	catmaid_l1em	
adult ventral nerve cord	overlaps	3952743	catmaid_l1em	
left side of organism	overlaps	4791651	catmaid_l1em	
peripheral nervous system	overlaps	4791651	catmaid_l1em	
adult ventral nerve cord	overlaps	4791651	catmaid_l1em	
right side of organism	overlaps	5206247	catmaid_l1em	
right side of organism	overlaps	5297998	catmaid_l1em	
left side of organism	overlaps	5904833	catmaid_l1em	
left side of organism	overlaps	13874213	catmaid_l1em	
peripheral nervous system	overlaps	13874213	catmaid_l1em	
adult ventral nerve cord	overlaps	13874213	catmaid_l1em	
right side of organism	overlaps	13875211	catmaid_l1em	
right side of organism	overlaps	13880943	catmaid_l1em	
peripheral nervous system	overlaps	13880943	catmaid_l1em	
adult ventral nerve cord	overlaps	13880943	catmaid_l1em	
left side of organism	overlaps	13885023	catmaid_l1em	
left side of organism	overlaps	14087107	catmaid_l1em	
right side of organism	overlaps	14087107	catmaid_l1em	
peripheral nervous system	overlaps	14087107	catmaid_l1em	
adult ventral nerve cord	overlaps	14087107	catmaid_l1em	
left side of organism	overlaps	14194234	catmaid_l1em	
right side of organism	overlaps	14194234	catmaid_l1em	
peripheral nervous system	overlaps	14194234	catmaid_l1em	
adult ventral nerve cord	overlaps	14194234	catmaid_l1em	
right side of organism	overlaps	14194703	catmaid_l1em	
peripheral nervous system	overlaps	14194703	catmaid_l1em	
adult ventral nerve cord	overlaps	14194703	catmaid_l1em	
right side of organism	overlaps	14472972	catmaid_l1em	
left side of organism	overlaps	15892037	catmaid_l1em	
right side of organism	overlaps	16100981	catmaid_l1em	
left side of organism	overlaps	16264802	catmaid_l1em	
right side of organism	overlaps	16264802	catmaid_l1em	
peripheral nervous system	overlaps	16264802	catmaid_l1em	
adult ventral nerve cord	overlaps	16264802	catmaid_l1em	
left side of organism	overlaps	16306343	catmaid_l1em	
peripheral nervous system	overlaps	16306343	catmaid_l1em	
adult ventral nerve cord	overlaps	16306343	catmaid_l1em	
left side of organism	overlaps	16418094	catmaid_l1em	
right side of organism	overlaps	18181776	catmaid_l1em	
larval segmental nerve branch SNa of A1-7	fasciculates_with	18181776	catmaid_l1em	
peripheral nervous system	overlaps	18181776	catmaid_l1em	
adult ventral nerve cord	overlaps	18181776	catmaid_l1em	
left side of organism	overlaps	18189977	catmaid_l1em	
left side of organism	overlaps	18339058	catmaid_l1em	
peripheral nervous system	overlaps	18339058	catmaid_l1em	
adult ventral nerve cord	overlaps	18339058	catmaid_l1em	
right side of organism	overlaps	18684928	catmaid_l1em	
left side of organism	overlaps	19111930	catmaid_l1em	
peripheral nervous system	overlaps	19111930	catmaid_l1em	
adult ventral nerve cord	overlaps	19111930	catmaid_l1em	
