object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	4028114	catmaid_l1em	
peripheral nervous system	overlaps	4028114	catmaid_l1em	
adult ventral nerve cord	overlaps	4028114	catmaid_l1em	
left side of organism	overlaps	4042315	catmaid_l1em	
peripheral nervous system	overlaps	4042315	catmaid_l1em	
adult ventral nerve cord	overlaps	4042315	catmaid_l1em	
left side of organism	overlaps	4071032	catmaid_l1em	
right side of organism	overlaps	4102728	catmaid_l1em	
peripheral nervous system	overlaps	4102728	catmaid_l1em	
adult ventral nerve cord	overlaps	4102728	catmaid_l1em	
left side of organism	overlaps	4113533	catmaid_l1em	
right side of organism	overlaps	4113612	catmaid_l1em	
right side of organism	overlaps	4121534	catmaid_l1em	
peripheral nervous system	overlaps	4121534	catmaid_l1em	
adult ventral nerve cord	overlaps	4121534	catmaid_l1em	
right side of organism	overlaps	4124563	catmaid_l1em	
left side of organism	overlaps	4289773	catmaid_l1em	
peripheral nervous system	overlaps	4289773	catmaid_l1em	
adult ventral nerve cord	overlaps	4289773	catmaid_l1em	
left side of organism	overlaps	4326468	catmaid_l1em	
peripheral nervous system	overlaps	4326468	catmaid_l1em	
adult ventral nerve cord	overlaps	4326468	catmaid_l1em	
right side of organism	overlaps	4535767	catmaid_l1em	
peripheral nervous system	overlaps	4535767	catmaid_l1em	
adult ventral nerve cord	overlaps	4535767	catmaid_l1em	
left side of organism	overlaps	4538738	catmaid_l1em	
right side of organism	overlaps	4543281	catmaid_l1em	
right side of organism	overlaps	4729046	catmaid_l1em	
right side of organism	overlaps	4881629	catmaid_l1em	
peripheral nervous system	overlaps	4881629	catmaid_l1em	
adult ventral nerve cord	overlaps	4881629	catmaid_l1em	
right side of organism	overlaps	4936149	catmaid_l1em	
right side of organism	overlaps	4978454	catmaid_l1em	
left side of organism	overlaps	5078760	catmaid_l1em	
left side of organism	overlaps	5084467	catmaid_l1em	
right side of organism	overlaps	5298032	catmaid_l1em	
left side of organism	overlaps	5309932	catmaid_l1em	
left side of organism	overlaps	5358138	catmaid_l1em	
left side of organism	overlaps	6467481	catmaid_l1em	
peripheral nervous system	overlaps	6467481	catmaid_l1em	
adult ventral nerve cord	overlaps	6467481	catmaid_l1em	
left side of organism	overlaps	7934159	catmaid_l1em	
left side of organism	overlaps	8688631	catmaid_l1em	
left side of organism	overlaps	10090269	catmaid_l1em	
right side of organism	overlaps	10855206	catmaid_l1em	
left side of organism	overlaps	12820277	catmaid_l1em	
right side of organism	overlaps	12953345	catmaid_l1em	
right side of organism	overlaps	13122056	catmaid_l1em	
left side of organism	overlaps	13258642	catmaid_l1em	
left side of organism	overlaps	14242929	catmaid_l1em	
right side of organism	overlaps	15290335	catmaid_l1em	
right side of organism	overlaps	16226512	catmaid_l1em	
right side of organism	overlaps	16713121	catmaid_l1em	
peripheral nervous system	overlaps	16713121	catmaid_l1em	
adult ventral nerve cord	overlaps	16713121	catmaid_l1em	
right side of organism	overlaps	17071666	catmaid_l1em	
