object	relation	subject_external_id	subject_external_db	pub
peripheral nervous system	overlaps	601739	catmaid_leg40	
adult ventral nerve cord	overlaps	601739	catmaid_leg40	
peripheral nervous system	overlaps	601754	catmaid_leg40	
adult ventral nerve cord	overlaps	601754	catmaid_leg40	
peripheral nervous system	overlaps	601775	catmaid_leg40	
adult ventral nerve cord	overlaps	601775	catmaid_leg40	
peripheral nervous system	overlaps	601803	catmaid_leg40	
adult ventral nerve cord	overlaps	601803	catmaid_leg40	
peripheral nervous system	overlaps	601821	catmaid_leg40	
adult ventral nerve cord	overlaps	601821	catmaid_leg40	
peripheral nervous system	overlaps	601833	catmaid_leg40	
adult ventral nerve cord	overlaps	601833	catmaid_leg40	
bilateral	has_characteristic	601833	catmaid_leg40	
peripheral nervous system	overlaps	601873	catmaid_leg40	
adult ventral nerve cord	overlaps	601873	catmaid_leg40	
peripheral nervous system	overlaps	601885	catmaid_leg40	
adult ventral nerve cord	overlaps	601885	catmaid_leg40	
peripheral nervous system	overlaps	601912	catmaid_leg40	
adult ventral nerve cord	overlaps	601912	catmaid_leg40	
peripheral nervous system	overlaps	601952	catmaid_leg40	
adult ventral nerve cord	overlaps	601952	catmaid_leg40	
peripheral nervous system	overlaps	601964	catmaid_leg40	
adult ventral nerve cord	overlaps	601964	catmaid_leg40	
peripheral nervous system	overlaps	601976	catmaid_leg40	
adult ventral nerve cord	overlaps	601976	catmaid_leg40	
peripheral nervous system	overlaps	601992	catmaid_leg40	
adult ventral nerve cord	overlaps	601992	catmaid_leg40	
peripheral nervous system	overlaps	602032	catmaid_leg40	
adult ventral nerve cord	overlaps	602032	catmaid_leg40	
peripheral nervous system	overlaps	602048	catmaid_leg40	
adult ventral nerve cord	overlaps	602048	catmaid_leg40	
peripheral nervous system	overlaps	602073	catmaid_leg40	
adult ventral nerve cord	overlaps	602073	catmaid_leg40	
peripheral nervous system	overlaps	602085	catmaid_leg40	
adult ventral nerve cord	overlaps	602085	catmaid_leg40	
peripheral nervous system	overlaps	602110	catmaid_leg40	
adult ventral nerve cord	overlaps	602110	catmaid_leg40	
peripheral nervous system	overlaps	602135	catmaid_leg40	
adult ventral nerve cord	overlaps	602135	catmaid_leg40	
peripheral nervous system	overlaps	602160	catmaid_leg40	
adult ventral nerve cord	overlaps	602160	catmaid_leg40	
peripheral nervous system	overlaps	602185	catmaid_leg40	
adult ventral nerve cord	overlaps	602185	catmaid_leg40	
peripheral nervous system	overlaps	602201	catmaid_leg40	
adult ventral nerve cord	overlaps	602201	catmaid_leg40	
peripheral nervous system	overlaps	602213	catmaid_leg40	
adult ventral nerve cord	overlaps	602213	catmaid_leg40	
peripheral nervous system	overlaps	602238	catmaid_leg40	
adult ventral nerve cord	overlaps	602238	catmaid_leg40	
peripheral nervous system	overlaps	602278	catmaid_leg40	
adult ventral nerve cord	overlaps	602278	catmaid_leg40	
peripheral nervous system	overlaps	602290	catmaid_leg40	
adult ventral nerve cord	overlaps	602290	catmaid_leg40	
peripheral nervous system	overlaps	602326	catmaid_leg40	
adult ventral nerve cord	overlaps	602326	catmaid_leg40	
peripheral nervous system	overlaps	602338	catmaid_leg40	
adult ventral nerve cord	overlaps	602338	catmaid_leg40	
peripheral nervous system	overlaps	602357	catmaid_leg40	
adult ventral nerve cord	overlaps	602357	catmaid_leg40	
peripheral nervous system	overlaps	602369	catmaid_leg40	
adult ventral nerve cord	overlaps	602369	catmaid_leg40	
peripheral nervous system	overlaps	602388	catmaid_leg40	
adult ventral nerve cord	overlaps	602388	catmaid_leg40	
peripheral nervous system	overlaps	602400	catmaid_leg40	
adult ventral nerve cord	overlaps	602400	catmaid_leg40	
peripheral nervous system	overlaps	602419	catmaid_leg40	
adult ventral nerve cord	overlaps	602419	catmaid_leg40	
peripheral nervous system	overlaps	602431	catmaid_leg40	
adult ventral nerve cord	overlaps	602431	catmaid_leg40	
peripheral nervous system	overlaps	602450	catmaid_leg40	
adult ventral nerve cord	overlaps	602450	catmaid_leg40	
peripheral nervous system	overlaps	602466	catmaid_leg40	
adult ventral nerve cord	overlaps	602466	catmaid_leg40	
peripheral nervous system	overlaps	602478	catmaid_leg40	
adult ventral nerve cord	overlaps	602478	catmaid_leg40	
peripheral nervous system	overlaps	602494	catmaid_leg40	
adult ventral nerve cord	overlaps	602494	catmaid_leg40	
peripheral nervous system	overlaps	602513	catmaid_leg40	
adult ventral nerve cord	overlaps	602513	catmaid_leg40	
larval abdominal 8 median nerve	fasciculates_with	602532	catmaid_leg40	
peripheral nervous system	overlaps	602532	catmaid_leg40	
adult ventral nerve cord	overlaps	602532	catmaid_leg40	
peripheral nervous system	overlaps	602551	catmaid_leg40	
adult ventral nerve cord	overlaps	602551	catmaid_leg40	
larval abdominal 8 median nerve	fasciculates_with	602569	catmaid_leg40	
peripheral nervous system	overlaps	602569	catmaid_leg40	
adult ventral nerve cord	overlaps	602569	catmaid_leg40	
peripheral nervous system	overlaps	602586	catmaid_leg40	
adult ventral nerve cord	overlaps	602586	catmaid_leg40	
larval abdominal 8 median nerve	fasciculates_with	602615	catmaid_leg40	
peripheral nervous system	overlaps	602615	catmaid_leg40	
adult ventral nerve cord	overlaps	602615	catmaid_leg40	
peripheral nervous system	overlaps	602658	catmaid_leg40	
adult ventral nerve cord	overlaps	602658	catmaid_leg40	
peripheral nervous system	overlaps	602692	catmaid_leg40	
adult ventral nerve cord	overlaps	602692	catmaid_leg40	
peripheral nervous system	overlaps	602710	catmaid_leg40	
adult ventral nerve cord	overlaps	602710	catmaid_leg40	
peripheral nervous system	overlaps	602729	catmaid_leg40	
adult ventral nerve cord	overlaps	602729	catmaid_leg40	
peripheral nervous system	overlaps	602765	catmaid_leg40	
adult ventral nerve cord	overlaps	602765	catmaid_leg40	
peripheral nervous system	overlaps	602797	catmaid_leg40	
adult ventral nerve cord	overlaps	602797	catmaid_leg40	
peripheral nervous system	overlaps	602810	catmaid_leg40	
adult ventral nerve cord	overlaps	602810	catmaid_leg40	
peripheral nervous system	overlaps	602827	catmaid_leg40	
adult ventral nerve cord	overlaps	602827	catmaid_leg40	
peripheral nervous system	overlaps	602839	catmaid_leg40	
adult ventral nerve cord	overlaps	602839	catmaid_leg40	
peripheral nervous system	overlaps	602851	catmaid_leg40	
adult ventral nerve cord	overlaps	602851	catmaid_leg40	
peripheral nervous system	overlaps	602870	catmaid_leg40	
adult ventral nerve cord	overlaps	602870	catmaid_leg40	
peripheral nervous system	overlaps	602884	catmaid_leg40	
adult ventral nerve cord	overlaps	602884	catmaid_leg40	
peripheral nervous system	overlaps	602898	catmaid_leg40	
adult ventral nerve cord	overlaps	602898	catmaid_leg40	
peripheral nervous system	overlaps	602911	catmaid_leg40	
adult ventral nerve cord	overlaps	602911	catmaid_leg40	
peripheral nervous system	overlaps	602924	catmaid_leg40	
adult ventral nerve cord	overlaps	602924	catmaid_leg40	
peripheral nervous system	overlaps	602937	catmaid_leg40	
adult ventral nerve cord	overlaps	602937	catmaid_leg40	
peripheral nervous system	overlaps	602949	catmaid_leg40	
adult ventral nerve cord	overlaps	602949	catmaid_leg40	
peripheral nervous system	overlaps	602962	catmaid_leg40	
adult ventral nerve cord	overlaps	602962	catmaid_leg40	
peripheral nervous system	overlaps	602974	catmaid_leg40	
adult ventral nerve cord	overlaps	602974	catmaid_leg40	
peripheral nervous system	overlaps	602986	catmaid_leg40	
adult ventral nerve cord	overlaps	602986	catmaid_leg40	
peripheral nervous system	overlaps	602998	catmaid_leg40	
adult ventral nerve cord	overlaps	602998	catmaid_leg40	
peripheral nervous system	overlaps	603014	catmaid_leg40	
adult ventral nerve cord	overlaps	603014	catmaid_leg40	
peripheral nervous system	overlaps	603032	catmaid_leg40	
adult ventral nerve cord	overlaps	603032	catmaid_leg40	
peripheral nervous system	overlaps	603049	catmaid_leg40	
adult ventral nerve cord	overlaps	603049	catmaid_leg40	
peripheral nervous system	overlaps	603068	catmaid_leg40	
adult ventral nerve cord	overlaps	603068	catmaid_leg40	
peripheral nervous system	overlaps	603080	catmaid_leg40	
adult ventral nerve cord	overlaps	603080	catmaid_leg40	
peripheral nervous system	overlaps	603093	catmaid_leg40	
adult ventral nerve cord	overlaps	603093	catmaid_leg40	
peripheral nervous system	overlaps	603105	catmaid_leg40	
adult ventral nerve cord	overlaps	603105	catmaid_leg40	
peripheral nervous system	overlaps	603122	catmaid_leg40	
adult ventral nerve cord	overlaps	603122	catmaid_leg40	
peripheral nervous system	overlaps	603134	catmaid_leg40	
adult ventral nerve cord	overlaps	603134	catmaid_leg40	
peripheral nervous system	overlaps	603152	catmaid_leg40	
adult ventral nerve cord	overlaps	603152	catmaid_leg40	
peripheral nervous system	overlaps	603164	catmaid_leg40	
adult ventral nerve cord	overlaps	603164	catmaid_leg40	
peripheral nervous system	overlaps	603177	catmaid_leg40	
adult ventral nerve cord	overlaps	603177	catmaid_leg40	
peripheral nervous system	overlaps	603196	catmaid_leg40	
adult ventral nerve cord	overlaps	603196	catmaid_leg40	
peripheral nervous system	overlaps	603208	catmaid_leg40	
adult ventral nerve cord	overlaps	603208	catmaid_leg40	
peripheral nervous system	overlaps	603225	catmaid_leg40	
adult ventral nerve cord	overlaps	603225	catmaid_leg40	
peripheral nervous system	overlaps	603242	catmaid_leg40	
adult ventral nerve cord	overlaps	603242	catmaid_leg40	
bilateral	has_characteristic	603242	catmaid_leg40	
peripheral nervous system	overlaps	603263	catmaid_leg40	
adult ventral nerve cord	overlaps	603263	catmaid_leg40	
peripheral nervous system	overlaps	603278	catmaid_leg40	
adult ventral nerve cord	overlaps	603278	catmaid_leg40	
peripheral nervous system	overlaps	603294	catmaid_leg40	
adult ventral nerve cord	overlaps	603294	catmaid_leg40	
peripheral nervous system	overlaps	603310	catmaid_leg40	
adult ventral nerve cord	overlaps	603310	catmaid_leg40	
peripheral nervous system	overlaps	603343	catmaid_leg40	
adult ventral nerve cord	overlaps	603343	catmaid_leg40	
peripheral nervous system	overlaps	603360	catmaid_leg40	
adult ventral nerve cord	overlaps	603360	catmaid_leg40	
peripheral nervous system	overlaps	603376	catmaid_leg40	
adult ventral nerve cord	overlaps	603376	catmaid_leg40	
peripheral nervous system	overlaps	603392	catmaid_leg40	
adult ventral nerve cord	overlaps	603392	catmaid_leg40	
peripheral nervous system	overlaps	603422	catmaid_leg40	
adult ventral nerve cord	overlaps	603422	catmaid_leg40	
peripheral nervous system	overlaps	603447	catmaid_leg40	
adult ventral nerve cord	overlaps	603447	catmaid_leg40	
peripheral nervous system	overlaps	603463	catmaid_leg40	
adult ventral nerve cord	overlaps	603463	catmaid_leg40	
peripheral nervous system	overlaps	603491	catmaid_leg40	
adult ventral nerve cord	overlaps	603491	catmaid_leg40	
peripheral nervous system	overlaps	603507	catmaid_leg40	
adult ventral nerve cord	overlaps	603507	catmaid_leg40	
peripheral nervous system	overlaps	603523	catmaid_leg40	
adult ventral nerve cord	overlaps	603523	catmaid_leg40	
peripheral nervous system	overlaps	603539	catmaid_leg40	
adult ventral nerve cord	overlaps	603539	catmaid_leg40	
peripheral nervous system	overlaps	603564	catmaid_leg40	
adult ventral nerve cord	overlaps	603564	catmaid_leg40	
peripheral nervous system	overlaps	603592	catmaid_leg40	
adult ventral nerve cord	overlaps	603592	catmaid_leg40	
peripheral nervous system	overlaps	603632	catmaid_leg40	
adult ventral nerve cord	overlaps	603632	catmaid_leg40	
peripheral nervous system	overlaps	603646	catmaid_leg40	
adult ventral nerve cord	overlaps	603646	catmaid_leg40	
peripheral nervous system	overlaps	603686	catmaid_leg40	
adult ventral nerve cord	overlaps	603686	catmaid_leg40	
peripheral nervous system	overlaps	603702	catmaid_leg40	
adult ventral nerve cord	overlaps	603702	catmaid_leg40	
peripheral nervous system	overlaps	603717	catmaid_leg40	
adult ventral nerve cord	overlaps	603717	catmaid_leg40	
peripheral nervous system	overlaps	603745	catmaid_leg40	
adult ventral nerve cord	overlaps	603745	catmaid_leg40	
peripheral nervous system	overlaps	603774	catmaid_leg40	
adult ventral nerve cord	overlaps	603774	catmaid_leg40	
peripheral nervous system	overlaps	603790	catmaid_leg40	
adult ventral nerve cord	overlaps	603790	catmaid_leg40	
peripheral nervous system	overlaps	603805	catmaid_leg40	
adult ventral nerve cord	overlaps	603805	catmaid_leg40	
peripheral nervous system	overlaps	603831	catmaid_leg40	
adult ventral nerve cord	overlaps	603831	catmaid_leg40	
peripheral nervous system	overlaps	603858	catmaid_leg40	
adult ventral nerve cord	overlaps	603858	catmaid_leg40	
peripheral nervous system	overlaps	603883	catmaid_leg40	
adult ventral nerve cord	overlaps	603883	catmaid_leg40	
peripheral nervous system	overlaps	603899	catmaid_leg40	
adult ventral nerve cord	overlaps	603899	catmaid_leg40	
peripheral nervous system	overlaps	603919	catmaid_leg40	
adult ventral nerve cord	overlaps	603919	catmaid_leg40	
peripheral nervous system	overlaps	603948	catmaid_leg40	
adult ventral nerve cord	overlaps	603948	catmaid_leg40	
peripheral nervous system	overlaps	603964	catmaid_leg40	
adult ventral nerve cord	overlaps	603964	catmaid_leg40	
peripheral nervous system	overlaps	604000	catmaid_leg40	
adult ventral nerve cord	overlaps	604000	catmaid_leg40	
peripheral nervous system	overlaps	604016	catmaid_leg40	
adult ventral nerve cord	overlaps	604016	catmaid_leg40	
peripheral nervous system	overlaps	604038	catmaid_leg40	
adult ventral nerve cord	overlaps	604038	catmaid_leg40	
peripheral nervous system	overlaps	604065	catmaid_leg40	
adult ventral nerve cord	overlaps	604065	catmaid_leg40	
peripheral nervous system	overlaps	604092	catmaid_leg40	
adult ventral nerve cord	overlaps	604092	catmaid_leg40	
peripheral nervous system	overlaps	604106	catmaid_leg40	
adult ventral nerve cord	overlaps	604106	catmaid_leg40	
peripheral nervous system	overlaps	604133	catmaid_leg40	
adult ventral nerve cord	overlaps	604133	catmaid_leg40	
peripheral nervous system	overlaps	604148	catmaid_leg40	
adult ventral nerve cord	overlaps	604148	catmaid_leg40	
peripheral nervous system	overlaps	604175	catmaid_leg40	
adult ventral nerve cord	overlaps	604175	catmaid_leg40	
peripheral nervous system	overlaps	604190	catmaid_leg40	
adult ventral nerve cord	overlaps	604190	catmaid_leg40	
peripheral nervous system	overlaps	604218	catmaid_leg40	
adult ventral nerve cord	overlaps	604218	catmaid_leg40	
peripheral nervous system	overlaps	604233	catmaid_leg40	
adult ventral nerve cord	overlaps	604233	catmaid_leg40	
peripheral nervous system	overlaps	604249	catmaid_leg40	
adult ventral nerve cord	overlaps	604249	catmaid_leg40	
peripheral nervous system	overlaps	604275	catmaid_leg40	
adult ventral nerve cord	overlaps	604275	catmaid_leg40	
peripheral nervous system	overlaps	604291	catmaid_leg40	
adult ventral nerve cord	overlaps	604291	catmaid_leg40	
peripheral nervous system	overlaps	604307	catmaid_leg40	
adult ventral nerve cord	overlaps	604307	catmaid_leg40	
peripheral nervous system	overlaps	604322	catmaid_leg40	
adult ventral nerve cord	overlaps	604322	catmaid_leg40	
peripheral nervous system	overlaps	604337	catmaid_leg40	
adult ventral nerve cord	overlaps	604337	catmaid_leg40	
peripheral nervous system	overlaps	604349	catmaid_leg40	
adult ventral nerve cord	overlaps	604349	catmaid_leg40	
peripheral nervous system	overlaps	604365	catmaid_leg40	
adult ventral nerve cord	overlaps	604365	catmaid_leg40	
peripheral nervous system	overlaps	604381	catmaid_leg40	
adult ventral nerve cord	overlaps	604381	catmaid_leg40	
peripheral nervous system	overlaps	604393	catmaid_leg40	
adult ventral nerve cord	overlaps	604393	catmaid_leg40	
peripheral nervous system	overlaps	604408	catmaid_leg40	
adult ventral nerve cord	overlaps	604408	catmaid_leg40	
peripheral nervous system	overlaps	604420	catmaid_leg40	
adult ventral nerve cord	overlaps	604420	catmaid_leg40	
peripheral nervous system	overlaps	604436	catmaid_leg40	
adult ventral nerve cord	overlaps	604436	catmaid_leg40	
peripheral nervous system	overlaps	604452	catmaid_leg40	
adult ventral nerve cord	overlaps	604452	catmaid_leg40	
peripheral nervous system	overlaps	604464	catmaid_leg40	
adult ventral nerve cord	overlaps	604464	catmaid_leg40	
peripheral nervous system	overlaps	604495	catmaid_leg40	
adult ventral nerve cord	overlaps	604495	catmaid_leg40	
peripheral nervous system	overlaps	604507	catmaid_leg40	
adult ventral nerve cord	overlaps	604507	catmaid_leg40	
peripheral nervous system	overlaps	604535	catmaid_leg40	
adult ventral nerve cord	overlaps	604535	catmaid_leg40	
peripheral nervous system	overlaps	604564	catmaid_leg40	
adult ventral nerve cord	overlaps	604564	catmaid_leg40	
peripheral nervous system	overlaps	604592	catmaid_leg40	
adult ventral nerve cord	overlaps	604592	catmaid_leg40	
peripheral nervous system	overlaps	604621	catmaid_leg40	
adult ventral nerve cord	overlaps	604621	catmaid_leg40	
peripheral nervous system	overlaps	604647	catmaid_leg40	
adult ventral nerve cord	overlaps	604647	catmaid_leg40	
peripheral nervous system	overlaps	604663	catmaid_leg40	
adult ventral nerve cord	overlaps	604663	catmaid_leg40	
peripheral nervous system	overlaps	604700	catmaid_leg40	
adult ventral nerve cord	overlaps	604700	catmaid_leg40	
peripheral nervous system	overlaps	604728	catmaid_leg40	
adult ventral nerve cord	overlaps	604728	catmaid_leg40	
peripheral nervous system	overlaps	604741	catmaid_leg40	
adult ventral nerve cord	overlaps	604741	catmaid_leg40	
peripheral nervous system	overlaps	604757	catmaid_leg40	
adult ventral nerve cord	overlaps	604757	catmaid_leg40	
peripheral nervous system	overlaps	604783	catmaid_leg40	
adult ventral nerve cord	overlaps	604783	catmaid_leg40	
peripheral nervous system	overlaps	604795	catmaid_leg40	
adult ventral nerve cord	overlaps	604795	catmaid_leg40	
peripheral nervous system	overlaps	604824	catmaid_leg40	
adult ventral nerve cord	overlaps	604824	catmaid_leg40	
peripheral nervous system	overlaps	604836	catmaid_leg40	
adult ventral nerve cord	overlaps	604836	catmaid_leg40	
peripheral nervous system	overlaps	604864	catmaid_leg40	
adult ventral nerve cord	overlaps	604864	catmaid_leg40	
peripheral nervous system	overlaps	604876	catmaid_leg40	
adult ventral nerve cord	overlaps	604876	catmaid_leg40	
peripheral nervous system	overlaps	604917	catmaid_leg40	
adult ventral nerve cord	overlaps	604917	catmaid_leg40	
peripheral nervous system	overlaps	604946	catmaid_leg40	
adult ventral nerve cord	overlaps	604946	catmaid_leg40	
peripheral nervous system	overlaps	604974	catmaid_leg40	
adult ventral nerve cord	overlaps	604974	catmaid_leg40	
peripheral nervous system	overlaps	605003	catmaid_leg40	
adult ventral nerve cord	overlaps	605003	catmaid_leg40	
peripheral nervous system	overlaps	605019	catmaid_leg40	
adult ventral nerve cord	overlaps	605019	catmaid_leg40	
peripheral nervous system	overlaps	605031	catmaid_leg40	
adult ventral nerve cord	overlaps	605031	catmaid_leg40	
peripheral nervous system	overlaps	605043	catmaid_leg40	
adult ventral nerve cord	overlaps	605043	catmaid_leg40	
peripheral nervous system	overlaps	605058	catmaid_leg40	
adult ventral nerve cord	overlaps	605058	catmaid_leg40	
peripheral nervous system	overlaps	605070	catmaid_leg40	
adult ventral nerve cord	overlaps	605070	catmaid_leg40	
peripheral nervous system	overlaps	605087	catmaid_leg40	
adult ventral nerve cord	overlaps	605087	catmaid_leg40	
peripheral nervous system	overlaps	605099	catmaid_leg40	
adult ventral nerve cord	overlaps	605099	catmaid_leg40	
peripheral nervous system	overlaps	605114	catmaid_leg40	
adult ventral nerve cord	overlaps	605114	catmaid_leg40	
peripheral nervous system	overlaps	605126	catmaid_leg40	
adult ventral nerve cord	overlaps	605126	catmaid_leg40	
peripheral nervous system	overlaps	605142	catmaid_leg40	
adult ventral nerve cord	overlaps	605142	catmaid_leg40	
peripheral nervous system	overlaps	605154	catmaid_leg40	
adult ventral nerve cord	overlaps	605154	catmaid_leg40	
peripheral nervous system	overlaps	605170	catmaid_leg40	
adult ventral nerve cord	overlaps	605170	catmaid_leg40	
peripheral nervous system	overlaps	605186	catmaid_leg40	
adult ventral nerve cord	overlaps	605186	catmaid_leg40	
peripheral nervous system	overlaps	605201	catmaid_leg40	
adult ventral nerve cord	overlaps	605201	catmaid_leg40	
peripheral nervous system	overlaps	605240	catmaid_leg40	
adult ventral nerve cord	overlaps	605240	catmaid_leg40	
peripheral nervous system	overlaps	605252	catmaid_leg40	
adult ventral nerve cord	overlaps	605252	catmaid_leg40	
peripheral nervous system	overlaps	605280	catmaid_leg40	
adult ventral nerve cord	overlaps	605280	catmaid_leg40	
peripheral nervous system	overlaps	605292	catmaid_leg40	
adult ventral nerve cord	overlaps	605292	catmaid_leg40	
peripheral nervous system	overlaps	605308	catmaid_leg40	
adult ventral nerve cord	overlaps	605308	catmaid_leg40	
peripheral nervous system	overlaps	605320	catmaid_leg40	
adult ventral nerve cord	overlaps	605320	catmaid_leg40	
peripheral nervous system	overlaps	605335	catmaid_leg40	
adult ventral nerve cord	overlaps	605335	catmaid_leg40	
peripheral nervous system	overlaps	605347	catmaid_leg40	
adult ventral nerve cord	overlaps	605347	catmaid_leg40	
peripheral nervous system	overlaps	605363	catmaid_leg40	
adult ventral nerve cord	overlaps	605363	catmaid_leg40	
