Individual_label	External_id	PDB_FBbt_ids	PDB_FBbt_labels	KB_FBbt_ids	KB_FBbt_labels
Multiglomerular mlALT vPN#R1 (FAFB:3003322)	3003322	['FBbt_00047716', 'FBbt_20003827']	['mediolateral antennal lobe tract projection neuron 3', 'adult multiglomerular antennal lobe projection neuron type 50 vPN']	['FBbt_20003827', 'FBbt_00047716']	['adult multiglomerular antennal lobe projection neuron type 50 vPN', 'mediolateral antennal lobe tract projection neuron 3']
Biglomerular VP1m + VP5 mALT ilPN bilateral#L1 (FAFB:46105)	46105	['FBbt_00047224', 'FBbt_00049782']	['adult antennal lobe projection neuron VP1m+VP5 ilPN', 'adult uniglomerular antennal lobe projection neuron of SEZ']	['FBbt_00047224', 'FBbt_00007440']	['adult antennal lobe projection neuron VP1m+VP5 ilPN', 'adult uniglomerular antennal lobe projection neuron']
LHAV4i1#1 (FAFB:3439570)	3439570	['FBbt_00049682', 'FBbt_00049358', 'FBbt_00049427']	['adult lateral horn AV4i1 neuron', 'adult lateral horn AV4c3 neuron', 'adult lateral horn input neuron']	['FBbt_00049682', 'FBbt_00049358']	['adult lateral horn AV4i1 neuron', 'adult lateral horn AV4c3 neuron']
DNp44 (FAFB:3094186)	3094186	['FBbt_00049697', 'FBbt_00049423']	['descending neuron of the posterior brain DNp44', 'adult lateral horn PV9a1 neuron']	['FBbt_00049697', 'FBbt_00049423']	['descending neuron of the posterior brain DNp44', 'adult lateral horn PV9a1 neuron']
LHPV6g1#1 (FAFB:1868440)	1868440	['FBbt_00049711', 'FBbt_00049372']	['adult lateral horn PV6g1 neuron', 'adult lateral horn PD2c1 neuron']	['FBbt_00049711', 'FBbt_00049372']	['adult lateral horn PV6g1 neuron', 'adult lateral horn PD2c1 neuron']
Biglomerular mALT VP3 + VP1l ivPN bilateral#L1 (FAFB:37513)	37513	['FBbt_00049724', 'FBbt_00111339']	['adult bilateral antennal lobe projection neuron VP3+VP1l ivPN', 'adult bilateral antennal lobe projection neuron VP1l+VP3 ilPN']	['FBbt_00049724', 'FBbt_00111339']	['adult bilateral antennal lobe projection neuron VP3+VP1l ivPN', 'adult bilateral antennal lobe projection neuron VP1l+VP3 ilPN']
Biglomerular mALT VP3 + VP1l ivPN bilateral#R1 (FAFB:45882)	45882	['FBbt_00049724', 'FBbt_00111339']	['adult bilateral antennal lobe projection neuron VP3+VP1l ivPN', 'adult bilateral antennal lobe projection neuron VP1l+VP3 ilPN']	['FBbt_00049724', 'FBbt_00111339']	['adult bilateral antennal lobe projection neuron VP3+VP1l ivPN', 'adult bilateral antennal lobe projection neuron VP1l+VP3 ilPN']
Multiglomerular lALT l2PN bilateral#R1 (FAFB:23005)	23005	['FBbt_00049727', 'FBbt_00049778']	['adult antennal lobe projection neuron VP1d+VP4 l2PN1', 'adult multiglomerular antennal lobe projection neuron lPN']	['FBbt_00049727', 'FBbt_00007439']	['adult antennal lobe projection neuron VP1d+VP4 l2PN1', 'adult antennal lobe projection neuron lPN']
LHPV4k1#1 (FAFB:4100701)	4100701	['FBbt_00049918', 'FBbt_00049388']	['adult lateral horn PV4k1 neuron', 'adult lateral horn PV4a5 neuron']	['FBbt_00049918', 'FBbt_00049388']	['adult lateral horn PV4k1 neuron', 'adult lateral horn PV4a5 neuron']
LHPV2a1#1 (FAFB:79579)	79579	['FBbt_00049380', 'FBbt_00049379']	['adult lateral horn PV2b1 neuron', 'adult lateral horn PV2a1 neuron']	['FBbt_00049379', 'FBbt_00049380']	['adult lateral horn PV2a1 neuron', 'adult lateral horn PV2b1 neuron']
LHPV2a1#2 (FAFB:4181593)	4181593	['FBbt_00049380', 'FBbt_00049379']	['adult lateral horn PV2b1 neuron', 'adult lateral horn PV2a1 neuron']	['FBbt_00049379', 'FBbt_00049380']	['adult lateral horn PV2a1 neuron', 'adult lateral horn PV2b1 neuron']
LHPV2a1#3 (FAFB:5183432)	5183432	['FBbt_00049380', 'FBbt_00049379']	['adult lateral horn PV2b1 neuron', 'adult lateral horn PV2a1 neuron']	['FBbt_00049379', 'FBbt_00049380']	['adult lateral horn PV2a1 neuron', 'adult lateral horn PV2b1 neuron']
LHPV4a1#2 (FAFB:3897655)	3897655	['FBbt_00049385', 'FBbt_00049384']	['adult lateral horn PV4a2 neuron', 'adult lateral horn PV4a1 neuron']	['FBbt_00049384', 'FBbt_00049385']	['adult lateral horn PV4a1 neuron', 'adult lateral horn PV4a2 neuron']
LHPV4a1#1 (FAFB:11522927)	11522927	['FBbt_00049385', 'FBbt_00049384']	['adult lateral horn PV4a2 neuron', 'adult lateral horn PV4a1 neuron']	['FBbt_00049384', 'FBbt_00049385']	['adult lateral horn PV4a1 neuron', 'adult lateral horn PV4a2 neuron']
Uniglomerular mALT VC3m lvPN#R1 (FAFB:22277)	22277	['FBbt_00049655', 'FBbt_00100387']	['adult antennal lobe projection neuron VC5 lvPN', 'adult antennal lobe projection neuron VC3 adPN']	['FBbt_00049655', 'FBbt_00100387']	['adult antennal lobe projection neuron VC5 lvPN', 'adult antennal lobe projection neuron VC3 adPN']
Uniglomerular mALT VC3m lvPN#R3 (FAFB:400943)	400943	['FBbt_00049655', 'FBbt_00100387']	['adult antennal lobe projection neuron VC5 lvPN', 'adult antennal lobe projection neuron VC3 adPN']	['FBbt_00049655', 'FBbt_00100387']	['adult antennal lobe projection neuron VC5 lvPN', 'adult antennal lobe projection neuron VC3 adPN']
Uniglomerular mALT VC3m lvPN#R2 (FAFB:22744)	22744	['FBbt_00049655', 'FBbt_00100387']	['adult antennal lobe projection neuron VC5 lvPN', 'adult antennal lobe projection neuron VC3 adPN']	['FBbt_00049655', 'FBbt_00100387']	['adult antennal lobe projection neuron VC5 lvPN', 'adult antennal lobe projection neuron VC3 adPN']
Uniglomerular mALT VC3l adPN#R4 (FAFB:59129)	59129	['FBbt_00100369', 'FBbt_00100387']	['adult multiglomerular antennal lobe projection neuron adPN', 'adult antennal lobe projection neuron VC3 adPN']	['FBbt_00100387', 'FBbt_00007441']	['adult antennal lobe projection neuron VC3 adPN', 'adult multiglomerular antennal lobe projection neuron']
