Individual_id	Individual_label	External_id	FBbt_ids	FBbt_labels
VFB_jrchk7zh	WEDPN8C_R (FlyEM-HB:2096909904)	2096909904	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk2e1	ORN_VA7m (FlyEM-HB:2137856415)	2137856415	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk463	PPM1203_R (FlyEM-HB:5813054384)	5813054384	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchk7zd	WEDPN8B_R (FlyEM-HB:2061028219)	2061028219	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk460	PPM1201_R (FlyEM-HB:792040520)	792040520	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchk2dq	ORN_VA7m (FlyEM-HB:2044786350)	2044786350	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2dk	ORN_VA7m (FlyEM-HB:2045127426)	2045127426	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchjupm	HRN_VP1l_R (FlyEM-HB:1977898840)	1977898840	['FBbt_00111336', 'FBbt_00005923']	['adult thermosensory neuron Ir21a VP1l', 'hygrosensory neuron']
VFB_jrchjupo	HRN_VP1l_R (FlyEM-HB:2101685376)	2101685376	['FBbt_00111336', 'FBbt_00005923']	['adult thermosensory neuron Ir21a VP1l', 'hygrosensory neuron']
VFB_jrchk82m	aSP-g1_R (FlyEM-HB:485430434)	485430434	['FBbt_00049330', 'FBbt_00110461']	['adult fruitless aSP-g1 neuron', 'adult fruitless aSP-g (female) neuron']
VFB_jrchk45z	PPM1201_R (FlyEM-HB:950229431)	950229431	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchk462	PPM1202_R (FlyEM-HB:5813062871)	5813062871	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchk82o	aSP-g1_R (FlyEM-HB:887148641)	887148641	['FBbt_00049330', 'FBbt_00110461']	['adult fruitless aSP-g1 neuron', 'adult fruitless aSP-g (female) neuron']
VFB_jrchjupl	HRN_VP1l_R (FlyEM-HB:1977898894)	1977898894	['FBbt_00111336', 'FBbt_00005923']	['adult thermosensory neuron Ir21a VP1l', 'hygrosensory neuron']
VFB_jrchk2ea	ORN_VA7m (FlyEM-HB:2169228241)	2169228241	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk0wb	M_lPNm11A_R (FlyEM-HB:1630734360)	1630734360	['FBbt_00049725', 'FBbt_00049778']	['adult antennal lobe projection neuron VP4++ lPN', 'adult multiglomerular antennal lobe projection neuron lPN']
VFB_jrchjtg2	DNd01_R (FlyEM-HB:5813012529)	5813012529	['FBbt_00047588', 'FBbt_00047590']	['descending neuron of the pars intercerebralis DNc01', 'descending neuron of the anterior brain DNd01']
VFB_jrchk2e7	ORN_VA7m (FlyEM-HB:2013755484)	2013755484	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7yi	WEDPN2B_R (FlyEM-HB:916828438)	916828438	['FBbt_00049455', 'FBbt_00050017']	['adult wedge projection neuron 2', 'adult BAlp3 lineage neuron']
VFB_jrchk7af	TRN_VP1m_R (FlyEM-HB:2009611976)	2009611976	['FBbt_00047226', 'FBbt_00049660']	['adult hygrosensory neuron Ir40a VP1d', 'adult hygrosensory neuron Ir68a VP1m']
VFB_jrchk7yo	WEDPN5_R (FlyEM-HB:1573741727)	1573741727	['FBbt_00049458', 'FBbt_00050017']	['adult wedge projection neuron 5', 'adult BAlp3 lineage neuron']
VFB_jrchk7zk	WEDPN8C_R (FlyEM-HB:2065533721)	2065533721	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchjtg0	DNd01_R (FlyEM-HB:5813020864)	5813020864	['FBbt_00047588', 'FBbt_00047590']	['descending neuron of the pars intercerebralis DNc01', 'descending neuron of the anterior brain DNd01']
VFB_jrchk7aa	TRN_VP1m_R (FlyEM-HB:1979263232)	1979263232	['FBbt_00047226', 'FBbt_00049660']	['adult hygrosensory neuron Ir40a VP1d', 'adult hygrosensory neuron Ir68a VP1m']
VFB_jrchjtg3	DNd01_L (FlyEM-HB:5813026404)	5813026404	['FBbt_00047588', 'FBbt_00047590']	['descending neuron of the pars intercerebralis DNc01', 'descending neuron of the anterior brain DNd01']
