Individual_label	External_id	PDB_FBbt_ids	PDB_FBbt_labels	KB_FBbt_ids	KB_FBbt_labels
chos_lch5-24-1_a1 (L1EM:162293)	162293	['FBbt_00047687', 'FBbt_00051965']	['larval abdominal 1 lch5-2/4 neuron', 'larval efferent neuron']	['FBbt_00047266', 'FBbt_00005106']	['larval abdominal lch5-2/4 neuron', 'neuron']
chos_lch5-24-2_a1 (L1EM:6276557)	6276557	['FBbt_00047687', 'FBbt_00051965']	['larval abdominal 1 lch5-2/4 neuron', 'larval efferent neuron']	['FBbt_00047266', 'FBbt_00005106']	['larval abdominal lch5-2/4 neuron', 'neuron']
chos_lch5-24-1_a1 (L1EM:7577773)	7577773	['FBbt_00047687', 'FBbt_00051965']	['larval abdominal 1 lch5-2/4 neuron', 'larval efferent neuron']	['FBbt_00047266', 'FBbt_00005106']	['larval abdominal lch5-2/4 neuron', 'neuron']
chos_lch5-24-2_a1 (L1EM:159280)	159280	['FBbt_00047687', 'FBbt_00051965']	['larval abdominal 1 lch5-2/4 neuron', 'larval efferent neuron']	['FBbt_00047266', 'FBbt_00005106']	['larval abdominal lch5-2/4 neuron', 'neuron']
gorogoro t2r (L1EM:5206247)	5206247	['FBbt_00001985', 'FBbt_00111240']	['mesothoracic neuron', 'larval Goro neuron']	['FBbt_00111240', 'FBbt_00005106']	['larval Goro neuron', 'neuron']
gorogoro t2l (L1EM:3720037)	3720037	['FBbt_00001985', 'FBbt_00111240']	['mesothoracic neuron', 'larval Goro neuron']	['FBbt_00111240', 'FBbt_00005106']	['larval Goro neuron', 'neuron']
LHN-6 (L1EM:16295025)	16295025	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051206', 'FBbt_00051205', 'FBbt_00005106']	['larval lateral horn neuron', 'larval mushroom body second order output neuron', 'neuron']
LHN-3 (L1EM:13206239)	13206239	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051206', 'FBbt_00051205', 'FBbt_00005106']	['larval lateral horn neuron', 'larval mushroom body second order output neuron', 'neuron']
LHN-2 (L1EM:11210000)	11210000	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051205', 'FBbt_00051206', 'FBbt_00005106']	['larval mushroom body second order output neuron', 'larval lateral horn neuron', 'neuron']
LHN-6 (L1EM:9447255)	9447255	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051206', 'FBbt_00051205', 'FBbt_00005106']	['larval lateral horn neuron', 'larval mushroom body second order output neuron', 'neuron']
LHN-3 (L1EM:8847957)	8847957	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051205', 'FBbt_00051206', 'FBbt_00005106']	['larval mushroom body second order output neuron', 'larval lateral horn neuron', 'neuron']
LHN-2 (L1EM:8238322)	8238322	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051205', 'FBbt_00051206', 'FBbt_00005106']	['larval mushroom body second order output neuron', 'larval lateral horn neuron', 'neuron']
LHN-7 (L1EM:12840470)	12840470	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051205', 'FBbt_00051206', 'FBbt_00005106']	['larval mushroom body second order output neuron', 'larval lateral horn neuron', 'neuron']
LHN-7 (L1EM:10495502)	10495502	['FBbt_00051206', 'FBbt_00051205']	['larval lateral horn neuron', 'larval mushroom body second order output neuron']	['FBbt_00051206', 'FBbt_00051205', 'FBbt_00005106']	['larval lateral horn neuron', 'larval mushroom body second order output neuron', 'neuron']
