ds.short_form	server	ds.label	license	pub	individuals	NBLAST	NBLASTexp	ontology_terms	exp_cur
BrainName_Ito_half_brain	pdb	BrainName neuropils and tracts - Ito half-brain	CC-BY-SA_4.0	FBrf0224194	76	0	0	395	0
BrainName_Ito_half_brain	pipeline_output	BrainName neuropils and tracts - Ito half-brain	CC-BY-SA_4.0	FBrf0224194	76	0	0	396	0
Chiang2010	pdb	FlyCircuit 1.0 - single neurons (Chiang2010)	FlyCircuit License	FBrf0212704	16127	15886	5952	24	0
Chiang2010	pipeline_output	FlyCircuit 1.0 - single neurons (Chiang2010)	FlyCircuit License	FBrf0212704	16127	15885	5952	24	0
Dickson2017	pdb	Dickson lab VT lines - FlyLight/Janelia images (2017)	CC-BY-NC-SA_4.0	doi_10_1101_198648	5387	0	0	0	0
Dickson2017	pipeline_output	Dickson lab VT lines - FlyLight/Janelia images (2017)	CC-BY-NC-SA_4.0	doi_10_1101_198648	5379	0	0	0	0
Dorkenwald2023	pdb	FlyWire connectome neurons	CC-BY-NC_4.0	doi_10_1101_2023_06_27_546656	0	0	0	0	0
Dorkenwald2023	pipeline_output	FlyWire connectome neurons	CC-BY-NC_4.0	doi_10_1101_2023_06_27_546656	139255	0	0	0	0
FlyLight2019Namiki2018	pdb	split-GAL4 lines for descending neurons (Namiki2018)	CC-BY_4.0	FBrf0239335	128	0	5	134	0
FlyLight2019Namiki2018	pipeline_output	split-GAL4 lines for descending neurons (Namiki2018)	CC-BY_4.0	FBrf0239335	128	0	5	137	0
Gorko2024	pdb	EM FAFB Gorko et al 2024	CC-BY-SA_4.0	FBrf0251280	2	2	2	121	0
Gorko2024	pipeline_output	EM FAFB Gorko et al 2024	CC-BY-SA_4.0	FBrf0251280	2	2	2	130	0
JenettShinomya_BrainName	pdb	BrainName neuropils on adult brain JFRC2 (Jenett, Shinomya)	CC-BY-SA_4.0	FBrf0224194	58	0	0	395	0
JenettShinomya_BrainName	pipeline_output	BrainName neuropils on adult brain JFRC2 (Jenett, Shinomya)	CC-BY-SA_4.0	FBrf0224194	58	0	0	396	0
Knowles_Barley2010	pdb	BrainTrap lines (Knowles-Barley2010)	CC-BY-SA_4.0	FBrf0211243	504	0	0	0	0
Knowles_Barley2010	pipeline_output	BrainTrap lines (Knowles-Barley2010)	CC-BY-SA_4.0	FBrf0211243	501	0	0	0	0
Maniates_Selvin2020	pdb	EM FANC Phelps et al 2020	CC-BY-SA_4.0	FBrf0247998	2029	2016	0	18	0
Maniates_Selvin2020	pipeline_output	EM FANC Phelps et al 2020	CC-BY-SA_4.0	FBrf0247998	2029	2016	0	21	0
Matsuo2016	pdb	AMMC local and projection neurons (Matsuo2016)	CC-BY-SA_4.0	FBrf0230862	41	0	0	46	0
Matsuo2016	pipeline_output	AMMC local and projection neurons (Matsuo2016)	CC-BY-SA_4.0	FBrf0230862	41	0	0	55	0
Miroschnikow2018	pdb	EM L1 Miroschnikow et al. 2018	CC-BY_4.0	FBrf0240975	738	0	0	44	0
Miroschnikow2018	pipeline_output	EM L1 Miroschnikow et al. 2018	CC-BY_4.0	FBrf0240975	738	0	0	43	0
Namiki2018	pdb	split-GAL4 lines for descending neurons (Namiki2018)	CC-BY_4.0	FBrf0239335	390	0	106	134	0
Namiki2018	pipeline_output	split-GAL4 lines for descending neurons (Namiki2018)	CC-BY_4.0	FBrf0239335	389	0	106	137	0
Nern2024	pipeline_output	Optic Lobe connectome neurons from optic_lobe:v1.0.1, Nern et al., 2024	CC-BY_4.0	doi_10_1101_2024_04_16_589741	53393	0	0	0	0
SplitBaker2022	pdb	Split-GAL4 lines from Baker et al., 2022	CC-BY_4.0		0	0	0	0	0
SplitBaker2022	pipeline_output	Split-GAL4 lines from Baker et al., 2022	CC-BY_4.0	FBrf0254226	0	0	0	30	0
SplitCheong2024	pdb	Split-GAL4 lines from Cheong et al., 2024	CC-BY_4.0		0	0	0	0	0
SplitCheong2024	pipeline_output	Split-GAL4 lines from Cheong et al., 2024	CC-BY_4.0	FBrf0258993	0	0	0	5	0
SplitFeng2014	pdb	Split-GAL4 lines from Feng et al., 2014	CC-BY_4.0		0	0	0	0	0
