ds.short_form	ds.label	license	pub	individuals	NBLAST	NBLASTexp	ontology_terms	exp_cur
Andrade2019	EM L1 Andrade et al. 2019	CC-BY-SA_4.0	FBrf0241389	846	846	0	10	0
Aso2014	MBONs and split-GAL4 lines that target them (Aso2014)	CC-BY_4.0	FBrf0227179	1923	0	788	129	0
AsoRubin2016	split-GAL4 lines for dopaminergic neurons (AsoRubin2016)	CC-BY_4.0	FBrf0233230	24	0	3	0	0
Baltruschat2021	EM FAFB Baltruschat et al 2021	CC-BY-SA_4.0	FBrf0248487	8	8	8	0	0
Barnes2022	EM L1 Barnes et al., 2022	CC-BY_4.0	FBrf0253082	0	0	0	0	0
BatesSchlegel2020	EM FAFB Bates and Schlegel et al 2020	CC-BY-SA_4.0	doi_10_1016_j_cub_2020_06_042	454	454	191	0	0
Berck2016	Larval olfactory system neurons - EM (Berk2016)	CC-BY-SA_4.0	FBrf0232785	160	160	0	90	0
BrainName_Ito_half_brain	BrainName neuropils and tracts - Ito half-brain	CC-BY-SA_4.0	FBrf0224194	76	0	0	393	0
Burgos2018	Nociceptive system neurons - EM (Burgos2017)	CC-BY-SA_4.0	FBrf0238464	94	94	0	41	0
Cachero2010	Adult Brain fru clones (Cachero2010)	CC-BY-SA_4.0	FBrf0211926	119	0	0	190	0
CarreiraRosario2018	EM L1 Carreira-Rosario, Arzan Zarin, Clark et al. 2018	CC-BY_4.0	FBrf0239825	31	29	0	16	0
Chiang2010	FlyCircuit 1.0 - single neurons (Chiang2010)	FlyCircuit License	FBrf0212704	16127	15877	5966	24	0
Coates2020	EM FAFB Coates et al 2020	CC-BY_4.0	doi_10_1523_JNEUROSCI_0552_20_2020	191	191	10	0	0
Court2017	Adult VNS neuropils (Court2017)	CC-BY-SA_4.0	doi_10_1101_122952	24	0	0	0	0
Court2020	Adult VNC neuropils (Court2020)	CC-BY-SA_4.0	FBrf0246815	21	0	0	104	0
Dickson2017	Dickson lab VT lines - FlyLight/Janelia images (2017)	CC-BY-NC-SA_4.0	doi_10_1101_198648	5387	0	0	0	0
Dickson_VT	Dickson lab VT line collection - VDRC images	CC-BY-NC-SA_4.0	doi_10_1101_198648	18016	0	0	0	0
Dolan2018	EM FAFB Dolan and Belliart-Guerin et al. 2018	CC-BY-SA_4.0	FBrf0240600	10	10	10	3	0
Dolan2019	GAL4 Split expression patterns from Dolan et al. 2019	CC-BY_4.0	FBrf0242477	276	0	42	322	0
Eichler2017	Larval MB neurons - EM (Eichler2017)	CC-BY-SA_4.0	FBrf0236359	388	388	0	41	0
Engert2022	EM FAFB Engert et al. 2022	CC-BY_4.0	FBrf0253662	144	144	0	0	0
Eschbach2020	EM L1 Eschbach et al 2020	CC-BY-SA_4.0	FBrf0245294	189	189	0	147	0
Eschbach2020b	EM L1 Eschbach et al 2020b	CC-BY_4.0	doi_10_1101_2020_04_23_058339	239	239	0	0	0
FafbDolan2019	EM FAFB Dolan et al. 2019	CC-BY-SA_4.0	FBrf0242477	105	105	97	322	0
Felsenberg2018	EM FAFB Felsenberg et al. 2018	CC-BY-SA_4.0	FBrf0240371	3	3	3	1	0
FlyLight2019AsoRubin2016	split-GAL4 lines for dopaminergic neurons (AsoRubin2016)	CC-BY_4.0	FBrf0233230	1	0	0	0	0
FlyLight2019Hampel2015	Grooming neurons and drivers (Hampel 2015)	CC-BY_4.0	FBrf0229838	0	0	0	10	0
FlyLight2019Klapoetke2017	Split-GAL4 lines from Klapoetke et al. 2017	CC-BY_4.0	FBrf0237184	1	0	0	4	0
FlyLight2019LateralHorn2019	FlyLight split-GAL4 lines for Lateral Horn	CC-BY_4.0	FBrf0242477	131	0	35	322	0
FlyLight2019Namiki2018	split-GAL4 lines for descending neurons (Namiki2018)	CC-BY_4.0	FBrf0239335	128	0	5	134	0
FlyLight2019Robie2017	split-GAL4 lines for EB neurons (Robie2017)	CC-BY_4.0	FBrf0236042	1	0	0	2	0
FlyLight2019Strother2017	Splits targetting the visual motion pathway, Strother2017	CC-BY_4.0	FBrf0235230	32	0	1	0	0
FlyLight2019Wolff2018	Splits targetting CX neurons, Wolff2018	CC-BY_4.0	FBrf0240744	21	0	8	52	0
FlyLight2019Wu2016	split-GAL4 lines for LC VPNs (Wu2016)	CC-BY_4.0	FBrf0234700	13	0	1	39	0
FlyLightGen1Set2019	FlyLight - Gen1 GAL4/LexA collection (exported 2019)	CC-BY-NC-SA_4.0	FBrf0219813	13664	0	0	3	0
Fushiki2016	Larval peristaltic locomotor system neurons - EM (Fushiki2016)	CC-BY-SA_4.0	FBrf0231611	82	82	0	60	0
Gen1MCFODionne2018	MCFO images of GMR-GAL4 lines from Dionne et al., 2018	CC-BY_4.0	FBrf0236874	151	0	0	0	0
Gen1MCFOJenett2012	MCFO images of GMR-GAL4 lines from Jenett et al., 2012	CC-BY_4.0	FBrf0219813	15861	0	0	3	0
Gen1MCFOPfeiffer2010	MCFO images of GMR-GAL4 lines from Pfeiffer et al., 2010	CC-BY_4.0	FBrf0212052	4	0	0	0	0
Gen1MCFOTirian2017	MCFO images of VT-GAL4 lines from Tirian et al., 2017	CC-BY_4.0	FBrf0236875	16764	0	0	0	0
Gerhard2017	Nociceptive circuit neurons - EM (Gerhard2017)	CC-BY-SA_4.0	FBrf0237057	55	55	0	30	0
Hampel2015	Grooming neurons and drivers (Hampel 2015)	CC-BY_4.0	FBrf0229838	6	0	0	10	0
Hampel2017	LexA driver targetting mechanosensory eye bristles (Hampel2017)	CC-BY-SA_4.0	FBrf0236775	1	0	0	2	0
