type	label	count
node	API	7
node	Acetylcholine_receptor	13
node	Adult	378314
node	Anatomy	454401
node	AnnotationProperty	353
node	Assay	108
node	Auditory_system	866
node	Calcium_binding	79
node	Carbohydrate_binding	42
node	Cell	339795
node	Cell_adhesion	70
node	Channel	401270
node	Chaperone	94
node	Chemosensory_system	9972
node	Cholinergic	134440
node	Class	131943
node	Clone	364
node	Cluster	3290
node	Connectome	7
node	Cytoskeleton_binding	295
node	DNA_binding	760
node	DataProperty	11
node	DataSet	186
node	Deprecated	23586
node	Dopamine_receptor	4
node	Dopaminergic	4360
node	Entity	1113929
node	Enzyme	3735
node	Expression_pattern	71674
node	Expression_pattern_fragment	61214
node	FAFB	5645
node	FANC	1472
node	Feature	46903
node	FlyCircuit	16128
node	GABA_receptor	7
node	GABAergic	50634
node	GMC	25
node	GPCR	117
node	Ganglion	35
node	Gene	17894
node	Glial_cell	256
node	Glutamate_receptor	24
node	Glutamatergic	44351
node	Gustatory_receptor	64
node	Gustatory_system	1903
node	Histamine_receptor	2
node	Histaminergic	14717
node	Hormone	19
node	Hygrosensory_system	318
node	Individual	981177
node	Ion_channel	401
node	L1EM	5050
node	Larva	23363
node	License	8
node	Ligand	113
node	Lipid_binding	179
node	Mechanosensory_ion_channel	11
node	Mechanosensory_system	10413
node	Metal_ion_binding	173
node	Motor_neuron	3250
node	Muscle	1947
node	NBLAST	266776
node	NBLASTexp	18368
node	Nervous_system	418705
node	Neuroblast	518
node	Neuromere	79
node	Neuron	337204
node	Neuron_projection_bundle	662
node	Neuropeptide	48
node	Neurotransmitter_receptor	45
node	Nociceptive_system	273
node	ObjectProperty	444
node	Octopamine_receptor	7
node	Octopaminergic	407
node	Odorant_binding	56
node	Olfactory_receptor	65
node	Olfactory_system	6947
node	Peptide_or_protein_hormone_receptor	71
node	Peptidergic	11221
node	Person	6
node	Photoreceptor	12
node	Property	807
node	Proprioceptive_system	1698
node	RNA_binding	500
node	Receptor	580
node	Regulator	494
node	Sample	350
node	Sense_organ	1907
node	Sensory_neuron	37024
node	Serotonergic	1102
node	Serotonin_receptor	5
node	Site	43
node	Small_molecule_binding	442
node	Split	11135
node	Stage	222
node	Structural_molecule	346
node	Synaptic_neuropil	1018
node	Synaptic_neuropil_block	31
node	Synaptic_neuropil_domain	304
node	Synaptic_neuropil_subdomain	680
node	Template	20
node	Thermosensory_ion_channel	1
node	Thermosensory_system	352
node	Transcription_factor	800
node	Transporter	774
node	Tyramine_receptor	4
node	Tyraminergic	117
node	UnknownType	10
node	VFB	761890
node	Visual_system	162954
node	hasScRNAseq	13383
node	has_image	401386
node	has_neuron_connectivity	107399
node	has_region_connectivity	22587
node	has_subClass	8706
node	lineage_0	570
node	lineage_1	1562
node	lineage_10	749
node	lineage_11	602
node	lineage_12	1368
node	lineage_13	1410
node	lineage_14	980
node	lineage_15	239
node	lineage_16	890
node	lineage_17	783
node	lineage_18	387
node	lineage_19	1801
node	lineage_2	575
node	lineage_20	5
node	lineage_21	713
node	lineage_22	12
node	lineage_23	767
node	lineage_24	20
node	lineage_25	9
node	lineage_26	32
node	lineage_3	1870
node	lineage_4	967
node	lineage_5	693
node	lineage_6	1865
node	lineage_7	1077
node	lineage_8	1431
node	lineage_9	1342
node	lineage_ALad1	938
node	lineage_ALl1	1677
node	lineage_ALlv1	392
node	lineage_ALv1	781
node	lineage_ALv2	348
