Template	Painted_domain	Instances	Anatomy
Adult T1 Leg (Kuan2020)_c	prothoracic femur	1	['prothoracic femur']
Adult T1 Leg (Kuan2020)_c	L-T1 leg neuropil	1	['adult T1 leg neuropil']
Adult T1 Leg (Kuan2020)_c	R-T1 leg neuropil	1	['adult T1 leg neuropil']
Adult T1 Leg (Kuan2020)_c	prothoracic tibia	1	['prothoracic tibia']
BrainName standard - Ito half brain c	adult maxillary nerve on adult brain template Ito2014	1	['adult maxillary nerve']
BrainName standard - Ito half brain c	superior ellipsoid commissure on adult brain template Ito2014	1	['superior ellipsoid commissure']
BrainName standard - Ito half brain c	superior posterior slope on adult brain template Ito2014	1	['superior posterior slope']
BrainName standard - Ito half brain c	vest on adult brain template Ito2014	1	['vest']
BrainName standard - Ito half brain c	fan-shaped body on adult brain template Ito2014	1	['fan-shaped body']
BrainName standard - Ito half brain c	nodulus on adult brain template Ito2014	1	['nodulus']
BrainName standard - Ito half brain c	inferior fiber system on adult brain template Ito2014	1	['adult inferior fiber system']
BrainName standard - Ito half brain c	lateral horn on adult brain template Ito2014	1	['adult lateral horn']
BrainName standard - Ito half brain c	superior medial protocerebrum on adult brain template Ito2014	1	['superior medial protocerebrum']
BrainName standard - Ito half brain c	posterior optic commissure on adult brain template Ito2014	1	['posterior optic commissure']
BrainName standard - Ito half brain c	wedge commissure on adult brain template Ito2014	1	['wedge commissure']
BrainName standard - Ito half brain c	superior posterior lateral protocerebrum commissure on adult brain template Ito2014	1	['adult superior posterior lateral protocerebrum commissure']
BrainName standard - Ito half brain c	medial lobe of adult mushroom body on adult brain template Ito2014	1	['medial lobe of adult mushroom body']
BrainName standard - Ito half brain c	pedunculus of adult mushroom body on adult brain template Ito2014	1	['pedunculus of adult mushroom body']
BrainName standard - Ito half brain c	superior antennal lobe commissure on adult brain template Ito2014	1	['adult superior antennal lobe commissure']
BrainName standard - Ito half brain c	medulla on adult brain template Ito2014	1	['medulla']
BrainName standard - Ito half brain c	superior lateral protocerebrum on adult brain template Ito2014	1	['superior lateral protocerebrum']
BrainName standard - Ito half brain c	posterior lateral protocerebrum on adult brain template Ito2014	1	['posterior lateral protocerebrum']
BrainName standard - Ito half brain c	medial antennal lobe tract on adult brain template Ito2014	1	['adult medial antennal lobe tract']
BrainName standard - Ito half brain c	pyriform fascicle on adult brain template Ito2014	1	['pyriform fascicle']
BrainName standard - Ito half brain c	antler on adult brain template Ito2014	1	['antler']
BrainName standard - Ito half brain c	saddle on adult brain template Ito2014	1	['saddle']
BrainName standard - Ito half brain c	flange on adult brain template Ito2014	1	['flange']
BrainName standard - Ito half brain c	superior fiber system on adult brain template Ito2014	1	['adult superior fiber system']
BrainName standard - Ito half brain c	adult antennal lobe on adult brain template Ito2014	1	['adult antennal lobe']
BrainName standard - Ito half brain c	anterior optic tract on adult brain template Ito2014	1	['adult anterior optic tract']
BrainName standard - Ito half brain c	lobula plate on adult brain template Ito2014	1	['lobula plate']
BrainName standard - Ito half brain c	posterior cerebro-cervical fascicle on adult brain template Ito2014	1	['posterior cerebro-cervical fascicle']
BrainName standard - Ito half brain c	antenno-subesophageal tract on adult brain template Ito2014	1	['adult antenno-subesophageal tract']
BrainName standard - Ito half brain c	lateral accessory lobe commissure on adult brain template Ito2014	1	['adult lateral accessory lobe commissure']
BrainName standard - Ito half brain c	anterior dorsal commissure on adult brain template Ito2014	1	['adult anterior dorsal commissure']
BrainName standard - Ito half brain c	crepine on adult brain template Ito2014	1	['adult crepine']
BrainName standard - Ito half brain c	lateral equatorial fascicle on adult brain template Ito2014	1	['adult lateral equatorial fascicle']
BrainName standard - Ito half brain c	giant fiber neuron on adult brain template Ito2014	1	['giant fiber neuron']
BrainName standard - Ito half brain c	prow on adult brain template Ito2014	1	['prow']
BrainName standard - Ito half brain c	mediolateral antennal lobe tract on adult brain template Ito2014	1	['adult mediolateral antennal lobe tract']
BrainName standard - Ito half brain c	superior intermediate protocerebrum on adult brain template Ito2014	1	['superior intermediate protocerebrum']
BrainName standard - Ito half brain c	calyx of adult mushroom body on adult brain template Ito2014	1	['calyx of adult mushroom body']
BrainName standard - Ito half brain c	labro_frontal_nerve - painted domain, BrainName pu	1	['adult labro-frontal nerve']
BrainName standard - Ito half brain c	posterior ventrolateral protocerebrum on adult brain template Ito2014	1	['posterior ventrolateral protocerebrum']
BrainName standard - Ito half brain c	lobula on adult brain template Ito2014	1	['lobula']
BrainName standard - Ito half brain c	ellipsoid body on adult brain template Ito2014	1	['ellipsoid body']
BrainName standard - Ito half brain c	mushroom body accessory calyx on adult brain template Ito2014	1	['adult mushroom body dorsal accessory calyx']
BrainName standard - Ito half brain c	vertical lobe of adult mushroom body on adult brain template Ito2014	1	['vertical lobe of adult mushroom body']
BrainName standard - Ito half brain c	superior AMMC commissure on adult brain template Ito2014	1	['superior AMMC commissure']
BrainName standard - Ito half brain c	anterior superior lateral protocerebrum fascicle on adult brain template Ito2014	1	['adult anterior superior lateral protocerebrum fascicle']
BrainName standard - Ito half brain c	median bundle on adult brain template Ito2014	1	['adult median bundle']
BrainName standard - Ito half brain c	anterior cerebro-cervical fascicle on adult brain template Ito2014	1	['anterior cerebro-cervical fascicle']
BrainName standard - Ito half brain c	anterior ventrolateral protocerebrum on adult brain template Ito2014	1	['anterior ventrolateral protocerebrum']
BrainName standard - Ito half brain c	superior clamp on adult brain template Ito2014	1	['superior clamp']
BrainName standard - Ito half brain c	great commissure on adult brain template Ito2014	1	['adult great commissure']
BrainName standard - Ito half brain c	wedge on adult brain template Ito2014	1	['wedge']
BrainName standard - Ito half brain c	epaulette on adult brain template Ito2014	1	['epaulette']
BrainName standard - Ito half brain c	adult gnathal ganglion on adult brain template Ito2014	1	['adult gnathal ganglion']
BrainName standard - Ito half brain c	anterior optic tubercle on adult brain template Ito2014	1	['anterior optic tubercle']
BrainName standard - Ito half brain c	medial cerebro-cervical fascicle on adult brain template Ito2014	1	['medial cerebro-cervical fascicle']
BrainName standard - Ito half brain c	medial equatorial fascicle on adult brain template Ito2014	1	['adult medial equatorial fascicle']
BrainName standard - Ito half brain c	inferior posterior slope on adult brain template Ito2014	1	['inferior posterior slope']
BrainName standard - Ito half brain c	inferior antennal lobe commissure on adult brain template Ito2014	1	['adult inferior antennal lobe commissure']
BrainName standard - Ito half brain c	posterior lateral fascicle on adult brain template Ito2014	1	['adult posterior lateral fascicle']
BrainName standard - Ito half brain c	protocerebral bridge on adult brain template Ito2014	1	['protocerebral bridge']
BrainName standard - Ito half brain c	posterior posteriolateral protocerebral commissure on adult brain template Ito2014	1	['adult posterior posterior lateral protocerebrum commissure']
BrainName standard - Ito half brain c	accessory medulla on adult brain template Ito2014	1	['accessory medulla']
BrainName standard - Ito half brain c	antennal mechanosensory and motor center on adult brain template Ito2014	1	['antennal mechanosensory and motor center']
BrainName standard - Ito half brain c	inferior clamp on adult brain template Ito2014	1	['inferior clamp']
BrainName standard - Ito half brain c	gorget on adult brain template Ito2014	1	['gorget']
BrainName standard - Ito half brain c	cantle on adult brain template Ito2014	1	['cantle']
BrainName standard - Ito half brain c	vertical ventrolateral protocerebral fascicle on adult brain template Ito2014	1	['vertical ventrolateral protocerebral fascicle']
BrainName standard - Ito half brain c	inferior bridge on adult brain template Ito2014	1	['inferior bridge']
BrainName standard - Ito half brain c	lateral cerebro-cervical fascicle on adult brain template Ito2014	1	['lateral cerebro-cervical fascicle']
BrainName standard - Ito half brain c	bulb on adult brain template Ito2014	1	['bulb']
BrainName standard - Ito half brain c	lateral accessory lobe on adult brain template Ito2014	1	['adult lateral accessory lobe']
